verb	aspect	id	pair	pair_aspect	pair_id	pair_type
akceptować	ndk	261486	zaakceptować	dk	261487	empty
analizować	ndk	262115	zanalizować	dk	262122	empty
angażować	ndk	262872	zaangażować	dk	262873	empty
apelować	ndk	258569	zaapelować	dk	258570	empty
atakować	ndk	257628	zaatakować	dk	257629	empty
badać	ndk	250580	zbadać	dk	250585	empty
bić	ndk	269026	pobić	dk	269147	empty
biec	ndk	250036	pobiec	dk	250045	empty
blokować	ndk	258034	zablokować	dk	258035	empty
błyszczeć	ndk	268707	zabłyszczeć	dk	268708	empty
boleć	ndk	268385	zaboleć	dk	268386	empty
brać	ndk	254720	wziąć	dk	265915	suppletion
bronić	ndk	271113	obronić	dk	271115	empty
brzmieć	ndk	267516	zabrzmieć	dk	267519	empty
budować	ndk	257080	wybudować	dk	257094	empty
budować	ndk	257080	zbudować	dk	257094	empty
budzić	ndk	273004	obudzić	dk	273012	empty
budzić	ndk	273004	zbudzić	dk	273012	empty
całować	ndk	258852	pocałować	dk	258857	empty
charakteryzować	ndk	262685	scharakteryzować	dk	262689	empty
chcieć	ndk	267430	zechcieć	dk	267434	empty
chorować	ndk	260328	zachorować	dk	260330	empty
chować	ndk	257372	schować	dk	257409	empty
chwytać	ndk	255811	chwycić	dk	269814	suffixed
ciągnąć	ndk	266084	pociągnąć	dk	279543	empty
cieszyć	ndk	274796	ucieszyć	dk	274799	empty
cofać	ndk	250851	cofnąć	dk	266077	suffixed
cytować	ndk	261755	zacytować	dk	261756	empty
czekać	ndk	253049	zaczekać	dk	253051	empty
czerpać	ndk	254628	zaczerpać	dk	254630	empty
czuć	ndk	273538	poczuć	dk	273545	empty
czynić	ndk	271345	uczynić	dk	271353	empty
czytać	ndk	255819	przeczytać	dk	255824	empty
ćwiczyć	ndk	273904	wyćwiczyć	dk	273913	empty
dawać	ndk	255841	dać	dk	250579	suffixed
dbać	ndk	250217	zadbać	dk	250218	empty
decydować	ndk	279894	zdecydować	dk	279896	empty
decydować	ndk	279895	zdecydować	dk	279897	empty
denerwować	ndk	261910	zdenerwować	dk	261913	empty
dobiegać	ndk	250943	dobiec	dk	266119	suffixed
dobiegać	ndk	250943	dobiegnąć	dk	266119	suffixed
doceniać	ndk	251770	docenić	dk	270769	suffixed
dochodzić	ndk	272873	dojść	dk	273408	suffixed
dochodzić	ndk	279605	dojść	dk	279604	suffixed
docierać	ndk	254799	dotrzeć	dk	268842	suffixed
dodawać	ndk	255862	dodać	dk	250814	suffixed
dojeżdżać	ndk	265746	dojechać	dk	251250	suffixed
dokonywać	ndk	263332	dokonać	dk	254389	suffixed
dominować	ndk	259359	zdominować	dk	259360	empty
domyślać	ndk	253906	domyślić	dk	270382	suffixed
donosić	ndk	272036	donieść	dk	273325	suffixed
doprowadzać	ndk	264965	doprowadzić	dk	272689	suffixed
dopuszczać	ndk	264805	dopuścić	dk	269729	suffixed
dopytywać	ndk	263745	dopytać	dk	255805	suffixed
dorastać	ndk	255699	dorosnąć	dk	273437	suffixed
dostarczać	ndk	264654	dostarczyć	dk	274140	suffixed
dostawać	ndk	255936	dostać	dk	255739	suffixed
dostrzegać	ndk	250980	dostrzec	dk	250139	suffixed
doświadczać	ndk	264554	doświadczyć	dk	273782	suffixed
dotykać	ndk	253516	dotknąć	dk	266656	suffixed
dowiadywać	ndk	263198	dowiedzieć	dk	268265	suffixed
dowodzić	ndk	272976	dowieść	dk	273346	suffixed
drżeć	ndk	268977	zadrżeć	dk	268979	empty
dusić	ndk	272082	udusić	dk	272088	empty
dysponować	ndk	259508	zadysponować	dk	259509	empty
dzielić	ndk	270112	podzielić	dk	270117	empty
dziękować	ndk	257715	podziękować	dk	257718	empty
dziwić	ndk	272336	zdziwić	dk	272342	empty
dzwonić	ndk	271149	zadzwonić	dk	271150	empty
dźwigać	ndk	251041	dźwignąć	dk	266187	suffixed
finansować	ndk	260799	sfinansować	dk	260801	empty
funkcjonować	ndk	259453	zafunkcjonować	dk	279396	empty
ginąć	ndk	266396	zginąć	dk	266402	empty
gładzić	ndk	272633	pogładzić	dk	272638	empty
głaskać	ndk	253227	pogłaskać	dk	253230	empty
głosować	ndk	260833	zagłosować	dk	277302	empty
gniewać	ndk	255997	pogniewać	dk	256001	empty
godzić	ndk	272842	pogodzić	dk	272851	empty
gotować	ndk	261430	ugotować	dk	261438	empty
grać	ndk	254943	zagrać	dk	254945	empty
grozić	ndk	273152	pogrozić	dk	273156	empty
gryźć	ndk	275345	ugryźć	dk	275356	empty
gwarantować	ndk	261294	zagwarantować	dk	261295	empty
hamować	ndk	258980	zahamować	dk	258981	empty
ignorować	ndk	260356	zignorować	dk	260357	empty
informować	ndk	259108	poinformować	dk	259110	empty
interesować	ndk	260722	zainteresować	dk	260723	empty
inwestować	ndk	261623	zainwestować	dk	261624	empty
irytować	ndk	261791	zirytować	dk	261795	empty
istnieć	ndk	267929	zaistnieć	dk	267930	empty
iść	ndk	273388	pójść	dk	273409	suppletion
iść	ndk	279573	pójść	dk	279574	suppletion
jechać	ndk	251242	pojechać	dk	251251	empty
jechać	ndk	279157	pojechać	dk	251251	empty
jeść	ndk	273354	zjeść	dk	273369	empty
jęczeć	ndk	268516	jęknąć	dk	268518	suffixed
jęczeć	ndk	268516	zajęczeć	dk	268518	empty
karmić	ndk	270562	nakarmić	dk	270563	empty
kierować	ndk	260041	skierować	dk	260054	empty
kiwać	ndk	256255	kiwnąć	dk	267160	suffixed
kłamać	ndk	254166	skłamać	dk	254173	empty
kłaść	ndk	273201	położyć	dk	275182	suppletion
kłócić	ndk	269559	pokłócić	dk	269562	empty
kojarzyć	ndk	274360	skojarzyć	dk	274361	empty
komentować	ndk	261341	skomentować	dk	261342	empty
koncentrować	ndk	260440	skoncentrować	dk	260443	empty
kontaktować	ndk	261200	skontaktować	dk	261201	empty
kontrolować	ndk	258704	skontrolować	dk	258706	empty
kończyć	ndk	273980	skończyć	dk	273985	empty
korzystać	ndk	255777	skorzystać	dk	255778	empty
kosztować	ndk	261823	skosztować	dk	261827	empty
kraść	ndk	273237	ukraść	dk	273247	empty
kręcić	ndk	269424	zakręcić	dk	279155	empty
krytykować	ndk	258352	skrytykować	dk	258353	empty
krzyczeć	ndk	268664	krzyknąć	dk	266718	suffixed
kształtować	ndk	261259	ukształtować	dk	261262	empty
kupować	ndk	259743	kupić	dk	271821	suffixed
kusić	ndk	272093	skusić	dk	272098	empty
kwestionować	ndk	259427	zakwestionować	dk	259428	empty
lądować	ndk	256904	wylądować	dk	256905	empty
lecieć	ndk	267409	polecieć	dk	267418	empty
leczyć	ndk	273795	wyleczyć	dk	273807	empty
lekceważyć	ndk	275028	zlekceważyć	dk	275029	empty
liczyć	ndk	273862	policzyć	dk	273871	empty
lśnić	ndk	271222	zalśnić	dk	271223	empty
łamać	ndk	254158	złamać	dk	254180	empty
łapać	ndk	254490	złapać	dk	254503	empty
łączyć	ndk	273748	połączyć	dk	273754	empty
machać	ndk	251208	machnąć	dk	266274	suffixed
maleć	ndk	268324	zmaleć	dk	268326	empty
malować	ndk	258471	namalować	dk	258481	empty
malować	ndk	258471	pomalować	dk	258481	empty
malować	ndk	258471	umalować	dk	258481	empty
mamrotać	ndk	255633	zamamrotać	dk	255635	empty
mamrotać	ndk	255633	wymamrotać	dk	255635	empty
marnować	ndk	259563	zmarnować	dk	259568	empty
marszczyć	ndk	274311	zmarszczyć	dk	274322	empty
martwić	ndk	272515	zmartwić	dk	272521	empty
marzyć	ndk	274368	zamarzyć	dk	274371	empty
męczyć	ndk	273827	zmęczyć	dk	273835	empty
mierzyć	ndk	274474	zmierzyć	dk	274491	empty
mieszać	ndk	265456	pomieszać	dk	265469	empty
mieszać	ndk	265456	wymieszać	dk	265469	empty
mieszać	ndk	265456	zmieszać	dk	265469	empty
mieścić	ndk	269633	zmieścić	dk	269639	empty
mijać	ndk	252823	minąć	dk	266407	suffixed
milczeć	ndk	268562	zamilczeć	dk	268564	empty
mordować	ndk	257067	zamordować	dk	257069	empty
mówić	ndk	272458	powiedzieć	dk	268266	suppletion
mruczeć	ndk	268633	mruknąć	dk	268634	suffixed
mruczeć	ndk	268633	zamruczeć	dk	268634	empty
mrugać	ndk	251117	zamrugać	dk	266226	empty
