mean_similarity,data,language,model,type
0.55,first_analysis,spanish,fasttext,inflection
0.48,first_analysis,polish,fasttext,inflection
0.53,first_analysis,spanish,word2vec,inflection
0.51,first_analysis,polish,word2vec,inflection
0.95,first_analysis,spanish,bert,inflection
0.91,first_analysis,polish,bert,inflection
0.51,first_analysis,spanish,fasttext,derivation
0.54,first_analysis,polish,fasttext,derivation
0.50,first_analysis,spanish,word2vec,derivation
0.40,first_analysis,polish,word2vec,derivation
0.92,first_analysis,spanish,bert,derivation
0.93,first_analysis,polish,bert,derivation
0.55,clean_data,spanish,fasttext,inflection
0.48,clean_data,polish,fasttext,inflection
0.53,clean_data,spanish,word2vec,inflection
0.51,clean_data,polish,word2vec,inflection
0.95,clean_data,spanish,bert,inflection
0.91,clean_data,polish,bert,inflection
0.51,clean_data,spanish,fasttext,derivation
0.54,clean_data,polish,fasttext,derivation
0.50,clean_data,spanish,word2vec,derivation
0.40,clean_data,polish,word2vec,derivation
0.92,clean_data,spanish,bert,derivation
0.93,clean_data,polish,bert,derivation
0.49,subset_data,spanish,fasttext,inflection
0.49,subset_data,polish,fasttext,inflection
0.50,subset_data,spanish,word2vec,inflection
0.53,subset_data,polish,word2vec,inflection
0.93,subset_data,spanish,bert,inflection
0.90,subset_data,polish,bert,inflection
0.52,subset_data,spanish,fasttext,derivation
0.55,subset_data,polish,fasttext,derivation
0.50,subset_data,spanish,word2vec,derivation
0.40,subset_data,polish,word2vec,derivation
0.93,subset_data,spanish,bert,derivation
0.93,subset_data,polish,bert,derivation
0.18,shuffled_data,spanish,fasttext,inflection
0.20,shuffled_data,polish,fasttext,inflection
0.29,shuffled_data,spanish,word2vec,inflection
0.18,shuffled_data,polish,word2vec,inflection
0.91,shuffled_data,spanish,bert,inflection
0.88,shuffled_data,polish,bert,inflection
0.13,shuffled_data,spanish,fasttext,derivation
0.15,shuffled_data,polish,fasttext,derivation
0.22,shuffled_data,spanish,word2vec,derivation
0.15,shuffled_data,polish,word2vec,derivation
0.89,shuffled_data,spanish,bert,derivation
0.88,shuffled_data,polish,bert,derivation
