"category","model","language","type","version","mean_similarity"
"ADJ:ADJ","FastText","Polish","Derivation (same category)","Clean",0.620310725134272
"ADJ:ADJ","FastText","Spanish","Derivation (same category)","Clean",0.543380297347072
"ADJ:ADJ","Multilingual BERT","Polish","Derivation (same category)","Clean",0.946743583013972
"ADJ:ADJ","Multilingual BERT","Spanish","Derivation (same category)","Clean",0.931133620326916
"ADJ:ADJ","Word2Vec","Polish","Derivation (same category)","Clean",0.477091880485612
"ADJ:ADJ","Word2Vec","Spanish","Derivation (same category)","Clean",0.51166457430203
"ADJ:ADV","FastText","Polish","Derivation (different category)","Clean",0.603204030794905
"ADJ:ADV","FastText","Spanish","Derivation (different category)","Clean",0.566103265499136
"ADJ:ADV","Multilingual BERT","Polish","Derivation (different category)","Clean",0.948607230255968
"ADJ:ADV","Multilingual BERT","Spanish","Derivation (different category)","Clean",0.922363325717987
"ADJ:ADV","Word2Vec","Polish","Derivation (different category)","Clean",0.439566694429301
"ADJ:ADV","Word2Vec","Spanish","Derivation (different category)","Clean",0.526296191697643
"ADJ:N","FastText","Polish","Derivation (different category)","Clean",0.516577065589309
"ADJ:N","FastText","Spanish","Derivation (different category)","Clean",0.515373817219143
"ADJ:N","Multilingual BERT","Polish","Derivation (different category)","Clean",0.927687091349827
"ADJ:N","Multilingual BERT","Spanish","Derivation (different category)","Clean",0.925374880377261
"ADJ:N","Word2Vec","Polish","Derivation (different category)","Clean",0.356378696686454
"ADJ:N","Word2Vec","Spanish","Derivation (different category)","Clean",0.512110473373628
"ADJ:V","FastText","Polish","Derivation (different category)","Clean",0.401586819890489
"ADJ:V","FastText","Spanish","Derivation (different category)","Clean",0.414893869136886
"ADJ:V","Multilingual BERT","Polish","Derivation (different category)","Clean",0.929864052660944
"ADJ:V","Multilingual BERT","Spanish","Derivation (different category)","Clean",0.924349243313725
"ADJ:V","Word2Vec","Polish","Derivation (different category)","Clean",0.265228671136945
"ADJ:V","Word2Vec","Spanish","Derivation (different category)","Clean",0.420100985715744
"ADV:ADJ","FastText","Polish","Derivation (different category)","Clean",0.374689174761576
"ADV:ADJ","FastText","Spanish","Derivation (different category)","Clean",0.415008207304145
"ADV:ADJ","Multilingual BERT","Polish","Derivation (different category)","Clean",0.921629081153846
"ADV:ADJ","Multilingual BERT","Spanish","Derivation (different category)","Clean",0.931487593636364
"ADV:ADJ","Word2Vec","Polish","Derivation (different category)","Clean",0.297800625607858
"ADV:ADJ","Word2Vec","Spanish","Derivation (different category)","Clean",0.498072579423767
"ADV:ADV","FastText","Polish","Derivation (same category)","Clean",0.590321606712659
"ADV:ADV","FastText","Spanish","Derivation (same category)","Clean",0.604473192924864
"ADV:ADV","Multilingual BERT","Polish","Derivation (same category)","Clean",0.922271951818182
"ADV:ADV","Multilingual BERT","Spanish","Derivation (same category)","Clean",0.907325878
"ADV:ADV","Word2Vec","Polish","Derivation (same category)","Clean",0.498304580674275
"ADV:ADV","Word2Vec","Spanish","Derivation (same category)","Clean",0.576585726125956
"ADV:N","FastText","Polish","Derivation (different category)","Clean",0.359489614045357
