"verb","aspect","pair","pair_aspect","pair_type","similarity","model"
"akceptować","ndk","zaakceptować","dk","empty",0.786189236580136,"FastText"
"analizować","ndk","zanalizować","dk","empty",0.691768235476523,"FastText"
"analizować","ndk","przeanalizować","dk","derived",0.726749643248689,"FastText"
"angażować","ndk","zaangażować","dk","empty",0.836008461422108,"FastText"
"apelować","ndk","zaapelować","dk","empty",0.796977323756623,"FastText"
"atakować","ndk","zaatakować","dk","empty",0.808743905863857,"FastText"
"badać","ndk","zbadać","dk","empty",0.80342479287251,"FastText"
"bić","ndk","pobić","dk","empty",0.583054638844426,"FastText"
"bić","ndk","dobić","dk","derived",0.461308381693153,"FastText"
"bić","ndk","nabić","dk","derived",0.382570942339121,"FastText"
"bić","ndk","obić","dk","derived",0.369350797152669,"FastText"
"bić","ndk","odbić","dk","derived",0.266999148594688,"FastText"
"bić","ndk","przybić","dk","derived",0.272707579381768,"FastText"
"bić","ndk","podbić","dk","derived",0.407489689009128,"FastText"
"bić","ndk","rozbić","dk","derived",0.438905548081242,"FastText"
"bić","ndk","ubić","dk","derived",0.369184653891622,"FastText"
"bić","ndk","wbić","dk","derived",0.430067699396225,"FastText"
"bić","ndk","wybić","dk","derived",0.447561937443966,"FastText"
"bić","ndk","zabić","dk","derived",0.487200260170159,"FastText"
"biec","ndk","pobiec","dk","empty",0.756674650050692,"FastText"
"biec","ndk","wybiec","dk","derived",0.649845864347895,"FastText"
"blokować","ndk","zablokować","dk","empty",0.831066613463344,"FastText"
"blokować","ndk","zblokować","dk","derived",0.646313034559013,"FastText"
"błyszczeć","ndk","zabłyszczeć","dk","empty",0.75635240361387,"FastText"
"błyszczeć","ndk","nabłyszczyć","dk","derived",0.414421393317319,"FastText"
"boleć","ndk","zaboleć","dk","empty",0.740316692023797,"FastText"
"boleć","ndk","rozboleć","dk","derived",0.747205554518223,"FastText"
"bronić","ndk","obronić","dk","empty",0.790763789915943,"FastText"
"brzmieć","ndk","zabrzmieć","dk","empty",0.782222942140078,"FastText"
"budować","ndk","wybudować","dk","empty",0.723504670121956,"FastText"
"budować","ndk","zbudować","dk","empty",0.847676856319801,"FastText"
"budować","ndk","nadbudować","dk","derived",0.659838161990046,"FastText"
"budować","ndk","rozbudować","dk","derived",0.671611116245652,"FastText"
"budować","ndk","przebudować","dk","derived",0.681154894559999,"FastText"
"budować","ndk","odbudować","dk","derived",0.706312184672008,"FastText"
"budzić","ndk","obudzić","dk","empty",0.674027973249343,"FastText"
"budzić","ndk","zbudzić","dk","empty",0.654389154752209,"FastText"
"budzić","ndk","dobudzić","dk","derived",0.578904270266681,"FastText"
"budzić","ndk","obudzić","dk","derived",0.674027973249343,"FastText"
"budzić","ndk","pobudzić","dk","derived",0.490602533258823,"FastText"
"budzić","ndk","poprzebudzać","dk","derived",0.540243897668506,"FastText"
"budzić","ndk","przebudzić","dk","derived",0.572874289906108,"FastText"
"budzić","ndk","rozbudzić","dk","derived",0.628137909491558,"FastText"
"budzić","ndk","wybudzić","dk","derived",0.471662117578146,"FastText"
"budzić","ndk","wzbudzić","dk","derived",0.710927956576369,"FastText"
"całować","ndk","pocałować","dk","empty",0.752423178762963,"FastText"
"całować","ndk","ucałować","dk","derived",0.678881410805821,"FastText"
"charakteryzować","ndk","scharakteryzować","dk","empty",0.515206197520519,"FastText"
"chcieć","ndk","zechcieć","dk","empty",0.743696927389814,"FastText"
"chorować","ndk","zachorować","dk","empty",0.735229679998664,"FastText"
"chować","ndk","schować","dk","empty",0.787589034666255,"FastText"
"chować","ndk","przechować","dk","derived",0.524479043853795,"FastText"
"chować","ndk","pochować","dk","derived",0.595752113310894,"FastText"
"chować","ndk","wychować","dk","derived",0.374247870172894,"FastText"
