pivot,derivation,similarity,category,affix
słowo,rozorać,0.8333818,V:V,roz-
mata,pooczyszczać,0.7593829,V:V,po-
dziewczyna,brykieciarnia,0.7855431,N:N,-nia
długi,atomistyczny,0.8255716,N:ADJ,-ny
miły,tarczka,0.87693614,N:N,-ka
wysoki,Bukowińczyk,0.8088962,N:N,-czyk
książka,allogamiczny,0.69299227,N:ADJ,-iczny
łyżka,infantylnie,0.8204833,ADJ:ADV,-ie
drukować,prospołeczność,0.76725,ADJ:N,-ość
cebula,naświnienie,0.8239564,V:N,-enie
herbata,oologiczny,0.65030485,N:ADJ,-iczny
chłop,czuły,0.8218932,V:ADJ,-ły
chłop,hajtnąć,0.8462156,V:V,-nąć
nauczyciel,grenadierzysko,0.7064897,N:N,-ysko
nauczyć,średnio,0.8140771,ADJ:ADV,-o
kwiat,chrzęstnięcie,0.7779249,V:N,-ęcie
woda,makaronowy,0.8537158,N:ADJ,-owy
wola,orientacyjny,0.81554174,N:ADJ,-ny
Polska,chwytany,0.7159404,V:ADJ,-any
miły,goistka,0.85604477,N:N,-ka
gram,rozrabiacki,0.81587905,N:ADJ,-cki
Krak,zblanszować,0.74219245,V:V,z-
złoto,podkarzeł,0.63074225,N:N,pod-
rysa,przeciążenie,0.79950285,V:N,-enie
kania,socjalistyczny,0.7901945,N:ADJ,-ny
marchew,dziennikarski,0.72901064,N:ADJ,-ski
para,dubajczyk,0.60536885,ADJ:N,-czyk
wymóc,obliczenie,0.81414366,V:N,-enie
Google,klerykalizacja,0.76116425,ADJ:N,-izacja
ewentualny,tętniczka,0.78421736,N:N,-iczka
oczywisty,iwczanka,0.8746493,N:N,-ka
baba,kamieniczka,0.8188692,N:N,-ka
pieprz,kwietniczek,0.84033746,N:N,-ek
wierzba,porozmawiać,0.816148,V:V,po-
kilka,wywalenie,0.7968532,V:N,-enie
termin,obkurczyć,0.72688043,V:V,ob-
baba,dedykacja,0.8010107,V:N,-cja
Anglia,katechetyczność,0.6749091,ADJ:N,-ość
dół,Belmontowa,0.72370625,N:N,-owa
plon,żulia,0.8379719,N:N,-ia
mulcz,przeegzaminowywać,0.77214533,V:V,-ywać
obły,debeściarsko,0.82532835,ADJ:ADV,-o
mrówka,błahostka,0.8521655,ADJ:N,-ka
ucho,szewczyna,0.8429221,N:N,-yna
Polak,zachować,0.8279515,V:V,za-
mulczować,nieuczony,0.82214725,N:ADJ,nie-
mulczować,Anglik,0.75102264,N:N,-ik
pisać,biochemik,0.8024062,N:N,-ik
kot,niehigienicznie,0.75149167,ADJ:ADV,-ie
aktor,osobowość,0.6754119,ADJ:N,-ość
kowal,dostawiać,0.826142,V:V,do-
kowal,karmelizować,0.82012314,N:V,-ować
kuna,bacowski,0.6896951,N:ADJ,-owski
orać,antymonarchistyczność,0.7760339,ADJ:N,-ość
róża,niestrudzony,0.79479367,ADJ:ADJ,nie-
brąz,nieprawnie,0.7769743,ADJ:ADV,-ie
niebo,nierozmowny,0.8464484,ADJ:ADJ,nie-
rozebrać,kieliszkowaty,0.831931,N:ADJ,-owaty
sen,ocenzurowanie,0.6593111,N:N,o-
lekko,Julka,0.8467142,N:N,-ka
tarń,dereniówka,0.83890575,ADJ:N,-ka
brat,niekompatybilny,0.77935904,ADJ:ADJ,nie-
dać,borowiec,0.8474246,N:N,-owiec
lotny,czepianie,0.8679966,V:N,-anie
chemia,kłodzina,0.7601035,N:N,-ina
mięso,sinawy,0.86348385,ADJ:ADJ,-awy
kocioł,krogulczy,0.89479464,N:ADJ,-czy
córa,trójkolorowo,0.78779596,ADJ:ADV,-o
stary,gibonowaty,0.8281905,N:ADJ,-owaty
lipa,Krzysztofa,0.8032122,N:N,-a
sierp,gżegżółeczka,0.7332518,N:N,-eczka
wrzos,mianowaniec,0.80162555,N:N,-iec
paździerz,odessać,0.7416901,V:V,ode-
siadać,wsadzanie,0.8261986,V:N,-anie
konać,hutczanka,0.8425355,N:N,-ka
łamać,rozrywkowo,0.8627157,ADJ:ADV,-o
kula,gołąbeczek,0.79529923,N:N,-ek
częsty,drabina,0.81295484,N:N,-ina
śniadać,pokłonić,0.91431665,N:V,-ić
lśnić,Tarnowski,0.7928449,N:N,-ski
ogon,Jutrzenka,0.8249263,N:N,-enka
szkoda,aplikowanie,0.8447545,V:N,-anie
widzieć,wycieknąć,0.8614909,V:V,-nąć
nazwać,taborować,0.83406335,N:V,-ować
nazwać,scholastyczność,0.75218105,ADJ:N,-ość
chód,dansingowy,0.8518361,N:ADJ,-owy
ołów,szyszkowy,0.87754476,N:ADJ,-owy
przyjemny,Sądowicz,0.78095716,N:N,-wicz
wygodny,synonimia,0.69609004,N:N,-ia
kręcić,oszczerstwo,0.8416601,N:N,-stwo
zwiedzić,Ewunia,0.7715917,N:N,-unia
wybrać,zjawisko,0.80961,N:N,-isko
skrzyżować,zezowaty,0.771962,V:ADJ,-aty
zdjąć,kaskader,0.8387874,N:N,-er
zostawić,aksjologiczność,0.78256196,ADJ:N,-ość
pederasta,szopenistka,0.8123395,N:N,-ka
ontologia,degustatorka,0.80821353,N:N,-ka
miś,nogawica,0.8554219,N:N,-awica
wiatr,posmarować,0.8396103,V:V,po-
kita,pomocniczość,0.78556854,ADJ:N,-ość
Moskal,ganienie,0.8030811,V:N,-enie
paść,pieczeniarstwo,0.8749387,N:N,-stwo
Kaczyński,czapnik,0.8707989,N:N,-nik
społeczny,grzmocik,0.7683041,N:N,-ik
chudy,aseptyczność,0.7891795,ADJ:N,-ość
ser,zwyciężczyni,0.63965976,N:N,-yni
teizm,nietrzeźwo,0.7812776,ADJ:ADV,-o
suchy,kitajkowy,0.8673723,N:ADJ,-owy
mina,sukcesyjny,0.79402924,N:ADJ,-ny
zad,dyscernowanie,0.7771163,V:N,-anie
pacnąć,panseksualność,0.82526314,ADJ:N,-ość
lotnisko,gwiaździście,0.74934596,ADJ:ADV,-ie
skupić,cholerowy,0.83659995,N:ADJ,-owy
lizać,mroźno,0.8456225,ADJ:ADV,-o
misa,owczarski,0.7992383,N:ADJ,-ski
pszczoła,niepomyślny,0.8705528,ADJ:ADJ,nie-
ciasto,różnokształtność,0.7386689,ADJ:N,-ość
