pivot,derivation,similarity,category,affix
słowo,rozorać,0.8979758,V:V,roz-
mata,pooczyszczać,0.8908843,V:V,po-
dziewczyna,brykieciarnia,0.89680505,N:N,-nia
długi,atomistyczny,0.874882,N:ADJ,-ny
miły,tarczka,0.93585986,N:N,-ka
wysoki,Bukowińczyk,0.87417495,N:N,-czyk
książka,allogamiczny,0.8084862,N:ADJ,-iczny
łyżka,infantylnie,0.88159794,ADJ:ADV,-ie
drukować,prospołeczność,0.85451,ADJ:N,-ość
cebula,naświnienie,0.89762807,V:N,-enie
herbata,oologiczny,0.7111418,N:ADJ,-iczny
chłop,czuły,0.90877,V:ADJ,-ły
chłop,hajtnąć,0.9229423,V:V,-nąć
nauczyciel,grenadierzysko,0.80698335,N:N,-ysko
nauczyć,średnio,0.8724842,ADJ:ADV,-o
kwiat,chrzęstnięcie,0.9148051,V:N,-ęcie
woda,makaronowy,0.91839564,N:ADJ,-owy
wola,orientacyjny,0.8887921,N:ADJ,-ny
Polska,chwytany,0.82926136,V:ADJ,-any
miły,goistka,0.91765636,N:N,-ka
gram,rozrabiacki,0.90471274,N:ADJ,-cki
Krak,zblanszować,0.8448238,V:V,z-
złoto,podkarzeł,0.718349,N:N,pod-
rysa,przeciążenie,0.91400415,V:N,-enie
kania,socjalistyczny,0.85529065,N:ADJ,-ny
marchew,dziennikarski,0.81904006,N:ADJ,-ski
para,dubajczyk,0.70107925,ADJ:N,-czyk
wymóc,obliczenie,0.8857371,V:N,-enie
Google,klerykalizacja,0.869587,ADJ:N,-izacja
ewentualny,tętniczka,0.8708023,N:N,-iczka
oczywisty,iwczanka,0.9393197,N:N,-ka
baba,kamieniczka,0.91533005,N:N,-ka
pieprz,kwietniczek,0.90631926,N:N,-ek
wierzba,porozmawiać,0.88761973,V:V,po-
kilka,wywalenie,0.8766489,V:N,-enie
termin,obkurczyć,0.80647326,V:V,ob-
baba,dedykacja,0.8915557,V:N,-cja
Anglia,katechetyczność,0.7767834,ADJ:N,-ość
dół,Belmontowa,0.7721197,N:N,-owa
plon,żulia,0.9217293,N:N,-ia
mulcz,przeegzaminowywać,0.86241764,V:V,-ywać
obły,debeściarsko,0.86723316,ADJ:ADV,-o
mrówka,błahostka,0.9335684,ADJ:N,-ka
ucho,szewczyna,0.91083205,N:N,-yna
Polak,zachować,0.87702346,V:V,za-
mulczować,nieuczony,0.89507324,N:ADJ,nie-
mulczować,Anglik,0.85138947,N:N,-ik
pisać,biochemik,0.87570053,N:N,-ik
kot,niehigienicznie,0.86813045,ADJ:ADV,-ie
aktor,osobowość,0.7568462,ADJ:N,-ość
kowal,dostawiać,0.87651896,V:V,do-
kowal,karmelizować,0.88624716,N:V,-ować
kuna,bacowski,0.80524254,N:ADJ,-owski
orać,antymonarchistyczność,0.8758155,ADJ:N,-ość
róża,niestrudzony,0.8995062,ADJ:ADJ,nie-
brąz,nieprawnie,0.8869858,ADJ:ADV,-ie
niebo,nierozmowny,0.91177493,ADJ:ADJ,nie-
rozebrać,kieliszkowaty,0.9157609,N:ADJ,-owaty
sen,ocenzurowanie,0.7866791,N:N,o-
lekko,Julka,0.9175445,N:N,-ka
tarń,dereniówka,0.90797067,ADJ:N,-ka
brat,niekompatybilny,0.9040017,ADJ:ADJ,nie-
dać,borowiec,0.8947638,N:N,-owiec
lotny,czepianie,0.94749427,V:N,-anie
chemia,kłodzina,0.84024227,N:N,-ina
mięso,sinawy,0.924712,ADJ:ADJ,-awy
kocioł,krogulczy,0.95026237,N:ADJ,-czy
córa,trójkolorowo,0.8674937,ADJ:ADV,-o
stary,gibonowaty,0.89312917,N:ADJ,-owaty
lipa,Krzysztofa,0.8627447,N:N,-a
sierp,gżegżółeczka,0.88093525,N:N,-eczka
wrzos,mianowaniec,0.8810605,N:N,-iec
paździerz,odessać,0.8396181,V:V,ode-
siadać,wsadzanie,0.8854012,V:N,-anie
konać,hutczanka,0.9201325,N:N,-ka
łamać,rozrywkowo,0.9286448,ADJ:ADV,-o
kula,gołąbeczek,0.8897892,N:N,-ek
częsty,drabina,0.8680334,N:N,-ina
śniadać,pokłonić,0.9619343,N:V,-ić
lśnić,Tarnowski,0.80493516,N:N,-ski
ogon,Jutrzenka,0.9098201,N:N,-enka
szkoda,aplikowanie,0.90120375,V:N,-anie
widzieć,wycieknąć,0.92775303,V:V,-nąć
nazwać,taborować,0.88336796,N:V,-ować
nazwać,scholastyczność,0.81040514,ADJ:N,-ość
chód,dansingowy,0.91985637,N:ADJ,-owy
ołów,szyszkowy,0.93332607,N:ADJ,-owy
przyjemny,Sądowicz,0.82469374,N:N,-wicz
wygodny,synonimia,0.7139464,N:N,-ia
kręcić,oszczerstwo,0.885616,N:N,-stwo
zwiedzić,Ewunia,0.81439435,N:N,-unia
wybrać,zjawisko,0.8850536,N:N,-isko
skrzyżować,zezowaty,0.8870194,V:ADJ,-aty
zdjąć,kaskader,0.9036507,N:N,-er
zostawić,aksjologiczność,0.85666025,ADJ:N,-ość
pederasta,szopenistka,0.8878017,N:N,-ka
ontologia,degustatorka,0.89007175,N:N,-ka
miś,nogawica,0.9131501,N:N,-awica
wiatr,posmarować,0.91232425,V:V,po-
kita,pomocniczość,0.8843219,ADJ:N,-ość
Moskal,ganienie,0.9079806,V:N,-enie
paść,pieczeniarstwo,0.9242927,N:N,-stwo
Kaczyński,czapnik,0.93838114,N:N,-nik
społeczny,grzmocik,0.87581325,N:N,-ik
chudy,aseptyczność,0.8750291,ADJ:N,-ość
ser,zwyciężczyni,0.7467303,N:N,-yni
teizm,nietrzeźwo,0.88004255,ADJ:ADV,-o
suchy,kitajkowy,0.93850166,N:ADJ,-owy
mina,sukcesyjny,0.85418564,N:ADJ,-ny
zad,dyscernowanie,0.88174266,V:N,-anie
pacnąć,panseksualność,0.90025544,ADJ:N,-ość
lotnisko,gwiaździście,0.87838614,ADJ:ADV,-ie
skupić,cholerowy,0.8914623,N:ADJ,-owy
lizać,mroźno,0.92123365,ADJ:ADV,-o
misa,owczarski,0.8814442,N:ADJ,-ski
pszczoła,niepomyślny,0.93214905,ADJ:ADJ,nie-
ciasto,różnokształtność,0.8793952,ADJ:N,-ość
orzeł,strzelanie,0.88143986,V:N,-anie
osa,pochlebstwo,0.8445617,N:N,-stwo
elf,kodeksowy,0.7816651,N:ADJ,-owy
muł,podać,0.8788261,V:V,po-
pomarańcza,ślimaczy,0.94215274,N:ADJ,-czy
kulturysta,nikielinowy,0.86967504,N:ADJ,-owy
