verb,aspect,pair,pair_aspect,pair_type,similarity
akceptować,ndk,zaakceptować,dk,empty,0.7861892365801364
analizować,ndk,zanalizować,dk,empty,0.6917682354765226
analizować,ndk,przeanalizować,dk,derived,0.7267496432486892
angażować,ndk,zaangażować,dk,empty,0.836008461422108
apelować,ndk,zaapelować,dk,empty,0.7969773237566234
atakować,ndk,zaatakować,dk,empty,0.8087439058638572
badać,ndk,zbadać,dk,empty,0.8034247928725097
bić,ndk,pobić,dk,empty,0.5830546388444257
bić,ndk,dobić,dk,derived,0.4613083816931529
bić,ndk,nabić,dk,derived,0.3825709423391207
bić,ndk,obić,dk,derived,0.36935079715266916
bić,ndk,odbić,dk,derived,0.2669991485946881
bić,ndk,przybić,dk,derived,0.27270757938176793
bić,ndk,podbić,dk,derived,0.4074896890091281
bić,ndk,rozbić,dk,derived,0.4389055480812418
bić,ndk,ubić,dk,derived,0.36918465389162236
bić,ndk,wbić,dk,derived,0.43006769939622513
bić,ndk,wybić,dk,derived,0.44756193744396633
bić,ndk,zabić,dk,derived,0.4872002601701588
biec,ndk,pobiec,dk,empty,0.7566746500506916
biec,ndk,wybiec,dk,derived,0.6498458643478953
blokować,ndk,zablokować,dk,empty,0.8310666134633442
blokować,ndk,zblokować,dk,derived,0.6463130345590126
błyszczeć,ndk,zabłyszczeć,dk,empty,0.7563524036138703
błyszczeć,ndk,nabłyszczyć,dk,derived,0.41442139331731886
boleć,ndk,zaboleć,dk,empty,0.7403166920237975
boleć,ndk,rozboleć,dk,derived,0.7472055545182232
brać,ndk,wziąć,dk,suppletion,0.8324469159246357
bronić,ndk,obronić,dk,empty,0.7907637899159434
brzmieć,ndk,zabrzmieć,dk,empty,0.7822229421400778
budować,ndk,wybudować,dk,empty,0.7235046701219555
budować,ndk,zbudować,dk,empty,0.8476768563198013
budować,ndk,nadbudować,dk,derived,0.6598381619900455
budować,ndk,rozbudować,dk,derived,0.6716111162456517
budować,ndk,przebudować,dk,derived,0.6811548945599994
budować,ndk,odbudować,dk,derived,0.7063121846720076
budzić,ndk,obudzić,dk,empty,0.6740279732493427
budzić,ndk,zbudzić,dk,empty,0.6543891547522094
budzić,ndk,dobudzić,dk,derived,0.5789042702666813
budzić,ndk,obudzić,dk,derived,0.6740279732493427
budzić,ndk,pobudzić,dk,derived,0.49060253325882286
budzić,ndk,poprzebudzać,dk,derived,0.5402438976685057
budzić,ndk,przebudzić,dk,derived,0.5728742899061081
budzić,ndk,rozbudzić,dk,derived,0.6281379094915576
budzić,ndk,wybudzić,dk,derived,0.47166211757814624
budzić,ndk,wzbudzić,dk,derived,0.710927956576369
całować,ndk,pocałować,dk,empty,0.7524231787629632
całować,ndk,ucałować,dk,derived,0.6788814108058207
charakteryzować,ndk,scharakteryzować,dk,empty,0.5152061975205189
chcieć,ndk,zechcieć,dk,empty,0.7436969273898142
chorować,ndk,zachorować,dk,empty,0.7352296799986636
chować,ndk,schować,dk,empty,0.7875890346662546
chować,ndk,przechować,dk,derived,0.5244790438537954
chować,ndk,pochować,dk,derived,0.5957521133108936
chować,ndk,wychować,dk,derived,0.3742478701728944
chować,ndk,odchować,dk,derived,0.44998746656422595
chować,ndk,podchować,dk,derived,0.49541276022556535
chować,ndk,uchować,dk,derived,0.5348250122206704
chować,ndk,dochować,dk,derived,0.47636682564079946
chwytać,ndk,chwycić,dk,suffixed,0.7041594919290832
ciągnąć,ndk,pociągnąć,dk,empty,0.7032094755084526
ciągnąć,ndk,obciągnąć,dk,derived,0.4727199459111012
ciągnąć,ndk,przeciągnąć,dk,derived,0.6720994379290947
ciągnąć,ndk,wciągnąć,dk,derived,0.5793035145910638
cieszyć,ndk,ucieszyć,dk,empty,0.7014558116667734
cieszyć,ndk,pocieszyć,dk,derived,0.56384803493141
cofać,ndk,cofnąć,dk,suffixed,0.6972074910757885
cofać,ndk,wycofać,dk,derived,0.5640500345847806
cytować,ndk,zacytować,dk,empty,0.7166056856386092
czekać,ndk,zaczekać,dk,empty,0.7867065929735425
czekać,ndk,poczekać,dk,derived,0.8326609211046931
czekać,ndk,odczekać,dk,derived,0.6488997286925952
czekać,ndk,doczekać,dk,derived,0.60841131501609
czerpać,ndk,zaczerpać,dk,empty,0.6204755452327203
czerpać,ndk,wyczerpać,dk,derived,0.454349567303445
czuć,ndk,poczuć,dk,empty,0.8240802587671554
czuć,ndk,uczuć,dk,derived,0.19955690660560566
czuć,ndk,odczuć,dk,derived,0.5447370474125365
czuć,ndk,wyczuć,dk,derived,0.6321630204351714
czuć,ndk,przeczuć,dk,derived,0.35657241702162823
czynić,ndk,uczynić,dk,empty,0.781071372766872
czytać,ndk,przeczytać,dk,empty,0.7476445415943496
czytać,ndk,odczytać,dk,derived,0.5661879206024433
czytać,ndk,rozczytać,dk,derived,0.5714920415324285
czytać,ndk,wyczytać,dk,derived,0.511971745862856
czytać,ndk,zaczytać,dk,derived,0.6612116063243821
ćwiczyć,ndk,wyćwiczyć,dk,empty,0.7142751263853095
dawać,ndk,dać,dk,suffixed,0.8271203539008871
dbać,ndk,zadbać,dk,empty,0.8211629363455671
decydować,ndk,zdecydować,dk,empty,0.7723146209784271
decydować,ndk,zadecydować,dk,derived,0.8527732618376328
denerwować,ndk,zdenerwować,dk,empty,0.7170405687443013
dobiegać,ndk,dobiec,dk,suffixed,0.6370558684763321
dobiegać,ndk,dobiegnąć,dk,suffixed,0.7024667420954877
doceniać,ndk,docenić,dk,suffixed,0.7564857934912207
docierać,ndk,dotrzeć,dk,suffixed,0.7320648377557741
dodawać,ndk,dodać,dk,suffixed,0.7408250357499627
dokonywać,ndk,dokonać,dk,suffixed,0.8152737970074142
dominować,ndk,zdominować,dk,empty,0.6467929988718836
domyślać,ndk,domyślić,dk,suffixed,0.7633614242459466
donosić,ndk,donieść,dk,suffixed,0.6408090488171738
doprowadzać,ndk,doprowadzić,dk,suffixed,0.8303244855541592
dopuszczać,ndk,dopuścić,dk,suffixed,0.7800986358601977
dopytywać,ndk,dopytać,dk,suffixed,0.7016199026380061
dorastać,ndk,dorosnąć,dk,suffixed,0.6274543255923074
dostarczać,ndk,dostarczyć,dk,suffixed,0.8070128679639694
dostawać,ndk,dostać,dk,suffixed,0.6585326405505681
dostrzegać,ndk,dostrzec,dk,suffixed,0.69039445181027
doświadczać,ndk,doświadczyć,dk,suffixed,0.7620384397115363
dotykać,ndk,dotknąć,dk,suffixed,0.7498691313940228
dowiadywać,ndk,dowiedzieć,dk,suffixed,0.6731902142621724
dowodzić,ndk,dowieść,dk,suffixed,0.4877086653146412
drżeć,ndk,zadrżeć,dk,empty,0.7329154349077445
dusić,ndk,udusić,dk,empty,0.7099695413809879
dysponować,ndk,zadysponować,dk,empty,0.567197827019034
dzielić,ndk,podzielić,dk,empty,0.7941695317330405
dziękować,ndk,podziękować,dk,empty,0.7282327423121869
dziwić,ndk,zdziwić,dk,empty,0.710384824890499
dziwić,ndk,zadziwić,dk,derived,0.5754852828722684
dzwonić,ndk,zadzwonić,dk,empty,0.7947556043463644
dzwonić,ndk,dodzwonić,dk,derived,0.729187971979971
dzwonić,ndk,obdzwonić,dk,derived,0.6350221903994943
dzwonić,ndk,oddzwonić,dk,derived,0.7147919665015794
dzwonić,ndk,podzwonić,dk,derived,0.6898450276396925
dzwonić,ndk,przedzwonić,dk,derived,0.6985670626131935
dzwonić,ndk,przydzwonić,dk,derived,0.6060852028820435
dzwonić,ndk,rozdzwonić,dk,derived,0.6633280853049445
dzwonić,ndk,wydzwonić,dk,derived,0.7337492923952215
dźwigać,ndk,dźwignąć,dk,suffixed,0.6008780357802649
finansować,ndk,sfinansować,dk,empty,0.7897026406906287
funkcjonować,ndk,zafunkcjonować,dk,empty,0.7177602277857866
ginąć,ndk,zginąć,dk,empty,0.7271333797340545
gładzić,ndk,pogładzić,dk,empty,0.6968563947640743
gładzić,ndk,wygładzić,dk,derived,0.5700225632600044
gładzić,ndk,zgładzić,dk,derived,0.3866429888584071
głaskać,ndk,pogłaskać,dk,empty,0.8198656004989107
głaskać,ndk,ugłaskać,dk,derived,0.685368516943047
głosować,ndk,zagłosować,dk,empty,0.8190286630249215
głosować,ndk,przegłosować,dk,derived,0.6003445902833735
gniewać,ndk,pogniewać,dk,empty,0.7181929896072342
gniewać,ndk,zagniewać,dk,derived,0.6142151208467338
godzić,ndk,pogodzić,dk,empty,0.6872500479330915
godzić,ndk,zgodzić,dk,derived,0.5741703424385455
gotować,ndk,ugotować,dk,empty,0.7123743317456296
gotować,ndk,zagotować,dk,derived,0.6316290480684986
grać,ndk,zagrać,dk,empty,0.8171170823494833
grozić,ndk,pogrozić,dk,empty,0.6440308220654988
grozić,ndk,zagrozić,dk,derived,0.6582389120216672
gryźć,ndk,ugryźć,dk,empty,0.5366856657378699
gryźć,ndk,pogryźć,dk,derived,0.6661709114239432
gryźć,ndk,zagryźć,dk,derived,0.67482858442054
gryźć,ndk,zgryźć,dk,derived,0.48037900348567864
gwarantować,ndk,zagwarantować,dk,empty,0.8028684117923065
hamować,ndk,zahamować,dk,empty,0.6868234034702292
hamować,ndk,wyhamować,dk,derived,0.6921656131923972
ignorować,ndk,zignorować,dk,empty,0.8003672526146052
informować,ndk,poinformować,dk,empty,0.7508197885392076
interesować,ndk,zainteresować,dk,empty,0.7502932802264078
inwestować,ndk,zainwestować,dk,empty,0.8201094856062839
irytować,ndk,zirytować,dk,empty,0.7482516452280958
istnieć,ndk,zaistnieć,dk,empty,0.6555818018995841
iść,ndk,pójść,dk,empty,0.9285906561753942
iść,ndk,dojść,dk,derived,0.5389623594089709
iść,ndk,najść,dk,derived,0.4163107449217054
iść,ndk,obejść,dk,derived,0.4051307889610939
iść,ndk,przejść,dk,derived,0.6023468694618821
iść,ndk,przyjść,dk,derived,0.6638155211873081
iść,ndk,ujść,dk,derived,0.3106571995163908
iść,ndk,wejść,dk,derived,0.5084273545056531
iść,ndk,wyjść,dk,derived,0.605544845764472
iść,ndk,zajść,dk,derived,0.48182109284316743
iść,ndk,zejść,dk,derived,0.6021525381866057
jechać,ndk,pojechać,dk,empty,0.8788709497433845
jechać,ndk,dojechać,dk,derived,0.7188034694641894
jechać,ndk,najechać,dk,derived,0.5113286213852398
jechać,ndk,objechać,dk,derived,0.635347248280011
jechać,ndk,przejechać,dk,derived,0.6421705701295052
jechać,ndk,przyjechać,dk,derived,0.7615270713407045
jechać,ndk,ujechać,dk,derived,0.6738022610627925
jechać,ndk,wjechać,dk,derived,0.704510425842785
jechać,ndk,wyjechać,dk,derived,0.7778356387823642
jechać,ndk,zajechać,dk,derived,0.7250280932435579
jechać,ndk,zjechać,dk,derived,0.6973744992564157
jeść,ndk,zjeść,dk,empty,0.75781081853542
jeść,ndk,zajeść,dk,derived,0.5973339857026861
jeść,ndk,wyjeść,dk,derived,0.6151151914580122
jeść,ndk,podjeść,dk,derived,0.6020640085407957
jeść,ndk,ujeść,dk,derived,0.6275171174033958
jeść,ndk,dojeść,dk,derived,0.5692924924631158
jęczeć,ndk,jęknąć,dk,suffixed,0.6324130423491158
jęczeć,ndk,najęczeć,dk,derived,0.5498632346691896
jęczeć,ndk,pojęczeć,dk,derived,0.6798721189492477
jęczeć,ndk,przejęczeć,dk,derived,0.5307219965926449
