pivot,derivation,similarity,category,affix
słowo,słownik,0.34941576807910346,N:N,-nik
mata,matka,0.268059781988532,N:N,-ka
dziewczyna,dziewczynka,0.744572248170332,N:N,-ka
długi,długość,0.3389884800176518,ADJ:N,-ość
miły,miłość,0.16297756644074557,ADJ:N,-ość
wysoki,wysokość,0.33774369176955044,ADJ:N,-ość
książka,książeczka,0.6449831751020942,N:N,-eczka
łyżka,łyżeczka,0.8097641863277178,N:N,-eczka
drukować,drukarka,0.4619643480514286,V:N,-arka
cebula,cebulka,0.70670178055059,N:N,-ka
herbata,herbatka,0.7566226081686854,N:N,-ka
chłop,chłopak,0.5332860398020406,N:N,-ak
chłop,chłopiec,0.5290190484702363,N:N,-iec
nauczyciel,nauczycielka,0.7282625102054398,N:N,-ka
nauczyć,nauczyciel,0.33780940015890837,V:N,-ciel
kwiat,kwiatek,0.7554421551033744,N:N,-ek
woda,wódka,0.546336198307266,N:N,-ka
wola,wolny,0.22161866278383213,N:ADJ,-ny
Polska,polski,0.25750129948190636,N:ADJ,-ski
miły,mile,0.42809544339170613,ADJ:ADV,-e
gram,kilogram,0.444503334039938,ADJ:N,kilo-
Krak,Kraków,0.5126791451177736,N:N,-ów
złoto,złoty,0.5698982759131132,N:ADJ,-y
rysa,ryska,0.4636188302703743,N:N,-ka
kania,kani,0.5020354794351134,N:ADJ,-i
marchew,marchewka,0.7038423777879099,N:N,-ka
para,parka,0.5542622148958635,N:N,-ka
wymóc,wymagać,0.27829458655873773,V:V,-ać
Google,googlować,0.3985039317164758,N:V,-ować
ewentualny,ewentualnie,0.5478835823702342,ADJ:ADV,-ie
oczywisty,oczywiście,0.4872200713315338,ADJ:ADV,-ie
baba,babi,0.42738315288694095,N:ADJ,-i
pieprz,pieprzyć,0.35925289506671,N:V,-yć
wierzba,Wierzbowski,0.19201147656095252,N:N,-ski
kilka,kilkanaście,0.9099394710173124,N:N,-naście
termin,terminator,0.31991396403180095,N:N,-ator
baba,babka,0.6387441384548221,ADJ:N,-ka
Anglia,angol,0.2627880622244665,N:N,-ol
dół,dolina,0.2332324136632693,N:N,-ina
plon,międzyplon,0.5894356014245912,N:N,między-
mulcz,mulczować,0.5355329708404117,N:V,-ować
obły,oblak,0.3278874169333388,ADJ:N,-ak
mrówka,mrównik,0.39968437127772916,N:N,-nik
ucho,uszny,0.3839232079402144,N:ADJ,-ny
Polak,Polka,0.5442668761961459,N:N,-ka
mulczować,mulczujący,0.5965931603976422,V:ADJ,-ący
mulczować,mulczowanie,0.6401886608482282,V:N,-anie
pisać,pismo,0.2463613216538192,V:N,-mo
kot,kotka,0.5356904907733275,N:N,-ka
aktor,aktorka,0.7292362866940505,N:N,-ka
kowal,Kowalska,0.18691579820475535,N:N,-ska
kowal,Kowalski,0.3347649388641025,N:N,-ski
kuna,kuni,0.22862705841758668,N:ADJ,-i
orać,orka,0.4297616323969806,V:N,-ka
róża,różowy,0.3558556822203207,N:ADJ,-owy
