pivot,perfective,similarity
abonować,zaabonować,0.8703754883040036
analizować,przeanalizować,0.7267496432486892
bankrutować,zbankrutować,0.7563866580797836
betonować,zabetonować,0.7597641158637604
betonować,wybetonować,0.7292170265341003
bełtać,zabełtać,0.7894137735076956
biegać,pobiegać,0.7687143576833126
brudzić,pobrudzić,0.7863347039241839
brudzić,ubrudzić,0.7860650996743325
brudzić,wybrudzić,0.752396459657077
brudzić,nabrudzić,0.7320742900952845
buchać,buchnąć,0.7646370318732801
budzić,dobudzić,0.5789042702666813
budzić,obudzić,0.6740279732493427
budzić,pobudzić,0.49060253325882286
budzić,poprzebudzać,0.5402438976685057
budzić,przebudzić,0.5728742899061081
budzić,rozbudzić,0.6281379094915576
budzić,wybudzić,0.47166211757814624
budzić,wzbudzić,0.710927956576369
budzić,zbudzić,0.6543891547522094
burzyć,zburzyć,0.716555078991407
całować,pocałować,0.7524231787629632
całować,ucałować,0.6788814108058207
cedzić,przecedzić,0.6331947113726687
chcieć,zechcieć,0.7436969273898142
chować,przechować,0.5244790438537954
chować,schować,0.7875890346662546
chować,pochować,0.5957521133108936
chować,wychować,0.3742478701728944
chować,odchować,0.44998746656422595
chować,podchować,0.49541276022556535
chować,uchować,0.5348250122206704
chować,dochować,0.47636682564079946
chrzcić,ochrzcić,0.7484008538886817
chrzcić,przechrzcić,0.6514887297920918
chłeptać,wychłeptać,0.6757301049983558
cofać,wycofywać się,0.28752305636942443
cytować,zacytować,0.7166056856386092
czekać,zaczekać,0.7867065929735425
czekać,poczekać,0.8326609211046931
czekać,odczekać,0.6488997286925952
czekać,doczekać,0.60841131501609
czerpać,zaczerpnąć,0.629203943388439
czerpać,wyczerpać,0.454349567303445
czesać,uczesać,0.8021122905600884
czesać,poczesać,0.6149374085270974
czesać,przeczesać,0.6456087070583254
czesać,rozczesać,0.7017346952165421
czesać,wyczesać,0.7623712012203417
czesać,sczesać,0.6742379481602571
czeznąć,sczeznąć,0.8040117615368425
czuć,poczuć,0.8240802587671554
czuć,uczuć,0.19955690660560566
czuć,poczuwać,0.5145485180044923
czuć,odczuć,0.5447370474125365
czuć,wyczuć,0.6321630204351714
czuć,przeczuć,0.35657241702162823
czytać,odczytać,0.5661879206024433
czytać,przeczytać,0.7476445415943496
czytać,rozczytać,0.5714920415324285
czytać,wyczytać,0.511971745862856
czytać,zaczytać,0.6612116063243821
dbać,zadbać,0.8211629363455671
dedykować,zadedykować,0.780808466594768
dementować,zdementować,0.8014802842890648
demontować,zdemontować,0.7759709163336346
diagnozować,zdiagnozować,0.7917856988899761
dmuchać,dmuchnąć,0.7254179719186209
doceniać,docenić,0.7564857934912207
dochodzić,dojść,0.7031154395328612
doić,wydoić,0.8040378693885898
doić,udoić,0.4963543033380404
doprowadzać,doprowadzić,0.8303244855541592
dostarczać,dostarczyć,0.8070128679639694
dostawać,dostać,0.6585326405505681
dotykać,dotknąć,0.7498691313940228
drażnić,podrażnić,0.7001552700790584
drażnić,zadrażnić,0.6412957487701203
drgać,drgnąć,0.48413700419039163
drgać,wzdrygnąć się,0.15517433292339788
drylować,wydrylować,0.819894951559794
drzemać,zdrzemnąć się,0.4993411336553647
dymać,wydymać,0.7558682093505283
dyszeć,wydyszeć,0.7087769898044481
działać,zadziałać,0.767452574574962
działać,zdziałać,0.5458171300468019
dzierżyć,zdzierżyć,0.6032414767302416
