pivot,derivation,similarity,category,affix
słowo,słownik,0.64372456,N:N,-nik
mata,matka,0.68260646,N:N,-ka
dziewczyna,dziewczynka,0.8318726,N:N,-ka
długi,długość,0.76752716,ADJ:N,-ość
miły,miłość,0.77651405,ADJ:N,-ość
wysoki,wysokość,0.77612925,ADJ:N,-ość
książka,książeczka,0.7112476,N:N,-eczka
łyżka,łyżeczka,0.89501685,N:N,-eczka
drukować,drukarka,0.70212305,V:N,-arka
cebula,cebulka,0.9087074,N:N,-ka
herbata,herbatka,0.7735635,N:N,-ka
chłop,chłopak,0.7978347,N:N,-ak
chłop,chłopiec,0.8124211,N:N,-iec
nauczyciel,nauczycielka,0.89621043,N:N,-ka
nauczyć,nauczyciel,0.7127322,V:N,-ciel
kwiat,kwiatek,0.8402821,N:N,-ek
woda,wódka,0.77892584,N:N,-ka
wola,wolny,0.780788,N:ADJ,-ny
Polska,polski,0.7731352,N:ADJ,-ski
miły,mile,0.8259158,ADJ:ADV,-e
gram,kilogram,0.8369749,ADJ:N,kilo-
Krak,Kraków,0.5537413,N:N,-ów
złoto,złoty,0.8635339,N:ADJ,-y
rysa,ryska,0.8783908,N:N,-ka
kania,kani,0.6875806,N:ADJ,-i
marchew,marchewka,0.7111083,N:N,-ka
para,parka,0.6997976,N:N,-ka
wymóc,wymagać,0.6617633,V:V,-ać
Google,googlować,0.5876297,N:V,-ować
ewentualny,ewentualnie,0.7022365,ADJ:ADV,-ie
oczywisty,oczywiście,0.714254,ADJ:ADV,-ie
baba,babi,0.6896526,N:ADJ,-i
pieprz,pieprzyć,0.8582513,N:V,-yć
wierzba,Wierzbowski,0.59312737,N:N,-ski
kilka,kilkanaście,0.9464326,N:N,-naście
termin,terminator,0.72893244,N:N,-ator
baba,babka,0.7522411,ADJ:N,-ka
Anglia,angol,0.62114286,N:N,-ol
dół,dolina,0.6663881,N:N,-ina
plon,międzyplon,0.6764329,N:N,między-
mulcz,mulczować,0.80038965,N:V,-ować
obły,oblak,0.7504108,ADJ:N,-ak
mrówka,mrównik,0.9054211,N:N,-nik
ucho,uszny,0.6009797,N:ADJ,-ny
Polak,Polka,0.73410743,N:N,-ka
mulczować,mulczujący,0.8279389,V:ADJ,-ący
mulczować,mulczowanie,0.92871946,V:N,-anie
pisać,pismo,0.78191584,V:N,-mo
kot,kotka,0.79233277,N:N,-ka
aktor,aktorka,0.90971845,N:N,-ka
kowal,Kowalska,0.51998115,N:N,-ska
kowal,Kowalski,0.5852435,N:N,-ski
kuna,kuni,0.9340051,N:ADJ,-i
orać,orka,0.8056308,V:N,-ka
róża,różowy,0.8210372,N:ADJ,-owy
brąz,brązowy,0.8725668,N:ADJ,-owy
niebo,niebieski,0.71849835,N:ADJ,-ski
rozebrać,rozbierać,0.708395,V:V,-ać
sen,snowy,0.62395597,N:ADJ,-owy
lekko,lekce,0.88893604,ADV:ADV,-e
tarń,tarka,0.82258177,N:N,-ka
brat,brach,0.56663543,N:N,-ch
dać,dany,0.7892639,V:ADJ,-any
lotny,lotnisko,0.6150897,ADJ:N,-isko
chemia,chemiczny,0.75776184,N:ADJ,-iczny
mięso,mięsień,0.7085712,N:N,-eń
kocioł,kotlina,0.7595105,N:N,-ina
córa,córka,0.75376093,N:N,-ka
stary,stara,0.85776347,ADJ:N,-a
lipa,lipiec,0.64882684,N:N,-iec
sierp,sierpień,0.6955628,N:N,-eń
wrzos,wrzesień,0.59482753,N:N,-eń
paździerz,październik,0.6165263,N:N,-nik
siadać,posiadać,0.6217247,V:V,po-
konać,pokonać,0.6498447,V:V,po-
łamać,złamać,0.9493046,V:V,z-
kula,kulka,0.7884995,N:N,-ka
częsty,często,0.7220128,ADJ:ADV,-o
śniadać,śniadanie,0.72048897,V:N,-anie
lśnić,lśniący,0.6805561,V:ADJ,-ący
ogon,ogonek,0.71211034,N:N,-ek
szkoda,szkodzić,0.6477778,N:V,-ić
widzieć,widzenie,0.8800941,V:N,-enie
nazwać,nazywać,0.96287584,V:V,-ać
nazwać,nazwisko,0.8198079,V:N,-isko
chód,samochód,0.7039456,N:N,samo-
ołów,ołówek,0.85164636,N:N,-ek
przyjemny,przyjemność,0.9062899,ADJ:N,-ość
wygodny,wygodnie,0.93952715,ADJ:ADV,-ie
kręcić,skręcić,0.87289774,V:V,s-
zwiedzić,zwiedzać,0.7522582,V:V,-ać
wybrać,wybierać,0.95681405,V:V,-ać
skrzyżować,skrzyżowanie,0.70485365,V:N,-anie
zdjąć,zdjęcie,0.7283577,V:N,-ęcie
zostawić,zostawiać,0.927834,V:V,-ać
pederasta,pedał,0.7063699,N:N,-ał
ontologia,paleontologia,0.7052382,N:N,paleo-
miś,misi,0.698112,N:ADJ,-i
wiatr,wiatrak,0.7444824,N:N,-ak
kita,kitka,0.9155458,N:N,-ka
Moskal,moch,0.59747726,N:N,-ch
paść,padać,0.66495925,V:V,-adać
Kaczyński,kaczysta,0.6006108,N:N,-ysta
społeczny,społeczeństwo,0.82543784,ADJ:N,-stwo
chudy,chudoba,0.78335863,ADJ:N,-oba
ser,sernik,0.80465627,N:N,-nik
teizm,monoteizm,0.60331213,N:N,mono-
suchy,sucho,0.85790825,ADJ:ADV,-o
mina,minka,0.90180343,N:N,-ka
zad,zadek,0.76146543,N:N,-ek
pacnąć,packa,0.8212059,V:N,-ka
lotnisko,lotniskowiec,0.8411024,N:N,-owiec
skupić,skupina,0.67639405,V:N,-ina
lizać,Polizei,0.615634,V:V,po-
misa,miska,0.9293379,N:N,-ka
pszczoła,pszczółka,0.8454063,N:N,-ka
ciasto,ciastko,0.94043726,N:N,-ko
orzeł,orli,0.7196946,N:ADJ,-i
osa,osi,0.7914061,N:ADJ,-i
elf,elfi,0.8556067,N:ADJ,-i
muł,muli,0.9160576,N:ADJ,-i
pomarańcza,pomarańczowy,0.7121753,N:ADJ,-owy
kulturysta,kulturystka,0.89912456,N:N,-ka
gonić,goniec,0.7924,V:N,-ec
skok,skoczek,0.7088802,N:N,-ek
Portugalia,Portugalka,0.80238986,N:N,-ka
