verb,aspect,pair,pair_aspect,pair_type,similarity
akceptować,ndk,zaakceptować,dk,empty,0.6933606274638627
analizować,ndk,zanalizować,dk,empty,0.6832652975247316
analizować,ndk,przeanalizować,dk,derived,0.7064278118382555
angażować,ndk,zaangażować,dk,empty,0.7763807789609735
apelować,ndk,zaapelować,dk,empty,0.7773642862027182
atakować,ndk,zaatakować,dk,empty,0.7855916220206799
badać,ndk,zbadać,dk,empty,0.7451100406422959
bić,ndk,pobić,dk,empty,0.443877631435627
bić,ndk,dobić,dk,derived,0.386114372431675
bić,ndk,nabić,dk,derived,0.3802283437234659
bić,ndk,obić,dk,derived,0.34171196195181963
bić,ndk,odbić,dk,derived,0.21866209524161362
bić,ndk,przybić,dk,derived,0.2644160446061776
bić,ndk,podbić,dk,derived,0.345378263172878
bić,ndk,rozbić,dk,derived,0.3837543588969643
bić,ndk,ubić,dk,derived,0.32743390940255757
bić,ndk,wbić,dk,derived,0.3360643950399754
bić,ndk,wybić,dk,derived,0.34213927731509586
bić,ndk,zabić,dk,derived,0.4404095040198428
biec,ndk,pobiec,dk,empty,0.7049130109474532
biec,ndk,wybiec,dk,derived,0.470986004766739
blokować,ndk,zablokować,dk,empty,0.760095191204391
blokować,ndk,zblokować,dk,derived,0.3867746289307541
błyszczeć,ndk,zabłyszczeć,dk,empty,0.518767253079708
błyszczeć,ndk,nabłyszczyć,dk,derived,0.3924839588489156
boleć,ndk,zaboleć,dk,empty,0.6039043837150041
boleć,ndk,rozboleć,dk,derived,0.5541484154402746
brać,ndk,wziąć,dk,suppletion,0.8310575350380063
bronić,ndk,obronić,dk,empty,0.6624608878349043
brzmieć,ndk,zabrzmieć,dk,empty,0.6530984088082754
budować,ndk,wybudować,dk,empty,0.7127985235154422
budować,ndk,zbudować,dk,empty,0.8162472845343111
budować,ndk,nadbudować,dk,derived,0.46143344669570263
budować,ndk,rozbudować,dk,derived,0.5148924196769324
budować,ndk,przebudować,dk,derived,0.5607483162453933
budować,ndk,odbudować,dk,derived,0.6061099831191865
budzić,ndk,obudzić,dk,empty,0.5407544264126201
budzić,ndk,zbudzić,dk,empty,0.4727758755133493
budzić,ndk,dobudzić,dk,derived,0.31852173740766676
budzić,ndk,obudzić,dk,derived,0.5407544264126201
budzić,ndk,pobudzić,dk,derived,0.37124880399652127
budzić,ndk,przebudzić,dk,derived,0.36257474797795697
budzić,ndk,rozbudzić,dk,derived,0.4597808325736771
budzić,ndk,wybudzić,dk,derived,0.30934398680603714
budzić,ndk,wzbudzić,dk,derived,0.6353445746069413
całować,ndk,pocałować,dk,empty,0.6356005050626916
całować,ndk,ucałować,dk,derived,0.5812878555280526
charakteryzować,ndk,scharakteryzować,dk,empty,0.3856166552685034
chcieć,ndk,zechcieć,dk,empty,0.4718197946231495
chorować,ndk,zachorować,dk,empty,0.6434331575669366
chować,ndk,schować,dk,empty,0.7224531600040365
chować,ndk,przechować,dk,derived,0.4518484665787458
chować,ndk,pochować,dk,derived,0.5662151010418704
chować,ndk,wychować,dk,derived,0.3077526534881292
chować,ndk,odchować,dk,derived,0.2922759272655526
chować,ndk,podchować,dk,derived,0.41825872556990995
chować,ndk,uchować,dk,derived,0.45672798744190946
chować,ndk,dochować,dk,derived,0.2956151329546465
chwytać,ndk,chwycić,dk,suffixed,0.6493460731558348
ciągnąć,ndk,pociągnąć,dk,empty,0.6223301069370998
ciągnąć,ndk,obciągnąć,dk,derived,0.3467877463954836
ciągnąć,ndk,przeciągnąć,dk,derived,0.5110531091234484
ciągnąć,ndk,wciągnąć,dk,derived,0.46532558755414355
cieszyć,ndk,ucieszyć,dk,empty,0.5532160880851887
cieszyć,ndk,pocieszyć,dk,derived,0.3761282696569662
cofać,ndk,cofnąć,dk,suffixed,0.6632083850417589
cofać,ndk,wycofać,dk,derived,0.5110727930118
cytować,ndk,zacytować,dk,empty,0.7025509771687972
czekać,ndk,zaczekać,dk,empty,0.7810845882033914
czekać,ndk,poczekać,dk,derived,0.8198397932895345
czekać,ndk,odczekać,dk,derived,0.6134898070992258
czekać,ndk,doczekać,dk,derived,0.4810128577290763
czerpać,ndk,wyczerpać,dk,derived,0.29455443645375223
czuć,ndk,poczuć,dk,empty,0.803250546377337
czuć,ndk,uczuć,dk,derived,0.24702966860581277
czuć,ndk,odczuć,dk,derived,0.5251523083328289
czuć,ndk,wyczuć,dk,derived,0.549823545020117
czuć,ndk,przeczuć,dk,derived,0.26457607990784426
czynić,ndk,uczynić,dk,empty,0.6273435382133278
czytać,ndk,przeczytać,dk,empty,0.6461774143410888
czytać,ndk,odczytać,dk,derived,0.4644350665564353
czytać,ndk,rozczytać,dk,derived,0.4829362052464762
czytać,ndk,wyczytać,dk,derived,0.4276592464318303
czytać,ndk,zaczytać,dk,derived,0.4519311549611136
ćwiczyć,ndk,wyćwiczyć,dk,empty,0.527879873309835
dawać,ndk,dać,dk,suffixed,0.7855642428060695
dbać,ndk,zadbać,dk,empty,0.8516371554470932
decydować,ndk,zdecydować,dk,empty,0.695186047522339
decydować,ndk,zadecydować,dk,derived,0.8359871073507136
denerwować,ndk,zdenerwować,dk,empty,0.5738078560902693
dobiegać,ndk,dobiec,dk,suffixed,0.40289529776826205
dobiegać,ndk,dobiegnąć,dk,suffixed,0.35053810944053965
doceniać,ndk,docenić,dk,suffixed,0.7255666201059051
docierać,ndk,dotrzeć,dk,suffixed,0.6799895693424357
dodawać,ndk,dodać,dk,suffixed,0.656887124345945
dokonywać,ndk,dokonać,dk,suffixed,0.7793928398670468
dominować,ndk,zdominować,dk,empty,0.43926636363646154
domyślać,ndk,domyślić,dk,suffixed,0.7323808068238153
donosić,ndk,donieść,dk,suffixed,0.5509729310724303
doprowadzać,ndk,doprowadzić,dk,suffixed,0.7163369310284441
dopuszczać,ndk,dopuścić,dk,suffixed,0.7699982624377535
dopytywać,ndk,dopytać,dk,suffixed,0.6409913934430753
dorastać,ndk,dorosnąć,dk,suffixed,0.46421097317192395
dostarczać,ndk,dostarczyć,dk,suffixed,0.831233972331701
dostawać,ndk,dostać,dk,suffixed,0.5908685539122844
dostrzegać,ndk,dostrzec,dk,suffixed,0.6819007064455685
doświadczać,ndk,doświadczyć,dk,suffixed,0.7821255301419118
dotykać,ndk,dotknąć,dk,suffixed,0.6869785197898988
dowiadywać,ndk,dowiedzieć,dk,suffixed,0.7256326517069349
dowodzić,ndk,dowieść,dk,suffixed,0.6336906986241534
drżeć,ndk,zadrżeć,dk,empty,0.49866014487440224
dusić,ndk,udusić,dk,empty,0.6722090025769158
dysponować,ndk,zadysponować,dk,empty,0.5858984677837392
dzielić,ndk,podzielić,dk,empty,0.7056592069050446
dziękować,ndk,podziękować,dk,empty,0.6278894737880145
dziwić,ndk,zdziwić,dk,empty,0.4647555444218241
dziwić,ndk,zadziwić,dk,derived,0.2522811602074291
dzwonić,ndk,zadzwonić,dk,empty,0.7889109256311897
dzwonić,ndk,dodzwonić,dk,derived,0.6559041801794693
dzwonić,ndk,obdzwonić,dk,derived,0.42017974279712755
dzwonić,ndk,oddzwonić,dk,derived,0.5856911101353729
dzwonić,ndk,podzwonić,dk,derived,0.46119014407787273
dzwonić,ndk,przedzwonić,dk,derived,0.5999656623893214
dzwonić,ndk,przydzwonić,dk,derived,0.2570391972045808
dzwonić,ndk,rozdzwonić,dk,derived,0.44230492287619927
dzwonić,ndk,wydzwonić,dk,derived,0.48747400638279204
dźwigać,ndk,dźwignąć,dk,suffixed,0.5846965932244693
finansować,ndk,sfinansować,dk,empty,0.7858457571199994
funkcjonować,ndk,zafunkcjonować,dk,empty,0.6587316516367052
ginąć,ndk,zginąć,dk,empty,0.6787050066377801
gładzić,ndk,pogładzić,dk,empty,0.6075718347840458
gładzić,ndk,wygładzić,dk,derived,0.45006720787741417
gładzić,ndk,zgładzić,dk,derived,0.3404102851990618
głaskać,ndk,pogłaskać,dk,empty,0.7134736023033559
głaskać,ndk,ugłaskać,dk,derived,0.41770003466437866
głosować,ndk,zagłosować,dk,empty,0.7676698665008852
głosować,ndk,przegłosować,dk,derived,0.5284367821251361
gniewać,ndk,pogniewać,dk,empty,0.600862033675016
gniewać,ndk,zagniewać,dk,derived,0.4678453222252812
godzić,ndk,pogodzić,dk,empty,0.6605640670304019
godzić,ndk,zgodzić,dk,derived,0.6043653373063691
gotować,ndk,ugotować,dk,empty,0.7587878542298867
gotować,ndk,zagotować,dk,derived,0.7086100671053921
grać,ndk,zagrać,dk,empty,0.8277281675826205
grozić,ndk,pogrozić,dk,empty,0.43151612839962095
grozić,ndk,zagrozić,dk,derived,0.5849988987085516
gryźć,ndk,ugryźć,dk,empty,0.5135956907039329
gryźć,ndk,pogryźć,dk,derived,0.5893321863076056
gryźć,ndk,zagryźć,dk,derived,0.5090334450501223
gryźć,ndk,zgryźć,dk,derived,0.5068340955018722
gwarantować,ndk,zagwarantować,dk,empty,0.8142671603182757
hamować,ndk,zahamować,dk,empty,0.7287719448302993
hamować,ndk,wyhamować,dk,derived,0.715515818405675
ignorować,ndk,zignorować,dk,empty,0.6812157443151422
informować,ndk,poinformować,dk,empty,0.6649089315684898
interesować,ndk,zainteresować,dk,empty,0.6816457630528495
inwestować,ndk,zainwestować,dk,empty,0.8165942885147904
irytować,ndk,zirytować,dk,empty,0.5305031948936331
istnieć,ndk,zaistnieć,dk,empty,0.4860344945393438
iść,ndk,pójść,dk,empty,0.890523394241892
iść,ndk,dojść,dk,derived,0.39366472935123387
iść,ndk,najść,dk,derived,0.23249627737804812
iść,ndk,obejść,dk,derived,0.3221831828911351
iść,ndk,przejść,dk,derived,0.4961866434947029
iść,ndk,przyjść,dk,derived,0.6293202607500659
iść,ndk,ujść,dk,derived,0.24513876949076008
iść,ndk,wejść,dk,derived,0.4748230932424591
iść,ndk,wyjść,dk,derived,0.5173936157317952
iść,ndk,zajść,dk,derived,0.3231932955015354
iść,ndk,zejść,dk,derived,0.5111297104133076
jechać,ndk,pojechać,dk,empty,0.8798839394413308
jechać,ndk,dojechać,dk,derived,0.7563190975313425
jechać,ndk,najechać,dk,derived,0.37837976907306303
jechać,ndk,objechać,dk,derived,0.5871699221620977
jechać,ndk,przejechać,dk,derived,0.7167613254804943
jechać,ndk,przyjechać,dk,derived,0.7315956287381419
jechać,ndk,ujechać,dk,derived,0.4445554215500789
jechać,ndk,wjechać,dk,derived,0.6903245948683618
jechać,ndk,wyjechać,dk,derived,0.7719145244538274
jechać,ndk,zajechać,dk,derived,0.6277873128569392
jechać,ndk,zjechać,dk,derived,0.6841343576113467
jeść,ndk,zjeść,dk,empty,0.702450531776576
jeść,ndk,zajeść,dk,derived,0.47431163339237103
jeść,ndk,wyjeść,dk,derived,0.5653002351284204
jeść,ndk,podjeść,dk,derived,0.49787311906243015
jeść,ndk,dojeść,dk,derived,0.5623817180802503
jęczeć,ndk,jęknąć,dk,suffixed,0.5187868872690391
jęczeć,ndk,pojęczeć,dk,derived,0.46703369671715667
jęczeć,ndk,wyjęczeć,dk,derived,0.34631301531113245
jęczeć,ndk,zajęczeć,dk,empty,0.4840346378151963
karmić,ndk,nakarmić,dk,empty,0.6760606763325051
kierować,ndk,skierować,dk,empty,0.49730289677494344
kierować,ndk,nakierować,dk,derived,0.3852962222643955
kierować,ndk,wykierować,dk,derived,0.29692823356397513
kierować,ndk,przekierować,dk,derived,0.3478076960392744
kiwać,ndk,kiwnąć,dk,suffixed,0.5104504882974908
kłamać,ndk,skłamać,dk,empty,0.48815243986671064
kłamać,ndk,okłamać,dk,derived,0.5095700537181529
kłaść,ndk,położyć,dk,suppletion,0.7554981988668272
kłócić,ndk,pokłócić,dk,empty,0.6494583505260421
kojarzyć,ndk,skojarzyć,dk,empty,0.680312840103958
komentować,ndk,skomentować,dk,empty,0.7085804672960427
koncentrować,ndk,skoncentrować,dk,empty,0.8192894970573641
kontaktować,ndk,skontaktować,dk,empty,0.7600996038460437
kontrolować,ndk,skontrolować,dk,empty,0.7210228154800908
kończyć,ndk,skończyć,dk,empty,0.7161168080501898
korzystać,ndk,skorzystać,dk,empty,0.8416082116059603
kosztować,ndk,skosztować,dk,empty,0.19650991554893238
kraść,ndk,ukraść,dk,empty,0.5751377201267537
kraść,ndk,okraść,dk,derived,0.4829118099967693
kraść,ndk,skraść,dk,derived,0.37702301985273856
kręcić,ndk,zakręcić,dk,empty,0.5163203761869114
krytykować,ndk,skrytykować,dk,empty,0.7407151832748116
krzyczeć,ndk,krzyknąć,dk,suffixed,0.7243117301538086
krzyczeć,ndk,pokrzyczeć,dk,derived,0.5112862391931973
krzyczeć,ndk,nakrzyczeć,dk,derived,0.46412107890068266
kształtować,ndk,ukształtować,dk,empty,0.7446108972577872
kupować,ndk,kupić,dk,suffixed,0.7996564076121715
kusić,ndk,skusić,dk,empty,0.607023961340045
kusić,ndk,podkusić,dk,derived,0.39146710483037084
kwestionować,ndk,zakwestionować,dk,empty,0.7679363054105279
lądować,ndk,wylądować,dk,empty,0.7542972881661038
lecieć,ndk,polecieć,dk,empty,0.8143352106507717
lecieć,ndk,nadlecieć,dk,derived,0.5247824260315178
