pivot,derivation,similarity,category,affix
słowo,słownik,0.2979893101008464,N:N,-nik
mata,matka,0.18304722135047113,N:N,-ka
dziewczyna,dziewczynka,0.7733345607074069,N:N,-ka
długi,długość,0.29168202884405026,ADJ:N,-ość
miły,miłość,0.20601310410910456,ADJ:N,-ość
wysoki,wysokość,0.32135950450131023,ADJ:N,-ość
książka,książeczka,0.6084954844032695,N:N,-eczka
łyżka,łyżeczka,0.7766265308250436,N:N,-eczka
drukować,drukarka,0.3744483716242306,V:N,-arka
cebula,cebulka,0.5512846958068193,N:N,-ka
herbata,herbatka,0.7457178300417321,N:N,-ka
chłop,chłopak,0.5504083690955536,N:N,-ak
chłop,chłopiec,0.4490022100155674,N:N,-iec
nauczyciel,nauczycielka,0.715653016534972,N:N,-ka
nauczyć,nauczyciel,0.25686155912982955,V:N,-ciel
kwiat,kwiatek,0.4091006969969744,N:N,-ek
woda,wódka,0.46045407723941434,N:N,-ka
wola,wolny,0.22384852095076568,N:ADJ,-ny
Polska,polski,0.46323366005840394,N:ADJ,-ski
miły,mile,0.3031943372586503,ADJ:ADV,-e
gram,kilogram,0.3593242632211229,ADJ:N,kilo-
Krak,Kraków,0.460013351996825,N:N,-ów
złoto,złoty,0.6781142517276905,N:ADJ,-y
rysa,ryska,0.3138964418441996,N:N,-ka
kania,kani,0.4128381082479742,N:ADJ,-i
marchew,marchewka,0.544858702905201,N:N,-ka
para,parka,0.4266539786732384,N:N,-ka
wymóc,wymagać,0.28726122885047745,V:V,-ać
Google,googlować,0.38393761631266377,N:V,-ować
ewentualny,ewentualnie,0.420679082392982,ADJ:ADV,-ie
oczywisty,oczywiście,0.3985451030489371,ADJ:ADV,-ie
baba,babi,0.3147729627083602,N:ADJ,-i
pieprz,pieprzyć,0.38317863615384296,N:V,-yć
wierzba,Wierzbowski,0.1676444390093914,N:N,-ski
kilka,kilkanaście,0.8720844337838631,N:N,-naście
termin,terminator,0.2025486734190487,N:N,-ator
baba,babka,0.49947533379866016,ADJ:N,-ka
dół,dolina,0.25470697825607713,N:N,-ina
plon,międzyplon,0.41885489423151334,N:N,między-
obły,oblak,0.20502566091231245,ADJ:N,-ak
mrówka,mrównik,0.35515054522310296,N:N,-nik
ucho,uszny,0.38937057935863106,N:ADJ,-ny
Polak,Polka,0.5111299149741972,N:N,-ka
pisać,pismo,0.25648087130284636,V:N,-mo
kot,kotka,0.4912790880976543,N:N,-ka
aktor,aktorka,0.8051825731550859,N:N,-ka
kowal,Kowalska,0.3922152187392334,N:N,-ska
kowal,Kowalski,0.5091791634610574,N:N,-ski
orać,orka,0.18529763385239817,V:N,-ka
brąz,brązowy,0.8441908593242285,N:ADJ,-owy
niebo,niebieski,0.29054720843493453,N:ADJ,-ski
rozebrać,rozbierać,0.755177715971013,V:V,-ać
sen,snowy,0.19768420591315894,N:ADJ,-owy
co,coś,0.2802480313577157,N:U,-ś
kto,ktoś,0.6814752030522231,N:U,-ś
lekko,lekce,0.17385364427405925,ADV:ADV,-e
tarń,tarka,0.3841082622067007,N:N,-ka
brat,brach,0.20214654284296296,N:N,-ch
dać,dany,0.2599133354828824,V:U,-any
lotny,lotnisko,0.16766474338201431,ADJ:N,-isko
chemia,chemiczny,0.4520327759219025,N:ADJ,-iczny
mięso,mięsień,0.21113517249579306,N:N,-eń
kocioł,kotlina,0.307286953165423,N:N,-ina
córa,córka,0.6172851193868406,N:N,-ka
stary,stara,0.5214152876777256,ADJ:N,-a
lipa,lipiec,0.253782347678813,N:N,-iec
sierp,sierpień,0.1717745785735303,N:N,-eń
wrzos,wrzesień,0.21527021003866098,N:N,-eń
paździerz,październik,0.23596181613504708,N:N,-nik
siadać,posiadać,0.23370425524145766,V:V,po-
konać,pokonać,0.22757605125211877,V:V,po-
łamać,złamać,0.68828883281742,V:V,z-
kula,kulka,0.6125726956401901,N:N,-ka
częsty,często,0.4920973643040196,ADJ:ADV,-o
śniadać,śniadanie,0.47111928785979795,V:N,-anie
lśnić,lśniący,0.3882399732687525,V:ADJ,-ący
ogon,ogonek,0.628188715594901,N:N,-ek
szkoda,szkodzić,0.18861330741623938,N:V,-ić
widzieć,widzenie,0.3056432497060795,V:N,-enie
nazwać,nazywać,0.6804288099214567,V:V,-ać
nazwać,nazwisko,0.06875551487828302,V:N,-isko
chód,samochód,0.2861570787271466,N:N,samo-
ołów,ołówek,0.28256294474077337,N:N,-ek
przyjemny,przyjemność,0.356763305150275,ADJ:N,-ość
wygodny,wygodnie,0.5298989441657181,ADJ:ADV,-ie
kręcić,skręcić,0.4101157985066608,U:V,s-
zwiedzić,zwiedzać,0.8221644181550491,V:V,-ać
wybrać,wybierać,0.7565995665731,V:V,-ać
skrzyżować,skrzyżowanie,0.31264716452957897,V:N,-anie
zdjąć,zdjęcie,0.3248049378532998,V:N,-ęcie
zostawić,zostawiać,0.7238663097613418,V:V,-ać
pederasta,pedał,0.3769895436135391,N:N,-ał
ontologia,paleontologia,0.41199649733029675,N:N,paleo-
