pivot,derivation,similarity,category,affix
słowo,rozorać,0.22252559402323502,V:V,roz-
mata,pooczyszczać,0.2224297833210277,V:V,po-
długi,atomistyczny,0.1568567203021648,N:ADJ,-ny
miły,tarczka,0.16953397632322265,N:N,-ka
łyżka,infantylnie,0.11935089736732873,ADJ:ADV,-ie
drukować,prospołeczność,0.11479725919826722,ADJ:N,-ość
chłop,czuły,0.21127809490125404,V:ADJ,-ły
chłop,hajtnąć,0.3429936175712691,V:V,-nąć
nauczyć,średnio,0.0714713616999092,ADJ:ADV,-o
woda,makaronowy,0.1948424465748707,N:ADJ,-owy
wola,orientacyjny,0.0820931195767638,N:ADJ,-ny
Polska,chwytany,0.0050928765040608726,V:ADJ,-any
Krak,zblanszować,0.06624108462458422,V:V,z-
złoto,podkarzeł,0.26755317549247626,N:N,pod-
rysa,przeciążenie,0.17481044393035217,V:N,-enie
kania,socjalistyczny,0.07071254166279184,N:ADJ,-ny
marchew,dziennikarski,0.13494884450106837,N:ADJ,-ski
wymóc,obliczenie,0.14913096240935697,V:N,-enie
Google,klerykalizacja,0.009376893868901393,ADJ:N,-izacja
ewentualny,tętniczka,0.14710529133022954,N:N,-iczka
baba,kamieniczka,0.2022281671278734,N:N,-ka
pieprz,kwietniczek,0.23061875282979227,N:N,-ek
wierzba,porozmawiać,0.1169342207155658,V:V,po-
kilka,wywalenie,0.12515246225634913,V:N,-enie
termin,obkurczyć,0.15513093347440265,V:V,ob-
baba,dedykacja,0.17868528992442134,V:N,-cja
plon,żulia,0.12056242247094218,N:N,-ia
mrówka,błahostka,0.22711097829436522,ADJ:N,-ka
ucho,szewczyna,0.32633622569563014,N:N,-yna
Polak,zachować,0.14126366974968674,V:V,za-
pisać,biochemik,0.13147583780448535,N:N,-ik
kot,niehigienicznie,0.1702878189864785,ADJ:ADV,-ie
aktor,osobowość,0.2956640098208615,ADJ:N,-ość
kowal,dostawiać,0.11871131002109814,V:V,do-
kowal,karmelizować,0.14050277479212403,N:V,-ować
brąz,nieprawnie,0.019842510400235103,ADJ:ADV,-ie
niebo,nierozmowny,0.19195197864812774,ADJ:ADJ,nie-
rozebrać,kieliszkowaty,0.11870547839820533,N:ADJ,-owaty
sen,ocenzurowanie,0.08788839794681946,N:N,o-
lekko,Julka,0.0705893161327541,N:N,-ka
tarń,dereniówka,0.35294565014465973,ADJ:N,-ka
brat,niekompatybilny,0.17398252017914628,ADJ:ADJ,nie-
dać,borowiec,0.06861851479798664,N:N,-owiec
lotny,czepianie,0.0577397889246567,V:N,-anie
chemia,kłodzina,0.08409976486750315,N:N,-ina
mięso,sinawy,0.16751171635356077,ADJ:ADJ,-awy
kocioł,krogulczy,0.18700216164701466,N:ADJ,-czy
córa,trójkolorowo,0.3599010811414609,ADJ:ADV,-o
lipa,Krzysztofa,0.09462225533724422,N:N,-a
wrzos,mianowaniec,0.2064099640957311,N:N,-iec
paździerz,odessać,0.27163687232372524,V:V,ode-
siadać,wsadzanie,0.2797326482030009,V:N,-anie
łamać,rozrywkowo,0.0601195959982167,ADJ:ADV,-o
kula,gołąbeczek,0.17965783732947505,N:N,-ek
częsty,drabina,0.13021873480973112,N:N,-ina
śniadać,pokłonić,0.30585735345811904,N:V,-ić
lśnić,Tarnowski,0.0504487853702591,N:N,-ski
szkoda,aplikowanie,0.1104585975042015,V:N,-anie
widzieć,wycieknąć,0.20447458107911576,V:V,-nąć
chód,dansingowy,0.15106636171828425,N:ADJ,-owy
ołów,szyszkowy,0.2939626606813901,N:ADJ,-owy
wygodny,synonimia,0.13924040562687146,N:N,-ia
kręcić,oszczerstwo,0.14214836708364276,N:N,-stwo
zwiedzić,Ewunia,0.07587663585406779,N:N,-unia
wybrać,zjawisko,0.06242424971914862,N:N,-isko
skrzyżować,zezowaty,0.1665902183542225,V:ADJ,-aty
zdjąć,kaskader,0.17100710305963118,N:N,-er
miś,nogawica,0.1868636561930691,N:N,-awica
wiatr,posmarować,0.12873605831884904,V:V,po-
kita,pomocniczość,0.06678636729173482,ADJ:N,-ość
Moskal,ganienie,0.05701436494541845,V:N,-enie
paść,pieczeniarstwo,0.19344144073378855,N:N,-stwo
Kaczyński,czapnik,0.18878137343427914,N:N,-nik
ser,zwyciężczyni,0.14114756394809813,N:N,-yni
teizm,nietrzeźwo,0.33735934595114636,ADJ:ADV,-o
mina,sukcesyjny,0.006092204951355762,N:ADJ,-ny
lotnisko,gwiaździście,0.25860260281357006,ADJ:ADV,-ie
lizać,mroźno,0.2517937782017319,ADJ:ADV,-o
misa,owczarski,0.24241209712142398,N:ADJ,-ski
pszczoła,niepomyślny,0.04159236104865016,ADJ:ADJ,nie-
orzeł,strzelanie,0.21685581411918675,V:N,-anie
osa,pochlebstwo,0.04803414068267531,N:N,-stwo
elf,kodeksowy,0.07212742981846287,N:ADJ,-owy
muł,podać,0.05801139561953794,V:V,po-
pomarańcza,ślimaczy,0.14533772175690085,N:ADJ,-czy
gonić,wdrażać,0.3346979734963452,V:V,-ać
mocz,pieluszkowy,0.34747539893101986,N:ADJ,-owy
baba,niedźwiedzica,0.28717476909517836,N:N,-ica
siatka,domisko,0.17868559787081872,N:N,-isko
mózgowie,cegłówka,0.19217318162137742,N:N,-ówka
grupa,zatonięcie,0.0979724279013029,V:N,-ęcie
kombinować,radzić,0.5285909089852905,N:V,-ić
demon,zakończyć,0.05984492363783056,V:V,za-
Ryga,periodycznie,0.07664993445150503,ADJ:ADV,-ie
etan,nuworyszowski,0.11821180392410324,N:ADJ,-owski
uczyć,mrowiskowy,0.13105918498156677,N:ADJ,-owy
Bruksela,hybrydowy,0.11131486145702896,N:ADJ,-owy
purpura,bezwietrznie,0.19506035310347625,ADJ:ADV,-ie
beż,łaciński,0.12423947152098846,N:ADJ,-ski
turkus,przemarsz,0.15593486923840094,N:N,prze-
granat,hotelowy,0.1532599020213783,N:ADJ,-owy
kropka,rozlany,-0.0006408227420733326,V:ADJ,-any
okrężny,psychologia,0.004249647816209512,N:N,-ia
przecinać,świniak,0.09082140754122447,N:N,-ak
indyk,Tajmyra,0.1624225740014228,N:N,-a
kot,przykazać,0.1244227370377391,N:V,-ać
kot,ówcześnie,0.05342378632098044,ADJ:ADV,-ie
słoń,ubrudzić,0.16717618480153407,V:V,u-
czasowy,bezużyteczność,0.25639454706612574,ADJ:N,-ość
kierownik,roślinność,0.07184852647845086,ADJ:N,-ość
godny,przylutować,0.10931374591307719,V:V,przy-
kazać,łysol,0.1732225873609946,ADJ:N,-ol
znaczyć,wykładnik,0.24017432231967784,N:N,-nik
trafić,powiewać,0.22805253762116584,V:V,-wać
król,kolokwialnie,0.04622574373329935,ADJ:ADV,-ie
