pivot,inflection,similarity,category
abonować,sprawdzicie,0.3477921303367184,V;FUT;2;PL
abonować,wyjrzała,0.15875659420420352,V;PST;3;SG;FEM
abonować,mamroczemy,0.455201405433052,V;PRS;1;PL
abonować,jebnęło,0.4502788634685413,V;PST;3;SG;NEUT
abonować,odwiedzały,0.18874595929228732,V;PST;3;PL
abonować,przyjmujesz,0.32639616462131604,V;PRS;2;SG
abonować,uczęszczacie,0.4038601462554572,V;PRS;2;PL
abonować,pojawiają,0.20745642831830546,V;PRS;3;PL
abonować,przeżuł,0.32541339478057374,V;PST;3;SG;MASC
abonować,zazdrościli,0.16597489693249212,V;PST;3;PL;MASC;HUM
abonować,wisiał,0.28893312308825614,V;PST;3;SG;MASC
abonować,drapała,0.1937498000765734,V;PST;3;SG;FEM
abonować,wpływają,0.23427437016603858,V;PRS;3;PL
abonować,przesadza,0.26965943546266335,V;PRS;3;SG
abonować,potrzebował,0.2033634505127857,V;PST;3;SG;MASC
absorbować,wygrała,0.0566241916118968,V;PST;3;SG;FEM
absorbować,zieje,0.11514140003762097,V;PRS;3;SG
absorbować,wyruchał,0.08510013450345544,V;PST;3;SG;MASC
absorbować,mieszka,0.04918053591699334,V;PRS;3;SG
analizować,brodzimy,0.14206071682475552,V;PRS;1;PL
analizować,zweryfikujecie,0.36461907131475013,V;FUT;2;PL
analizować,sprzątnął,0.10368820879434115,V;PST;3;SG;MASC
analizować,żartuję,0.11711372311903623,V;PRS;1;SG
analizować,przesadzała,0.07922641092396132,V;PST;3;SG;FEM
analizować,rosła,0.1616739157034398,V;PST;3;SG;FEM
analizować,wyłudzili,0.08864692769015559,V;PST;3;PL;MASC;HUM
analizować,ruszali,0.1620450832811018,V;PST;3;PL;MASC;HUM
analizować,kicał,0.07270210494455298,V;PST;3;SG;MASC
analizować,staracie,0.24117422915098197,V;PRS;2;PL
atakować,dzierżymy,0.20232226059116143,V;PRS;1;PL
atakować,unikała,0.19001420196245344,V;PST;3;SG;FEM
atakować,chwieje,0.18377233726989217,V;PRS;3;SG
atakować,łaknęło,0.20484424713486638,V;PST;3;SG;NEUT
atakować,postradasz,0.19782217470036878,V;FUT;2;SG
atakować,umierała,0.14902228578310794,V;PST;3;SG;FEM
atakować,wyloguje,0.19602198665915505,V;FUT;3;SG
atakować,ryczała,0.15917742704072402,V;PST;3;SG;FEM
atakować,zarezerwowało,0.018482973498132105,V;PST;3;SG;NEUT
atakować,dąsał,0.33922590602175784,V;PST;3;SG;MASC
atakować,numerował,0.16408864735051387,V;PST;3;SG;MASC
atakować,pojawiała,0.15095858960342312,V;PST;3;SG;FEM
atakować,buchało,0.16215065598195522,V;PST;3;SG;NEUT
atakować,przeprowadzała,0.23182876131827213,V;PST;3;SG;FEM
atakować,czyszczą,0.17692842304237977,V;PRS;3;PL
badać,wyglądam,0.10275872759486815,V;PRS;1;SG
badać,łudził,0.08605785693438561,V;PST;3;SG;MASC
badać,zaproszę,0.12346597377338187,V;FUT;1;SG
badać,chwiały,0.14418003628274123,V;PST;3;PL
badać,śniadał,0.20658936374127368,V;PST;3;SG;MASC
badać,ziewają,0.10058757792070838,V;PRS;3;PL
badać,zaproszą,0.14588465489349067,V;FUT;3;PL
badać,brodziło,0.16642204880807177,V;PST;3;SG;NEUT
badać,pisał,0.15276495495240328,V;PST;3;SG;MASC
badać,czaił,0.0748185609006814,V;PST;3;SG;MASC
badać,wędrują,0.2098179241867416,V;PRS;3;PL
badać,klika,0.0644590143087731,V;PRS;3;SG
badać,karmili,0.16633731264535956,V;PST;3;PL;MASC;HUM
bankrutować,identyfikują,0.08817464331534786,V;PRS;3;PL
bankrutować,rozważały,0.1921861214460996,V;PST;3;PL
bankrutować,odbudujemy,0.29484904344138596,V;FUT;1;PL
bankrutować,produkowały,0.39376529288294004,V;PST;3;PL
bankrutować,zesrali,0.2555586895881805,V;PST;3;PL;MASC;HUM
bankrutować,dawał,0.11498471286381129,V;PST;3;SG;MASC
bankrutować,ćwiczyły,0.15556517987271445,V;PST;3;PL
bankrutować,opisuję,0.07968739735875019,V;PRS;1;SG
bankrutować,golimy,0.1509021155840805,V;PRS;1;PL
bankrutować,uwielbiało,0.18745558299720988,V;PST;3;SG;NEUT
bankrutować,obraziły,0.18099858731115237,V;PST;3;PL
bankrutować,szanowały,0.19611141599781334,V;PST;3;PL
bawić,zaprzeczycie,0.16602912080426468,V;FUT;2;PL
bawić,chadzamy,0.285846642386703,V;PRS;1;PL
bawić,używał,0.11542949999878327,V;PST;3;SG;MASC
bawić,połączy,0.1840038022423477,V;FUT;3;SG
bawić,lepiły,0.25497902833887875,V;PST;3;PL
bawić,żuła,0.1670822911726919,V;PST;3;SG;FEM
bawić,nosiło,0.1339475523423368,V;PST;3;SG;NEUT
bawić,kimał,0.24612125768378612,V;PST;3;SG;MASC
bawić,żyjemy,0.25067437066917253,V;PRS;1;PL
bawić,trzaskam,0.2897032038915506,V;PRS;1;SG
bawić,wyłudzają,0.1789294854825474,V;PRS;3;PL
bawić,wynajmiemy,0.09469894454151961,V;FUT;1;PL
bębnić,cieką,0.34580744686814313,V;PRS;3;PL
bębnić,siadacie,0.3181276109134237,V;PRS;2;PL
bębnić,opierdoliła,0.2879752614760289,V;PST;3;SG;FEM
bębnić,gadało,0.25016214593458863,V;PST;3;SG;NEUT
bębnić,bawi,0.2703279424200309,V;PRS;3;SG
bębnić,opuszczała,0.19501213749057567,V;PST;3;SG;FEM
bębnić,przeprowadzam,-0.0019346004392624128,V;PRS;1;SG
bębnić,przynosicie,0.23417329881033777,V;PRS;2;PL
bełtać,otrzymujemy,0.1602575409495799,V;PRS;1;PL
bełtać,gaworzyło,0.39429080647575376,V;PST;3;SG;NEUT
bełtać,spał,0.25169195126481925,V;PST;3;SG;MASC
bełtać,przypomnieli,0.08047186153508623,V;PST;3;PL;MASC;HUM
bełtać,piszczała,0.23003791601475054,V;PST;3;SG;FEM
bełtać,lezę,0.43402981837472154,V;PRS;1;SG
bełtać,połykało,0.3978774802769881,V;PST;3;SG;NEUT
bełtać,bankrutowała,0.1799957441178952,V;PST;3;SG;FEM
bełtać,wynajmą,0.1515001696497107,V;FUT;3;PL
bełtać,płaciła,0.11249541779571359,V;PST;3;SG;FEM
bełtać,zmyślą,0.18980160060309603,V;FUT;3;PL
bełtać,obiecamy,0.3340476536101644,V;FUT;1;PL
bełtać,medytuje,0.19516286641856984,V;PRS;3;SG
bełtać,składali,0.09993709501927261,V;PST;3;PL;MASC;HUM
bełtać,zamówimy,0.18286355535789145,V;FUT;1;PL
bełtać,drażnimy,0.4407542279710639,V;PRS;1;PL
betonować,życzyły,0.16821596229322688,V;PST;3;PL
betonować,tęsknicie,0.09377919289578118,V;PRS;2;PL
betonować,skłamiesz,0.16453449190607472,V;FUT;2;SG
betonować,odbuduje,0.24965973425539267,V;FUT;3;SG
betonować,lękali,0.21917098269811575,V;PST;3;PL;MASC;HUM
betonować,zakochamy,0.21516105539918517,V;FUT;1;PL
betonować,odbiorą,0.26404715143686686,V;FUT;3;PL
betonować,kucali,0.2797765248263464,V;PST;3;PL;MASC;HUM
betonować,skrzypią,0.2374811295084891,V;PRS;3;PL
betonować,oszukały,0.059290378846179714,V;PST;3;PL
betonować,rozmyło,0.20438295861798095,V;PST;3;SG;NEUT
betonować,diagnozujemy,0.2318781098649283,V;PRS;1;PL
biegać,pożądała,0.148997509956867,V;PST;3;SG;FEM
biegać,wracali,0.31972386617678694,V;PST;3;PL;MASC;HUM
biegać,należeli,0.10525713088425304,V;PST;3;PL;MASC;HUM
biegać,przeprowadzacie,0.21305000678731723,V;PRS;2;PL
biegać,nazywa,0.0520498649212906,V;PRS;3;SG
biegać,modlę,0.2308755430593219,V;PRS;1;SG
biegać,bębniła,0.2856033128811888,V;PST;3;SG;FEM
biegać,telefonowali,0.22651369589941983,V;PST;3;PL;MASC;HUM
biegać,małpuje,0.12998137523418074,V;PRS;3;SG
biegać,pobierze,0.08899212859968486,V;FUT;3;SG
biegać,przepije,0.16447937834910875,V;FUT;3;SG
biegać,plujecie,0.1633287576921305,V;PRS;2;PL
biegać,pozwalali,0.3042072728334754,V;PST;3;PL;MASC;HUM
błądzić,rozsadzała,0.15111877023034526,V;PST;3;SG;FEM
błądzić,pokrywały,0.11929533266222703,V;PST;3;PL
błądzić,siały,0.22428735873456573,V;PST;3;PL
błądzić,drażnię,0.28582609824320804,V;PRS;1;SG
błądzić,łudziły,0.21241443193253318,V;PST;3;PL
błądzić,dupczymy,0.31773348008335045,V;PRS;1;PL
błądzić,eksportujemy,0.005470987212270906,V;PRS;1;PL
błądzić,denerwujecie,0.27404681583142243,V;PRS;2;PL
błądzić,kroi,0.06667587222184446,V;PRS;3;SG
bluzgać,rucham,0.3416916199695561,V;PRS;1;SG
bluzgać,kibicowała,0.16220205304269297,V;PST;3;SG;FEM
bluzgać,puścił,0.2791307567232899,V;PST;3;SG;MASC
bluzgać,latają,0.19334043546997293,V;PRS;3;PL
bluzgać,zapraszam,0.23029903335496793,V;PRS;1;SG
bluzgać,odkrył,0.0810511275391056,V;PST;3;SG;MASC
bluzgać,grabisz,0.2825425654374536,V;PRS;2;SG
bluzgać,radziły,0.1938773896312871,V;PST;3;PL
bluzgać,spieprza,0.3178537644356245,V;PRS;3;SG
bluzgać,obrabowała,0.19404239942633494,V;PST;3;SG;FEM
bluzgać,kaszleli,0.1932134716967684,V;PST;3;PL;MASC;HUM
bluzgać,mrą,0.2557684819584316,V;PRS;3;PL
bluzgać,wybuchnęła,0.3321737520285776,V;PST;3;SG;FEM
błyskać,gwiżdże,0.31489003359221546,V;PRS;3;SG
błyskać,negocjowała,0.04388700879901797,V;PST;3;SG;FEM
błyskać,rósł,0.20314933126967827,V;PST;3;SG;MASC
błyskać,kłócą,0.17319136889333386,V;PRS;3;PL
błyskać,doili,0.16816484852003843,V;PST;3;PL;MASC;HUM
błyskać,kosił,0.24545631965510983,V;PST;3;SG;MASC
błyskać,bankrutują,0.15516096610639785,V;PRS;3;PL
błyskać,wysiadł,0.2705886450102202,V;PST;3;SG;MASC
błyskać,kukasz,0.19295405445899727,V;PRS;2;SG
błyskać,dochodzimy,0.06016413022761258,V;PRS;1;PL
błyskać,smażysz,0.3081420619852041,V;PRS;2;SG
bredzić,rządzi,0.1688771105849688,V;PRS;3;SG
bredzić,drzemali,0.21671901114126801,V;PST;3;PL;MASC;HUM
bredzić,zrabują,0.2957523042782346,V;FUT;3;PL
bredzić,odradzają,0.15590119908079747,V;PRS;3;PL
bredzić,traktowali,0.15203576662079432,V;PST;3;PL;MASC;HUM
bredzić,wygarną,0.2834453695375523,V;FUT;3;PL
bredzić,doimy,0.19019847752121055,V;PRS;1;PL
bredzić,zabijała,0.17725992554820014,V;PST;3;SG;FEM
bredzić,sypały,0.16046033912519098,V;PST;3;PL
brodzić,należę,0.18476781131076014,V;PRS;1;SG
brodzić,kipią,0.22541533277510561,V;PRS;3;PL
brodzić,uderzy,0.15664296174496295,V;FUT;3;SG
brodzić,dostarczało,0.16730163712656565,V;PST;3;SG;NEUT
brodzić,oświetlały,0.22323078960474962,V;PST;3;PL
brodzić,ukradły,0.14205678521344756,V;PST;3;PL
brodzić,pocą,0.2908133374118278,V;PRS;3;PL
brodzić,pożarło,0.20722632890934467,V;PST;3;SG;NEUT
brodzić,zaciążą,0.2281696568401338,V;FUT;3;PL
