pivot,perfective,similarity
abonować,zaabonować,0.43975316679369647
analizować,przeanalizować,0.7064278118382555
bankrutować,zbankrutować,0.5668946742704144
betonować,zabetonować,0.584848962873758
betonować,wybetonować,0.5798414569895392
bełtać,zabełtać,0.5659477987871826
biegać,pobiegać,0.7131780608713749
brudzić,pobrudzić,0.6030991454150851
brudzić,ubrudzić,0.6040493785887704
brudzić,wybrudzić,0.43769484522496804
brudzić,nabrudzić,0.5289991335352974
buchać,buchnąć,0.4679454113067374
budzić,dobudzić,0.31852173740766676
budzić,obudzić,0.5407544264126201
budzić,pobudzić,0.37124880399652127
budzić,przebudzić,0.36257474797795697
budzić,rozbudzić,0.4597808325736771
budzić,wybudzić,0.30934398680603714
budzić,wzbudzić,0.6353445746069413
budzić,zbudzić,0.4727758755133493
burzyć,zburzyć,0.7343089873568623
całować,pocałować,0.6356005050626916
całować,ucałować,0.5812878555280526
cedzić,przecedzić,0.4463871745790313
chcieć,zechcieć,0.4718197946231495
chować,przechować,0.4518484665787458
chować,schować,0.7224531600040365
chować,pochować,0.5662151010418704
chować,wychować,0.3077526534881292
chować,odchować,0.2922759272655526
chować,podchować,0.41825872556990995
chować,uchować,0.45672798744190946
chować,dochować,0.2956151329546465
chrzcić,ochrzcić,0.6210944206284399
chrzcić,przechrzcić,0.3317900854075715
chłeptać,wychłeptać,0.5242801117264729
cytować,zacytować,0.7025509771687972
czekać,zaczekać,0.7810845882033914
czekać,poczekać,0.8198397932895345
czekać,odczekać,0.6134898070992258
czekać,doczekać,0.4810128577290763
czerpać,zaczerpnąć,0.5461784093541808
czerpać,wyczerpać,0.29455443645375223
czesać,uczesać,0.567182324353621
czesać,poczesać,0.5252652581393966
czesać,przeczesać,0.3984633457262958
czesać,rozczesać,0.5615934754196723
czesać,wyczesać,0.4985692989313931
czesać,sczesać,0.5005061220100183
czeznąć,sczeznąć,0.5440757699175174
czuć,poczuć,0.803250546377337
czuć,uczuć,0.24702966860581277
czuć,poczuwać,0.3955792472874403
czuć,odczuć,0.5251523083328289
czuć,wyczuć,0.549823545020117
czuć,przeczuć,0.26457607990784426
czytać,odczytać,0.4644350665564353
czytać,przeczytać,0.6461774143410888
czytać,rozczytać,0.4829362052464762
czytać,wyczytać,0.4276592464318303
czytać,zaczytać,0.4519311549611136
dbać,zadbać,0.8516371554470932
dedykować,zadedykować,0.7550703524737706
dementować,zdementować,0.5254612053281278
demontować,zdemontować,0.6552211354117341
diagnozować,zdiagnozować,0.7379057280232905
dmuchać,dmuchnąć,0.5964381485876122
doceniać,docenić,0.7255666201059051
dochodzić,dojść,0.629195672251316
doić,wydoić,0.6387165949317344
doić,udoić,0.46641251205305967
doprowadzać,doprowadzić,0.7163369310284441
dostarczać,dostarczyć,0.831233972331701
