pivot,inflection,similarity,category
abonować,sprawdzicie,0.91500396,V;FUT;2;PL
abonować,lansowałyśmy,0.8885398,V;PST;1;PL
abonować,będziecie absorbowały,0.83305323,V;FUT;2;PL
abonować,będziemy pięły,0.88460433,V;FUT;1;PL
abonować,będziecie dotykały,0.8547414,V;FUT;2;PL
abonować,podochodził,0.89796394,V;PST;3;SG;MASC
abonować,wyjrzała,0.903075,V;PST;3;SG;FEM
abonować,gadałyśmy,0.90499866,V;PST;1;PL
abonować,lizaliśmy,0.89323914,V;PST;1;PL;MASC;HUM
abonować,będzie spodziewał,0.8403129,V;FUT;3;SG;MASC
abonować,sprzęgłyście,0.84823453,V;PST;2;PL
abonować,przegapiłam,0.91223985,V;PST;1;SG;FEM
abonować,mamroczemy,0.85543,V;PRS;1;PL
abonować,jebnęło,0.89590156,V;PST;3;SG;NEUT
abonować,odwiedzały,0.8985146,V;PST;3;PL
abonować,przyjmujesz,0.9189672,V;PRS;2;SG
abonować,uczęszczacie,0.9191005,V;PRS;2;PL
abonować,będziecie błądzili,0.8778723,V;FUT;2;PL;MASC;HUM
abonować,pojawiają,0.86896014,V;PRS;3;PL
abonować,będę szczekał,0.870471,V;FUT;1;SG;MASC
abonować,przeżuł,0.8997155,V;PST;3;SG;MASC
abonować,kimałem,0.88947856,V;PST;1;SG;MASC
abonować,będzie kosiła,0.8681646,V;FUT;3;SG;FEM
abonować,uderzyłeś,0.8754112,V;PST;2;SG;MASC
abonować,kwestionowaliśmy,0.90197873,V;PST;1;PL;MASC;HUM
abonować,zazdrościli,0.90883654,V;PST;3;PL;MASC;HUM
abonować,wisiał,0.9054315,V;PST;3;SG;MASC
abonować,drapała,0.8918537,V;PST;3;SG;FEM
abonować,wpływają,0.83167845,V;PRS;3;PL
abonować,wybuchnęliście,0.8715043,V;PST;2;PL;MASC;HUM
abonować,przesadza,0.92637014,V;PRS;3;SG
abonować,potrzebował,0.904797,V;PST;3;SG;MASC
absorbować,konfigurowało,0.9166658,V;PST;3;SG;NEUT
absorbować,będziesz chłeptał,0.909397,V;FUT;2;SG;MASC
absorbować,pląsacie,0.9228003,V;PRS;2;PL
absorbować,będzie zapierdalała,0.8719223,V;FUT;3;SG;FEM
absorbować,będziemy analizowały,0.8287005,V;FUT;1;PL
absorbować,wygrała,0.8009243,V;PST;3;SG;FEM
absorbować,będę trwała,0.84593487,V;FUT;1;SG;FEM
absorbować,dusiłam,0.9047438,V;PST;1;SG;FEM
absorbować,zieje,0.92983484,V;PRS;3;SG
absorbować,będziesz znikała,0.8697005,V;FUT;2;SG;FEM
absorbować,dąsałaś,0.92332953,V;PST;2;SG;FEM
absorbować,będą łamały,0.87924284,V;FUT;3;PL
absorbować,będziecie tlały,0.90485543,V;FUT;2;PL
absorbować,plotkowałyśmy,0.89012253,V;PST;1;PL
absorbować,będę lgnęła,0.846536,V;FUT;1;SG;FEM
absorbować,będzie filmował,0.8851133,V;FUT;3;SG;MASC
absorbować,będą dowodziły,0.8597399,V;FUT;3;PL
absorbować,siedziałam,0.9255071,V;PST;1;SG;FEM
absorbować,poznałyście,0.91176057,V;PST;2;PL
absorbować,będzie płynęła,0.8726613,V;FUT;3;SG;FEM
absorbować,przepraszałeś,0.92860144,V;PST;2;SG;MASC
absorbować,będziemy nadzorowali,0.8591707,V;FUT;1;PL;MASC;HUM
absorbować,będziecie konkurowały,0.8952664,V;FUT;2;PL
absorbować,posiadałam,0.88293445,V;PST;1;SG;FEM
absorbować,wyruchał,0.9343283,V;PST;3;SG;MASC
absorbować,zamówiłam,0.9058827,V;PST;1;SG;FEM
absorbować,będą refowały,0.8952463,V;FUT;3;PL
absorbować,krzyczałem,0.917311,V;PST;1;SG;MASC
absorbować,mieszka,0.9308572,V;PRS;3;SG
absorbować,będzie rąbało,0.8459214,V;FUT;3;SG;NEUT
absorbować,będziemy oceniały,0.86371624,V;FUT;1;PL
absorbować,będziemy unikały,0.86084896,V;FUT;1;PL
analizować,śpiewaliście,0.7940772,V;PST;2;PL;MASC;HUM
analizować,będę mył,0.8008223,V;FUT;1;SG;MASC
analizować,będą podziwiały,0.792474,V;FUT;3;PL
analizować,brodzimy,0.762937,V;PRS;1;PL
analizować,kupiłyście,0.78920925,V;PST;2;PL
analizować,bębniliśmy,0.7544604,V;PST;1;PL;MASC;HUM
analizować,zweryfikujecie,0.8330335,V;FUT;2;PL
analizować,sprzątnął,0.80865675,V;PST;3;SG;MASC
analizować,będą przodowały,0.7760712,V;FUT;3;PL
analizować,będą należeli,0.7719726,V;FUT;3;PL;MASC;HUM
analizować,będziemy spadali,0.7476517,V;FUT;1;PL;MASC;HUM
analizować,żartuję,0.7756276,V;PRS;1;SG
analizować,będzie okradał,0.8137497,V;FUT;3;SG;MASC
analizować,będą szczuli,0.7619576,V;FUT;3;PL;MASC;HUM
analizować,odbijałyście,0.7910568,V;PST;2;PL
analizować,rzucałyśmy,0.74571586,V;PST;1;PL
analizować,przesadzała,0.8104166,V;PST;3;SG;FEM
analizować,poróżniliście,0.78305924,V;PST;2;PL;MASC;HUM
analizować,rosła,0.8095218,V;PST;3;SG;FEM
analizować,wyłudzili,0.80289143,V;PST;3;PL;MASC;HUM
analizować,będziecie obiecywali,0.7661002,V;FUT;2;PL;MASC;HUM
analizować,ruszali,0.7493438,V;PST;3;PL;MASC;HUM
analizować,podochodziły,0.75733644,V;PST;3;PL
analizować,będziecie brudzili,0.75271744,V;FUT;2;PL;MASC;HUM
analizować,oddaliśmy,0.762398,V;PST;1;PL;MASC;HUM
analizować,będziecie słyszały,0.75821286,V;FUT;2;PL
analizować,będę łudził,0.7723982,V;FUT;1;SG;MASC
analizować,kopiowaliśmy,0.80450356,V;PST;1;PL;MASC;HUM
analizować,będzie ściągało,0.7393799,V;FUT;3;SG;NEUT
analizować,kicał,0.78285044,V;PST;3;SG;MASC
analizować,staracie,0.75678134,V;PRS;2;PL
analizować,będzie edytowało,0.81741893,V;FUT;3;SG;NEUT
atakować,dzierżymy,0.80938125,V;PRS;1;PL
atakować,unikała,0.8737417,V;PST;3;SG;FEM
atakować,nazywałem,0.8752731,V;PST;1;SG;MASC
atakować,chwieje,0.84080404,V;PRS;3;SG
atakować,będziecie eksperymentowali,0.84120035,V;FUT;2;PL;MASC;HUM
atakować,rozmyślałyście,0.8260393,V;PST;2;PL
atakować,będzie poiła,0.8471655,V;FUT;3;SG;FEM
atakować,będziesz rozpaczała,0.80643094,V;FUT;2;SG;FEM
atakować,łaknęło,0.86089885,V;PST;3;SG;NEUT
atakować,postradasz,0.8221778,V;FUT;2;SG
atakować,obciążałeś,0.86789477,V;PST;2;SG;MASC
atakować,umierała,0.86535406,V;PST;3;SG;FEM
atakować,wyloguje,0.87273717,V;FUT;3;SG
atakować,dbałyście,0.8605673,V;PST;2;PL
atakować,ryczała,0.84643143,V;PST;3;SG;FEM
atakować,zarezerwowało,0.8558209,V;PST;3;SG;NEUT
atakować,dąsał,0.8321028,V;PST;3;SG;MASC
atakować,demontowaliśmy,0.8121412,V;PST;1;PL;MASC;HUM
atakować,będzie płakało,0.7950382,V;FUT;3;SG;NEUT
atakować,będzie wracało,0.79971945,V;FUT;3;SG;NEUT
atakować,wysiadłem,0.8510338,V;PST;1;SG;MASC
atakować,numerował,0.8396609,V;PST;3;SG;MASC
atakować,pojawiała,0.87191707,V;PST;3;SG;FEM
atakować,będziecie negocjowały,0.8406502,V;FUT;2;PL
atakować,buchało,0.842526,V;PST;3;SG;NEUT
atakować,będą rzucali,0.80191785,V;FUT;3;PL;MASC;HUM
atakować,przeprowadzała,0.88354796,V;PST;3;SG;FEM
atakować,rozproszyłyśmy,0.82601684,V;PST;1;PL
atakować,wkurwiałeś,0.80902535,V;PST;2;SG;MASC
atakować,czyszczą,0.8372309,V;PRS;3;PL
atakować,będziesz drapał,0.81994677,V;FUT;2;SG;MASC
atakować,refowałeś,0.85473984,V;PST;2;SG;MASC
badać,wyglądam,0.8382456,V;PRS;1;SG
badać,łudził,0.8882988,V;PST;3;SG;MASC
badać,zaproszę,0.9144951,V;FUT;1;SG
badać,nękaliśmy,0.88742405,V;PST;1;PL;MASC;HUM
badać,chwiały,0.8968691,V;PST;3;PL
badać,korzystałaś,0.90957475,V;PST;2;SG;FEM
badać,śniadał,0.9264771,V;PST;3;SG;MASC
badać,będziemy obciążali,0.8480154,V;FUT;1;PL;MASC;HUM
badać,tłumaczyłem,0.8136678,V;PST;1;SG;MASC
badać,ziewają,0.942826,V;PRS;3;PL
badać,rozwijałem,0.8683132,V;PST;1;SG;MASC
badać,znosiłyście,0.8957249,V;PST;2;PL
badać,zaproszą,0.8771167,V;FUT;3;PL
badać,będziemy cytowali,0.79856026,V;FUT;1;PL;MASC;HUM
badać,będzie szantażowała,0.85081655,V;FUT;3;SG;FEM
badać,brodziło,0.94990003,V;PST;3;SG;NEUT
badać,będziesz kłusował,0.8703984,V;FUT;2;SG;MASC
badać,pisał,0.84605914,V;PST;3;SG;MASC
badać,czaił,0.93143004,V;PST;3;SG;MASC
badać,otworzyłyście,0.8783942,V;PST;2;PL
badać,będziemy oświetlały,0.88189435,V;FUT;1;PL
badać,będzie pokazywał,0.8387937,V;FUT;3;SG;MASC
badać,wędrują,0.92097765,V;PRS;3;PL
badać,będą schowały,0.8445791,V;FUT;3;PL
badać,odebraliście,0.81000423,V;PST;2;PL;MASC;HUM
badać,puściłam,0.9532017,V;PST;1;SG;FEM
badać,demontowałyśmy,0.8729154,V;PST;1;PL
badać,klika,0.9381388,V;PRS;3;SG
badać,będziecie milczeli,0.9232061,V;FUT;2;PL;MASC;HUM
badać,będziemy szczerzyły,0.83406204,V;FUT;1;PL
badać,będziesz pytał,0.86402524,V;FUT;2;SG;MASC
badać,karmili,0.8639272,V;PST;3;PL;MASC;HUM
banglać,będę łaził,0.86039025,V;FUT;1;SG;MASC
banglać,będę uczyła,0.8527435,V;FUT;1;SG;FEM
banglać,brzęczałyście,0.8602816,V;PST;2;PL
banglać,identyfikuję,0.90358233,V;PRS;1;SG
banglać,zmyśliłaś,0.83459127,V;PST;2;SG;FEM
banglać,rozważałaś,0.88682187,V;PST;2;SG;FEM
banglać,będzie dupczył,0.82623017,V;FUT;3;SG;MASC
banglać,kosiliście,0.68937755,V;PST;2;PL;MASC;HUM
banglać,przyprawiałeś,0.91356665,V;PST;2;SG;MASC
banglać,ogoliłem,0.89181983,V;PST;1;SG;MASC
banglać,uwiodły,0.9024899,V;PST;3;PL
banglać,parskałaś,0.9547194,V;PST;2;SG;FEM
banglać,będziemy znosili,0.8226686,V;FUT;1;PL;MASC;HUM
banglać,posiadałyście,0.86192757,V;PST;2;PL
banglać,będę męczył,0.84290594,V;FUT;1;SG;MASC
banglać,klękało,0.9316841,V;PST;3;SG;NEUT
banglać,kroiło,0.94657856,V;PST;3;SG;NEUT
banglać,będzie gotował,0.814085,V;FUT;3;SG;MASC
banglać,będzie rozważał,0.80953205,V;FUT;3;SG;MASC
banglać,wyświetlają,0.823787,V;PRS;3;PL
banglać,będą mieszali,0.8289199,V;FUT;3;PL;MASC;HUM
banglać,mknęły,0.94754016,V;PST;3;PL
banglać,zerkały,0.92834973,V;PST;3;PL
banglać,notowałyśmy,0.8734455,V;PST;1;PL
banglać,będziemy umierali,0.81265783,V;FUT;1;PL;MASC;HUM
banglać,będziecie uczęszczały,0.8566027,V;FUT;2;PL
banglać,pojmowałyście,0.83655035,V;PST;2;PL
banglać,uwiodłyśmy,0.83696663,V;PST;1;PL
banglać,lansowałeś,0.92840797,V;PST;2;SG;MASC
banglać,będziemy wracali,0.8137619,V;FUT;1;PL;MASC;HUM
banglać,kleiliście,0.9118737,V;PST;2;PL;MASC;HUM
banglać,będę pisała,0.8573917,V;FUT;1;SG;FEM
bankrutować,będzie kukał,0.90532464,V;FUT;3;SG;MASC
bankrutować,identyfikują,0.89936787,V;PRS;3;PL
bankrutować,będziemy płonęły,0.86658466,V;FUT;1;PL
bankrutować,rozważały,0.8630606,V;PST;3;PL
bankrutować,odbudujemy,0.94112474,V;FUT;1;PL
bankrutować,brodziłyśmy,0.88889676,V;PST;1;PL
