pivot,derivation,similarity,category,affix
słowo,rozorać,0.11651241753568087,V:V,roz-
mata,pooczyszczać,0.07453088239501193,V:V,po-
dziewczyna,brykieciarnia,0.3139530667385615,N:N,-nia
długi,atomistyczny,0.15587638627931355,N:ADJ,-ny
miły,tarczka,0.05186185875510163,N:N,-ka
wysoki,Bukowińczyk,0.23411337448667613,N:N,-czyk
książka,allogamiczny,0.12333360614084654,N:ADJ,-iczny
łyżka,infantylnie,0.07045913789147695,ADJ:ADV,-ie
drukować,prospołeczność,0.12096752572832903,ADJ:N,-ość
cebula,naświnienie,0.1676352324343794,V:N,-enie
herbata,oologiczny,0.18603002319413198,N:ADJ,-iczny
chłop,czuły,0.22386660494589794,V:ADJ,-ły
chłop,hajtnąć,0.21394155795998981,V:V,-nąć
nauczyciel,grenadierzysko,0.13628688147470158,N:N,-ysko
nauczyć,średnio,0.13432587141932484,ADJ:ADV,-o
kwiat,chrzęstnięcie,0.19572464320078187,V:N,-ęcie
woda,makaronowy,0.13592059649439014,N:ADJ,-owy
wola,orientacyjny,0.14152051795398657,N:ADJ,-ny
Polska,chwytany,0.037936454377586526,V:ADJ,-any
miły,goistka,0.13321662408007862,N:N,-ka
gram,rozrabiacki,0.1799179594841036,N:ADJ,-cki
Krak,zblanszować,0.01078865885751401,V:V,z-
złoto,podkarzeł,0.2014889553867465,N:N,pod-
rysa,przeciążenie,0.16970381179062977,V:N,-enie
kania,socjalistyczny,0.0952362298927838,N:ADJ,-ny
marchew,dziennikarski,0.04612401300652147,N:ADJ,-ski
para,dubajczyk,0.09546629408796725,ADJ:N,-czyk
wymóc,obliczenie,0.17393846984843742,V:N,-enie
Google,klerykalizacja,0.07525781837405376,ADJ:N,-izacja
ewentualny,tętniczka,0.02452876183372743,N:N,-iczka
oczywisty,iwczanka,0.06813785709343467,N:N,-ka
baba,kamieniczka,0.3191093886358767,N:N,-ka
pieprz,kwietniczek,0.098746845585723,N:N,-ek
wierzba,porozmawiać,0.07195992406137741,V:V,po-
kilka,wywalenie,0.25201520390166743,V:N,-enie
termin,obkurczyć,0.14941290413702002,V:V,ob-
baba,dedykacja,0.22289839989036275,V:N,-cja
