pivot,derivation,similarity,category,affix
słowo,rozorać,0.54910415,V:V,roz-
mata,pooczyszczać,0.566346,V:V,po-
dziewczyna,brykieciarnia,0.547054,N:N,-nia
długi,atomistyczny,0.5777764,N:ADJ,-ny
miły,tarczka,0.4993183,N:N,-ka
wysoki,Bukowińczyk,0.5169658,N:N,-czyk
książka,allogamiczny,0.5392957,N:ADJ,-iczny
łyżka,infantylnie,0.61207104,ADJ:ADV,-ie
drukować,prospołeczność,0.51008666,ADJ:N,-ość
cebula,naświnienie,0.5268162,V:N,-enie
herbata,oologiczny,0.5557105,N:ADJ,-iczny
chłop,czuły,0.8113246,V:ADJ,-ły
chłop,hajtnąć,0.563133,V:V,-nąć
nauczyciel,grenadierzysko,0.5454137,N:N,-ysko
nauczyć,średnio,0.65113586,ADJ:ADV,-o
kwiat,chrzęstnięcie,0.5599119,V:N,-ęcie
woda,makaronowy,0.59048384,N:ADJ,-owy
wola,orientacyjny,0.7520382,N:ADJ,-ny
Polska,chwytany,0.5561361,V:ADJ,-any
miły,goistka,0.5780215,N:N,-ka
gram,rozrabiacki,0.57352513,N:ADJ,-cki
Krak,zblanszować,0.57179546,V:V,z-
złoto,podkarzeł,0.5241707,N:N,pod-
rysa,przeciążenie,0.6679429,V:N,-enie
kania,socjalistyczny,0.57488596,N:ADJ,-ny
marchew,dziennikarski,0.4493189,N:ADJ,-ski
para,dubajczyk,0.5596363,ADJ:N,-czyk
wymóc,obliczenie,0.6407738,V:N,-enie
Google,klerykalizacja,0.5661959,ADJ:N,-izacja
ewentualny,tętniczka,0.5393444,N:N,-iczka
oczywisty,iwczanka,0.52302235,N:N,-ka
baba,kamieniczka,0.6436778,N:N,-ka
pieprz,kwietniczek,0.5440823,N:N,-ek
wierzba,porozmawiać,0.48708344,V:V,po-
kilka,wywalenie,0.63628376,V:N,-enie
termin,obkurczyć,0.5082471,V:V,ob-
baba,dedykacja,0.63446814,V:N,-cja
Anglia,katechetyczność,0.54672796,ADJ:N,-ość
dół,Belmontowa,0.47336388,N:N,-owa
plon,żulia,0.56415963,N:N,-ia
mulcz,przeegzaminowywać,0.601064,V:V,-ywać
obły,debeściarsko,0.6634431,ADJ:ADV,-o
mrówka,błahostka,0.73410296,ADJ:N,-ka
ucho,szewczyna,0.53078675,N:N,-yna
Polak,zachować,0.6021345,V:V,za-
mulczować,nieuczony,0.6314108,N:ADJ,nie-
mulczować,Anglik,0.5773654,N:N,-ik
pisać,biochemik,0.61894166,N:N,-ik
kot,niehigienicznie,0.48229897,ADJ:ADV,-ie
aktor,osobowość,0.7972689,ADJ:N,-ość
kowal,dostawiać,0.59581107,V:V,do-
kowal,karmelizować,0.5458679,N:V,-ować
kuna,bacowski,0.55881804,N:ADJ,-owski
orać,antymonarchistyczność,0.5209291,ADJ:N,-ość
róża,niestrudzony,0.49792928,ADJ:ADJ,nie-
brąz,nieprawnie,0.6006521,ADJ:ADV,-ie
niebo,nierozmowny,0.5382507,ADJ:ADJ,nie-
rozebrać,kieliszkowaty,0.5161789,N:ADJ,-owaty
sen,ocenzurowanie,0.5197918,N:N,o-
lekko,Julka,0.5769266,N:N,-ka
tarń,dereniówka,0.6326934,ADJ:N,-ka
brat,niekompatybilny,0.5276714,ADJ:ADJ,nie-
dać,borowiec,0.5152403,N:N,-owiec
lotny,czepianie,0.54153615,V:N,-anie
chemia,kłodzina,0.6014792,N:N,-ina
mięso,sinawy,0.58730143,ADJ:ADJ,-awy
kocioł,krogulczy,0.6785755,N:ADJ,-czy
córa,trójkolorowo,0.52501065,ADJ:ADV,-o
stary,gibonowaty,0.5393828,N:ADJ,-owaty
lipa,Krzysztofa,0.5249571,N:N,-a
sierp,gżegżółeczka,0.42455912,N:N,-eczka
wrzos,mianowaniec,0.5463165,N:N,-iec
paździerz,odessać,0.5735012,V:V,ode-
siadać,wsadzanie,0.6193675,V:N,-anie
konać,hutczanka,0.5949688,N:N,-ka
łamać,rozrywkowo,0.56492287,ADJ:ADV,-o
kula,gołąbeczek,0.53289366,N:N,-ek
częsty,drabina,0.58280516,N:N,-ina
śniadać,pokłonić,0.63145655,N:V,-ić
lśnić,Tarnowski,0.4026329,N:N,-ski
ogon,Jutrzenka,0.5848611,N:N,-enka
szkoda,aplikowanie,0.5956673,V:N,-anie
widzieć,wycieknąć,0.66083974,V:V,-nąć
nazwać,taborować,0.67371094,N:V,-ować
nazwać,scholastyczność,0.4805541,ADJ:N,-ość
chód,dansingowy,0.6281575,N:ADJ,-owy
ołów,szyszkowy,0.57953954,N:ADJ,-owy
przyjemny,Sądowicz,0.5368501,N:N,-wicz
wygodny,synonimia,0.43830174,N:N,-ia
kręcić,oszczerstwo,0.4907645,N:N,-stwo
zwiedzić,Ewunia,0.550617,N:N,-unia
wybrać,zjawisko,0.6981915,N:N,-isko
skrzyżować,zezowaty,0.51603246,V:ADJ,-aty
zdjąć,kaskader,0.5577954,N:N,-er
zostawić,aksjologiczność,0.4412284,ADJ:N,-ość
pederasta,szopenistka,0.71528894,N:N,-ka
ontologia,degustatorka,0.61600614,N:N,-ka
miś,nogawica,0.6090704,N:N,-awica
wiatr,posmarować,0.5463705,V:V,po-
kita,pomocniczość,0.57325375,ADJ:N,-ość
Moskal,ganienie,0.6363815,V:N,-enie
paść,pieczeniarstwo,0.5155711,N:N,-stwo
Kaczyński,czapnik,0.5890645,N:N,-nik
społeczny,grzmocik,0.53946054,N:N,-ik
chudy,aseptyczność,0.58610016,ADJ:N,-ość
ser,zwyciężczyni,0.51346797,N:N,-yni
teizm,nietrzeźwo,0.54605174,ADJ:ADV,-o
suchy,kitajkowy,0.59877753,N:ADJ,-owy
mina,sukcesyjny,0.5171349,N:ADJ,-ny
zad,dyscernowanie,0.52440524,V:N,-anie
pacnąć,panseksualność,0.54317546,ADJ:N,-ość
lotnisko,gwiaździście,0.52697986,ADJ:ADV,-ie
skupić,cholerowy,0.61817044,N:ADJ,-owy
lizać,mroźno,0.6010789,ADJ:ADV,-o
misa,owczarski,0.50756973,N:ADJ,-ski
pszczoła,niepomyślny,0.45531154,ADJ:ADJ,nie-
ciasto,różnokształtność,0.56222284,ADJ:N,-ość
orzeł,strzelanie,0.7539002,V:N,-anie
osa,pochlebstwo,0.6206205,N:N,-stwo
elf,kodeksowy,0.54982984,N:ADJ,-owy
muł,podać,0.6076227,V:V,po-
pomarańcza,ślimaczy,0.6480293,N:ADJ,-czy
kulturysta,nikielinowy,0.51882845,N:ADJ,-owy
gonić,wdrażać,0.7113995,V:V,-ać
skok,srebrnictwo,0.5741584,ADJ:N,-ctwo
Portugalia,autostrzykawka,0.54620606,N:N,auto-
mocz,pieluszkowy,0.6030035,N:ADJ,-owy
Jan,nietarasowanie,0.4659773,N:N,nie-
lot,bohemistyczny,0.58857834,N:ADJ,-ny
baba,niedźwiedzica,0.8055818,N:N,-ica
dziad,blagieria,0.5950458,N:N,-ia
historia,Bogumiłostwo,0.47423154,N:N,-stwo
siatka,domisko,0.56128234,N:N,-isko
grafia,Błażejostwo,0.5523793,N:N,-stwo
analizować,radiobusola,0.5292174,N:N,radio-
mózgowie,cegłówka,0.660084,N:N,-ówka
Lach,Gracjanek,0.5342721,N:N,-ek
grupa,zatonięcie,0.5449116,V:N,-ęcie
kombinować,radzić,0.6862472,N:V,-ić
demon,zakończyć,0.72423524,V:V,za-
Ryga,periodycznie,0.59362704,ADJ:ADV,-ie
etan,nuworyszowski,0.5878703,N:ADJ,-owski
uczyć,mrowiskowy,0.5175007,N:ADJ,-owy
tresa,żywiciel,0.64554447,V:N,-ciel
reporter,bałwaniasty,0.5950406,N:ADJ,-asty
Bruksela,hybrydowy,0.621543,N:ADJ,-owy
fiolet,lazurować,0.6472953,N:V,-ować
purpura,bezwietrznie,0.52994066,ADJ:ADV,-ie
beż,łaciński,0.5125089,N:ADJ,-ski
turkus,przemarsz,0.66557765,N:N,prze-
granat,hotelowy,0.7476723,N:ADJ,-owy
błękit,mierznąć,0.5413484,V:V,-nąć
kropka,rozlany,0.56291986,V:ADJ,-any
okrężny,psychologia,0.51786816,N:N,-ia
przecinać,świniak,0.6097368,N:N,-ak
indyk,Tajmyra,0.6074385,N:N,-a
użycie,czeczotowy,0.5783669,N:ADJ,-owy
kot,przykazać,0.5648411,N:V,-ać
kot,ówcześnie,0.76502806,ADJ:ADV,-ie
słoń,ubrudzić,0.52630967,V:V,u-
rzeczowy,norweskość,0.6526184,ADJ:N,-ość
mały,atomóweczka,0.6737209,N:N,-eczka
czasowy,bezużyteczność,0.6146693,ADJ:N,-ość
kierować,mitomański,0.5216617,N:ADJ,-ski
kierownik,roślinność,0.6827152,ADJ:N,-ość
godny,przylutować,0.6144365,V:V,przy-
kazać,łysol,0.58834183,ADJ:N,-ol
znaczyć,wykładnik,0.5960454,N:N,-nik
trafić,powiewać,0.68531656,V:V,-wać
lekarz,niewypacanie,0.54614073,N:N,nie-
pion,dżibutyjczyk,0.559819,ADJ:N,-czyk
mierzalny,pescowegetariański,0.58445156,N:ADJ,-ski
liczba,Kairosowy,0.5896665,N:ADJ,-owy
król,kolokwialnie,0.5548252,ADJ:ADV,-ie
car,szaruga,0.5682165,ADJ:N,-uga
dostrzec,cipka,0.7601528,N:N,-ka
stary,borsuczę,0.6034359,ADJ:N,-ę
dorosły,radować,0.5821668,N:V,-ować
pełnoletni,szańcowy,0.5593078,N:ADJ,-owy
Czech,nadgorliwie,0.46669996,ADV:ADV,nad-
podlać,podziałać,0.7059669,V:V,po-
koń,sowchozowy,0.5044244,N:ADJ,-owy
zwierz,neoliberalizm,0.54763824,ADJ:N,-izm
beton,spolszczenie,0.6428647,V:N,-enie
wiatr,zaprzestanie,0.7235661,V:N,-anie
napowietrzyć,Marcinowy,0.44899166,N:ADJ,-owy
stryj,akordeonowy,0.5674656,N:ADJ,-owy
zimny,spostrzec,0.6048079,V:V,s-
przeziębić,przychodzić,0.6166924,V:V,przy-
puch,genitalny,0.5207011,N:ADJ,-ny
ametyst,kaperski,0.6008166,N:ADJ,-ski
studia,tajemniczy,0.753074,N:ADJ,-czy
jedność,bajroniczny,0.56753373,N:ADJ,-iczny
rudy,cemencik,0.58006054,N:N,-ik
szczep,cieplarniany,0.64773667,N:ADJ,-ny
prowadzić,odkrywczość,0.4987477,ADJ:N,-ość
prowadzić,podzielny,0.55891144,V:ADJ,-ny
doprowadzić,wszczynanie,0.64822423,V:N,-anie
przeprowadzić,Karpiniukowa,0.50253665,N:N,-owa
wskazać,nadcinać,0.48521733,V:V,-ać
wodzić,widłoróg,0.5149532,N:N,widło-
wodzić,przedostać,0.62016046,V:V,prze-
chodzić,resorek,0.57729506,N:N,-ek
przód,porosły,0.6086626,V:ADJ,-ły
brać,graniczny,0.7496391,N:ADJ,-ny
prosty,marzanowaty,0.61065906,N:ADJ,-owaty
administrator,benefaktorski,0.5649506,N:ADJ,-ski
kość,słonecznikowo,0.5168002,ADJ:ADV,-o
Litwa,spłacalny,0.46329463,V:ADJ,-alny
igła,nacjonalizacja,0.57044286,V:N,-cja
Polska,kalwinistka,0.50329155,N:N,-ka
mały,kaleki,0.7013515,N:ADJ,-i
bezczelny,denaturować,0.5586877,N:V,-ować
zuchwały,gospodarczo,0.55602676,ADJ:ADV,-o
teizm,wypiekać,0.61651134,V:V,-ać
liczyć,polerownica,0.4915622,V:N,-nica
niemy,kangurzyca,0.63239324,N:N,-yca
wiele,squatowy,0.5081065,N:ADJ,-owy
podać,nieudolnie,0.5832943,ADJ:ADV,-ie
otworzyć,chrzestna,0.56667507,ADJ:N,-a
otworzyć,przyoszczędzić,0.54356766,V:V,przy-
ostać,leksykalnie,0.60623527,ADJ:ADV,-ie
zabić,puchanie,0.6563352,V:N,-anie
legły,tokować,0.59877735,N:V,-ować
czynny,ceklarski,0.5561273,N:ADJ,-ski
przyszły,kiełbacha,0.53363764,N:N,-cha
ile,evencik,0.6514783,N:N,-ik
wschód,wtrącanie,0.6113434,V:N,-anie
zachód,transplantacyjny,0.5086842,N:ADJ,-ny
syn,przociel,0.5818731,V:N,-ciel
kopać,chylenie,0.62583506,V:N,-enie
miedź,patrycjuszka,0.53745145,N:N,-ka
Bułgaria,zamanifestować,0.4174403,V:V,za-
zainteresować,flisaczek,0.6054908,N:N,-ek
żelazo,mgławicowy,0.5977481,N:ADJ,-owy
nora,krwotoczność,0.576518,ADJ:N,-ość
