pivot,derivation,similarity,category,affix
mata,matka,0.8957287,N:N,-ka
dziewczyna,dziewczynka,0.9837844,N:N,-ka
długi,długość,0.84173113,ADJ:N,-ość
miły,miłość,0.90331656,ADJ:N,-ość
wysoki,wysokość,0.80129564,ADJ:N,-ość
cebula,cebulka,0.9383512,N:N,-ka
herbata,herbatka,0.75157154,N:N,-ka
nauczyciel,nauczycielka,0.9267537,N:N,-ka
kwiat,kwiatek,0.98072517,N:N,-ek
woda,wódka,0.9369703,N:N,-ka
wola,wolny,0.93980056,N:ADJ,-ny
Polska,polski,0.8446808,N:ADJ,-ski
rysa,ryska,0.8769653,N:N,-ka
marchew,marchewka,0.9653318,N:N,-ka
para,parka,0.74390465,N:N,-ka
wymóc,wymagać,0.88244075,V:V,-ać
Google,googlować,0.8393397,N:V,-ować
ewentualny,ewentualnie,0.97297144,ADJ:ADV,-ie
oczywisty,oczywiście,0.93393254,ADJ:ADV,-ie
wierzba,Wierzbowski,0.8852602,N:N,-ski
baba,babka,0.956688,ADJ:N,-ka
mulcz,mulczować,0.9034545,N:V,-ować
ucho,uszny,0.93157995,N:ADJ,-ny
Polak,Polka,0.8720876,N:N,-ka
mulczować,mulczowanie,0.94360363,V:N,-anie
kot,kotka,0.8907487,N:N,-ka
aktor,aktorka,0.87134814,N:N,-ka
kowal,Kowalski,0.8682105,N:N,-ski
orać,orka,0.9486183,V:N,-ka
róża,różowy,0.9418897,N:ADJ,-owy
brąz,brązowy,0.8797913,N:ADJ,-owy
niebo,niebieski,0.9153263,N:ADJ,-ski
rozebrać,rozbierać,0.9729769,V:V,-ać
sen,snowy,0.83403236,N:ADJ,-owy
tarń,tarka,0.91359895,N:N,-ka
córa,córka,0.7772873,N:N,-ka
kula,kulka,0.97117037,N:N,-ka
częsty,często,0.93464714,ADJ:ADV,-o
śniadać,śniadanie,0.97708136,V:N,-anie
ogon,ogonek,0.96331906,N:N,-ek
widzieć,widzenie,0.9280169,V:N,-enie
nazwać,nazywać,0.9638882,V:V,-ać
ołów,ołówek,0.9476163,N:N,-ek
przyjemny,przyjemność,0.93681073,ADJ:N,-ość
wygodny,wygodnie,0.9647984,ADJ:ADV,-ie
zwiedzić,zwiedzać,0.9668141,V:V,-ać
wybrać,wybierać,0.95530486,V:V,-ać
skrzyżować,skrzyżowanie,0.93797797,V:N,-anie
zostawić,zostawiać,0.948114,V:V,-ać
kita,kitka,0.9447556,N:N,-ka
społeczny,społeczeństwo,0.94025666,ADJ:N,-stwo
suchy,sucho,0.96599245,ADJ:ADV,-o
mina,minka,0.9397112,N:N,-ka
zad,zadek,0.94710255,N:N,-ek
pacnąć,packa,0.8991563,V:N,-ka
misa,miska,0.97352535,N:N,-ka
pszczoła,pszczółka,0.98519856,N:N,-ka
pomarańcza,pomarańczowy,0.9714769,N:ADJ,-owy
kulturysta,kulturystka,0.94654536,N:N,-ka
skok,skoczek,0.9395534,N:N,-ek
Portugalia,Portugalka,0.9655748,N:N,-ka
Jan,Janik,0.96103525,N:N,-ik
dziad,dziadek,0.94936967,N:N,-ek
Lach,laski,0.92995626,N:ADJ,-ski
Ryga,ryski,0.89730525,N:ADJ,-ski
tresa,treska,0.96977806,N:N,-ka
reporter,reporterka,0.8306316,N:N,-ka
Bruksela,brukselka,0.87018514,N:N,-ka
