pivot,inflection,similarity,category
analizować,analizowałam,0.72732276,V;PST;1;SG;FEM
analizować,analizowałaś,0.6877172,V;PST;2;SG;FEM
analizować,analizowała,0.7208576,V;PST;3;SG;FEM
analizować,analizowałem,0.74347746,V;PST;1;SG;MASC
analizować,analizowałeś,0.7176496,V;PST;2;SG;MASC
analizować,analizowaliście,0.741909,V;PST;2;PL;MASC;HUM
analizować,analizowaliśmy,0.6672112,V;PST;1;PL;MASC;HUM
analizować,analizowali,0.75873774,V;PST;3;PL;MASC;HUM
analizować,analizowało,0.72650725,V;PST;3;SG;NEUT
analizować,analizował,0.7246538,V;PST;3;SG;MASC
analizować,analizowałyście,0.70776415,V;PST;2;PL
analizować,analizowałyśmy,0.7826367,V;PST;1;PL
analizować,analizowały,0.72137165,V;PST;3;PL
analizować,analizują,0.7228161,V;PRS;3;PL
analizować,analizujecie,0.71111536,V;PRS;2;PL
analizować,analizujemy,0.6879552,V;PRS;1;PL
analizować,analizujesz,0.67950743,V;PRS;2;SG
analizować,analizuję,0.6856613,V;PRS;1;SG
analizować,analizuje,0.9688288,V;PRS;3;SG
analizować,będą analizowali,0.61531943,V;FUT;3;PL;MASC;HUM
analizować,będą analizowały,0.6115674,V;FUT;3;PL
analizować,będę analizowała,0.6018039,V;FUT;1;SG;FEM
analizować,będę analizował,0.61250293,V;FUT;1;SG;MASC
analizować,będzie analizowała,0.5966477,V;FUT;3;SG;FEM
analizować,będzie analizowało,0.60007036,V;FUT;3;SG;NEUT
analizować,będzie analizował,0.5954257,V;FUT;3;SG;MASC
analizować,będziecie analizowali,0.6574351,V;FUT;2;PL;MASC;HUM
analizować,będziecie analizowały,0.68733287,V;FUT;2;PL
analizować,będziemy analizowali,0.60772234,V;FUT;1;PL;MASC;HUM
analizować,będziemy analizowały,0.6332131,V;FUT;1;PL
analizować,będziesz analizowała,0.58806926,V;FUT;2;SG;FEM
analizować,będziesz analizował,0.58417547,V;FUT;2;SG;MASC
atakować,atakowałam,0.6206706,V;PST;1;SG;FEM
atakować,atakowałaś,0.587467,V;PST;2;SG;FEM
atakować,atakowała,0.76845276,V;PST;3;SG;FEM
atakować,atakowałem,0.66092515,V;PST;1;SG;MASC
atakować,atakowałeś,0.6250889,V;PST;2;SG;MASC
atakować,atakowaliście,0.687355,V;PST;2;PL;MASC;HUM
atakować,atakowaliśmy,0.6941015,V;PST;1;PL;MASC;HUM
atakować,atakowali,0.8114783,V;PST;3;PL;MASC;HUM
atakować,atakowało,0.7905561,V;PST;3;SG;NEUT
atakować,atakował,0.79330426,V;PST;3;SG;MASC
atakować,atakowałyście,0.66909474,V;PST;2;PL
atakować,atakowałyśmy,0.64457935,V;PST;1;PL
atakować,atakowały,0.7984408,V;PST;3;PL
atakować,atakują,0.8504859,V;PRS;3;PL
atakować,atakujecie,0.68193126,V;PRS;2;PL
atakować,atakujemy,0.69328403,V;PRS;1;PL
atakować,atakujesz,0.6367293,V;PRS;2;SG
atakować,atakuję,0.65433764,V;PRS;1;SG
atakować,atakuje,0.8425553,V;PRS;3;SG
atakować,będą atakowali,0.6257179,V;FUT;3;PL;MASC;HUM
atakować,będą atakowały,0.61871463,V;FUT;3;PL
atakować,będę atakowała,0.5714519,V;FUT;1;SG;FEM
atakować,będę atakował,0.6041812,V;FUT;1;SG;MASC
atakować,będzie atakowała,0.5988598,V;FUT;3;SG;FEM
atakować,będzie atakowało,0.5943655,V;FUT;3;SG;NEUT
atakować,będzie atakował,0.61118597,V;FUT;3;SG;MASC
atakować,będziecie atakowali,0.6594053,V;FUT;2;PL;MASC;HUM
atakować,będziecie atakowały,0.6382193,V;FUT;2;PL
atakować,będziemy atakowali,0.6401024,V;FUT;1;PL;MASC;HUM
atakować,będziemy atakowały,0.63253653,V;FUT;1;PL
atakować,będziesz atakowała,0.5758935,V;FUT;2;SG;FEM
atakować,będziesz atakował,0.59756076,V;FUT;2;SG;MASC
badać,badacie,0.7346603,V;PRS;2;PL
badać,badają,0.77092457,V;PRS;3;PL
badać,badałam,0.72129434,V;PST;1;SG;FEM
badać,badałaś,0.5793809,V;PST;2;SG;FEM
badać,badała,0.74704444,V;PST;3;SG;FEM
badać,badałem,0.77320844,V;PST;1;SG;MASC
badać,badałeś,0.7036401,V;PST;2;SG;MASC
badać,badaliście,0.7324286,V;PST;2;PL;MASC;HUM
badać,badaliśmy,0.725446,V;PST;1;PL;MASC;HUM
badać,badali,0.7764969,V;PST;3;PL;MASC;HUM
badać,badało,0.71753365,V;PST;3;SG;NEUT
badać,badał,0.9187877,V;PST;3;SG;MASC
badać,badałyście,0.6309714,V;PST;2;PL
badać,badałyśmy,0.64008296,V;PST;1;PL
badać,badały,0.72161376,V;PST;3;PL
badać,badam,0.72451514,V;PRS;1;SG
badać,badamy,0.7304636,V;PRS;1;PL
badać,badasz,0.71107376,V;PRS;2;SG
badać,bada,0.9699293,V;PRS;3;SG
badać,będą badali,0.6326491,V;FUT;3;PL;MASC;HUM
badać,będą badały,0.59821004,V;FUT;3;PL
badać,będę badała,0.5980655,V;FUT;1;SG;FEM
badać,będę badał,0.6750574,V;FUT;1;SG;MASC
badać,będzie badała,0.59465665,V;FUT;3;SG;FEM
badać,będzie badało,0.5762366,V;FUT;3;SG;NEUT
badać,będzie badał,0.674465,V;FUT;3;SG;MASC
badać,będziecie badali,0.66034514,V;FUT;2;PL;MASC;HUM
badać,będziecie badały,0.64195573,V;FUT;2;PL
badać,będziemy badali,0.6146814,V;FUT;1;PL;MASC;HUM
badać,będziemy badały,0.59893495,V;FUT;1;PL
badać,będziesz badała,0.5786523,V;FUT;2;SG;FEM
badać,będziesz badał,0.6791468,V;FUT;2;SG;MASC
bawić,bawią,0.9550718,V;PRS;3;PL
bawić,bawicie,0.72882515,V;PRS;2;PL
bawić,bawię,0.9388726,V;PRS;1;SG
bawić,bawiłam,0.7432571,V;PST;1;SG;FEM
bawić,bawiłaś,0.6198209,V;PST;2;SG;FEM
bawić,bawiła,0.77009714,V;PST;3;SG;FEM
bawić,bawiłem,0.75988865,V;PST;1;SG;MASC
bawić,bawiłeś,0.7135404,V;PST;2;SG;MASC
bawić,bawiliście,0.69600356,V;PST;2;PL;MASC;HUM
bawić,bawiliśmy,0.67949146,V;PST;1;PL;MASC;HUM
bawić,bawili,0.7048979,V;PST;3;PL;MASC;HUM
bawić,bawiło,0.7178336,V;PST;3;SG;NEUT
bawić,bawił,0.9362928,V;PST;3;SG;MASC
bawić,bawiłyście,0.6360603,V;PST;2;PL
bawić,bawiłyśmy,0.60770416,V;PST;1;PL
bawić,bawiły,0.75067073,V;PST;3;PL
bawić,bawimy,0.72834736,V;PRS;1;PL
bawić,bawisz,0.94268,V;PRS;2;SG
bawić,bawi,0.9236576,V;PRS;3;SG
bawić,będą bawili,0.62730134,V;FUT;3;PL;MASC;HUM
bawić,będą bawiły,0.5813597,V;FUT;3;PL
bawić,będę bawiła,0.58308315,V;FUT;1;SG;FEM
bawić,będę bawił,0.65231603,V;FUT;1;SG;MASC
bawić,będzie bawiła,0.56116843,V;FUT;3;SG;FEM
bawić,będzie bawiło,0.5080282,V;FUT;3;SG;NEUT
bawić,będzie bawił,0.6467909,V;FUT;3;SG;MASC
bawić,będziecie bawili,0.6371989,V;FUT;2;PL;MASC;HUM
bawić,będziecie bawiły,0.60292345,V;FUT;2;PL
bawić,będziemy bawili,0.6196135,V;FUT;1;PL;MASC;HUM
bawić,będziemy bawiły,0.5789231,V;FUT;1;PL
bawić,będziesz bawiła,0.5844004,V;FUT;2;SG;FEM
bawić,będziesz bawił,0.6517943,V;FUT;2;SG;MASC
biegać,będą biegali,0.6386417,V;FUT;3;PL;MASC;HUM
biegać,będą biegały,0.62789446,V;FUT;3;PL
biegać,będę biegała,0.6060628,V;FUT;1;SG;FEM
biegać,będę biegał,0.6392692,V;FUT;1;SG;MASC
biegać,będzie biegała,0.59776527,V;FUT;3;SG;FEM
biegać,będzie biegało,0.6003725,V;FUT;3;SG;NEUT
biegać,będzie biegał,0.6176442,V;FUT;3;SG;MASC
biegać,będziecie biegali,0.66000223,V;FUT;2;PL;MASC;HUM
biegać,będziecie biegały,0.6435388,V;FUT;2;PL
biegać,będziemy biegali,0.64198494,V;FUT;1;PL;MASC;HUM
biegać,będziemy biegały,0.627422,V;FUT;1;PL
biegać,będziesz biegała,0.59623176,V;FUT;2;SG;FEM
biegać,będziesz biegał,0.6168404,V;FUT;2;SG;MASC
biegać,biegacie,0.72602934,V;PRS;2;PL
biegać,biegają,0.7223305,V;PRS;3;PL
biegać,biegałam,0.6831891,V;PST;1;SG;FEM
biegać,biegałaś,0.6674717,V;PST;2;SG;FEM
biegać,biegała,0.7089023,V;PST;3;SG;FEM
biegać,biegałem,0.7073955,V;PST;1;SG;MASC
biegać,biegałeś,0.6910973,V;PST;2;SG;MASC
biegać,biegaliście,0.7023781,V;PST;2;PL;MASC;HUM
biegać,biegaliśmy,0.69001645,V;PST;1;PL;MASC;HUM
biegać,biegali,0.74373394,V;PST;3;PL;MASC;HUM
biegać,biegało,0.7045006,V;PST;3;SG;NEUT
biegać,biegał,0.7259886,V;PST;3;SG;MASC
biegać,biegałyście,0.70244825,V;PST;2;PL
biegać,biegałyśmy,0.7081762,V;PST;1;PL
biegać,biegały,0.71204036,V;PST;3;PL
biegać,biegam,0.7255195,V;PRS;1;SG
biegać,biegamy,0.7236799,V;PRS;1;PL
biegać,biegasz,0.7181322,V;PRS;2;SG
biegać,biega,0.939411,V;PRS;3;SG
bronić,będą bronili,0.55076987,V;FUT;3;PL;MASC;HUM
bronić,będą broniły,0.52745473,V;FUT;3;PL
bronić,będę broniła,0.5020687,V;FUT;1;SG;FEM
bronić,będę bronił,0.5629287,V;FUT;1;SG;MASC
