"category","model","language","type","mean_similarity","version"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.272177037968746,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.270295502651565,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.270841645239167,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.277188452615316,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.274588585917759,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.274131829115199,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.274413529242419,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.27186669545459,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.269067592639817,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.271822615954601,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.277631918084406,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.271548770793514,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.272291886177124,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.270382851446072,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.277830782679681,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.277467191594817,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.275778773227215,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.272327567649465,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.277854580658928,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.271346886113672,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.274773011253589,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.273350464211213,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.268266232645058,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.269607053976021,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.270767443426853,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.275986809183563,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.270982149616868,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.270438477667933,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.26921064264733,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.27593794194277,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.274422313843918,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.273175388804809,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.271029786331822,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.272009950620053,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.277457518218635,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.276873070826665,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.271780631198445,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.278099552190896,"Shuffled"
"ADJ:ADJ","FastText","Polish","Derivation (same category)",0.275350218730556,"Shuffled"
