"category","model","language","type","version","mean_similarity"
"ADJ:ADJ","FastText","Polish","Derivation (same category)","Shuffled",0.177694088516479
"ADJ:ADJ","FastText","Spanish","Derivation (same category)","Shuffled",0.144577158315929
"ADJ:ADJ","Multilingual BERT","Polish","Derivation (same category)","Shuffled",0.890203485229541
"ADJ:ADJ","Multilingual BERT","Spanish","Derivation (same category)","Shuffled",0.892552647508173
"ADJ:ADJ","Word2Vec","Polish","Derivation (same category)","Shuffled",0.169933836781415
"ADJ:ADJ","Word2Vec","Spanish","Derivation (same category)","Shuffled",0.236385478524467
"ADJ:ADV","FastText","Polish","Derivation (different category)","Shuffled",0.136148384161726
"ADJ:ADV","FastText","Spanish","Derivation (different category)","Shuffled",0.126744322670873
"ADJ:ADV","Multilingual BERT","Polish","Derivation (different category)","Shuffled",0.883115623249928
"ADJ:ADV","Multilingual BERT","Spanish","Derivation (different category)","Shuffled",0.870493853619541
"ADJ:ADV","Word2Vec","Polish","Derivation (different category)","Shuffled",0.141943626356313
"ADJ:ADV","Word2Vec","Spanish","Derivation (different category)","Shuffled",0.237360530579655
"ADJ:N","FastText","Polish","Derivation (different category)","Shuffled",0.15424590305179
"ADJ:N","FastText","Spanish","Derivation (different category)","Shuffled",0.129120526723717
"ADJ:N","Multilingual BERT","Polish","Derivation (different category)","Shuffled",0.88471436843551
"ADJ:N","Multilingual BERT","Spanish","Derivation (different category)","Shuffled",0.88967567949354
"ADJ:N","Word2Vec","Polish","Derivation (different category)","Shuffled",0.153460997056352
"ADJ:N","Word2Vec","Spanish","Derivation (different category)","Shuffled",0.217462888439757
"ADJ:V","FastText","Polish","Derivation (different category)","Shuffled",0.186460972554252
"ADJ:V","FastText","Spanish","Derivation (different category)","Shuffled",0.165072404169617
"ADJ:V","Multilingual BERT","Polish","Derivation (different category)","Shuffled",0.900441754978541
"ADJ:V","Multilingual BERT","Spanish","Derivation (different category)","Shuffled",0.899129632666667
"ADJ:V","Word2Vec","Polish","Derivation (different category)","Shuffled",0.183900210968803
"ADJ:V","Word2Vec","Spanish","Derivation (different category)","Shuffled",0.243696230576329
"ADV:ADJ","FastText","Polish","Derivation (different category)","Shuffled",0.155104499412323
"ADV:ADJ","FastText","Spanish","Derivation (different category)","Shuffled",0.157960583024428
"ADV:ADJ","Multilingual BERT","Polish","Derivation (different category)","Shuffled",0.882590228461538
"ADV:ADJ","Multilingual BERT","Spanish","Derivation (different category)","Shuffled",0.904254484090909
"ADV:ADJ","Word2Vec","Polish","Derivation (different category)","Shuffled",0.164159444432656
"ADV:ADJ","Word2Vec","Spanish","Derivation (different category)","Shuffled",0.308306540129545
"ADV:ADV","FastText","Polish","Derivation (same category)","Shuffled",0.16197581909267
"ADV:ADV","FastText","Spanish","Derivation (same category)","Shuffled",0.116501081690408
"ADV:ADV","Multilingual BERT","Polish","Derivation (same category)","Shuffled",0.890694922727273
"ADV:ADV","Multilingual BERT","Spanish","Derivation (same category)","Shuffled",0.869829665333333
"ADV:ADV","Word2Vec","Polish","Derivation (same category)","Shuffled",0.154632501127003
"ADV:ADV","Word2Vec","Spanish","Derivation (same category)","Shuffled",0.176383023975308
"ADV:N","FastText","Polish","Derivation (different category)","Shuffled",0.151295246718065
"ADV:N","FastText","Spanish","Derivation (different category)","Shuffled",0.143858116438045
"ADV:N","Multilingual BERT","Polish","Derivation (different category)","Shuffled",0.892205462
"ADV:N","Multilingual BERT","Spanish","Derivation (different category)","Shuffled",0.899413653333333
"ADV:N","Word2Vec","Polish","Derivation (different category)","Shuffled",0.170065123101307
"ADV:N","Word2Vec","Spanish","Derivation (different category)","Shuffled",0.239184201886719
"ADV:V","FastText","Spanish","Derivation (different category)","Shuffled",0.125207424609796
"ADV:V","Multilingual BERT","Spanish","Derivation (different category)","Shuffled",0.898639007777778
"ADV:V","Word2Vec","Spanish","Derivation (different category)","Shuffled",0.26576510517795
"N:ADJ","FastText","Polish","Derivation (different category)","Shuffled",0.176105251463534
"N:ADJ","FastText","Spanish","Derivation (different category)","Shuffled",0.137305706429332
"N:ADJ","Multilingual BERT","Polish","Derivation (different category)","Shuffled",0.887550337639837
"N:ADJ","Multilingual BERT","Spanish","Derivation (different category)","Shuffled",0.892934709646087
"N:ADJ","Word2Vec","Polish","Derivation (different category)","Shuffled",0.166276879751311
"N:ADJ","Word2Vec","Spanish","Derivation (different category)","Shuffled",0.223107745823292
"N:ADV","FastText","Polish","Derivation (different category)","Shuffled",0.139399192170028
"N:ADV","FastText","Spanish","Derivation (different category)","Shuffled",0.120063333877642
"N:ADV","Multilingual BERT","Polish","Derivation (different category)","Shuffled",0.858409769166667
"N:ADV","Multilingual BERT","Spanish","Derivation (different category)","Shuffled",0.871090019622642
"N:ADV","Word2Vec","Polish","Derivation (different category)","Shuffled",0.121770618899202
"N:ADV","Word2Vec","Spanish","Derivation (different category)","Shuffled",0.226866522059017
"N:N","FastText","Polish","Derivation (same category)","Shuffled",0.151595604684298
"N:N","FastText","Spanish","Derivation (same category)","Shuffled",0.131177744753414
"N:N","Multilingual BERT","Polish","Derivation (same category)","Shuffled",0.883252049888274
"N:N","Multilingual BERT","Spanish","Derivation (same category)","Shuffled",0.891182129094817
"N:N","Word2Vec","Polish","Derivation (same category)","Shuffled",0.15777966133668
"N:N","Word2Vec","Spanish","Derivation (same category)","Shuffled",0.23193889815613
"N:V","FastText","Polish","Derivation (different category)","Shuffled",0.182773524415752
"N:V","FastText","Spanish","Derivation (different category)","Shuffled",0.163464504799937
"N:V","Multilingual BERT","Polish","Derivation (different category)","Shuffled",0.887878876831641
"N:V","Multilingual BERT","Spanish","Derivation (different category)","Shuffled",0.901345730949776
"N:V","Word2Vec","Polish","Derivation (different category)","Shuffled",0.174886258873635
"N:V","Word2Vec","Spanish","Derivation (different category)","Shuffled",0.251246580314526
"V:ADJ","FastText","Polish","Derivation (different category)","Shuffled",0.163066581756719
"V:ADJ","FastText","Spanish","Derivation (different category)","Shuffled",0.147469160856503
"V:ADJ","Multilingual BERT","Polish","Derivation (different category)","Shuffled",0.892072566722772
"V:ADJ","Multilingual BERT","Spanish","Derivation (different category)","Shuffled",0.898247776871854
"V:ADJ","Word2Vec","Polish","Derivation (different category)","Shuffled",0.155811914933266
"V:ADJ","Word2Vec","Spanish","Derivation (different category)","Shuffled",0.231825026055559
