pivot,derivation,similarity,category,affix
axial,roedor,0.89351,V:N,-dor
Chiapas,imposiblemente,0.8308146,ADJ:ADV,-mente
moral,descimbrar,0.904309,V:V,des-
ciento,desintegración,0.9118937,V:N,-ción
andar,mucolítico,0.9173164,ADJ:ADJ,muco-
maquilar,porrudo,0.9541088,N:ADJ,-udo
industria,pencazo,0.8258044,N:N,-azo
paz,vaquerita,0.9160468,N:N,-ita
ácido,refinadamente,0.85646373,V:ADV,-mente
banca,florecimiento,0.8900212,V:N,-miento
PAN,valencianismo,0.8796797,ADJ:N,-ismo
Chihuahua,hormigonar,0.78285205,N:V,-ar
mente,realquilar,0.9127206,V:V,re-
Estados Unidos,ultramonárquico,0.7360529,ADJ:ADJ,ultra-
sombra,empuje,0.90033746,V:N,-e
coro,antiparasitario,0.91761214,ADJ:ADJ,anti-
mosca,succionar,0.91335845,N:V,-ar
balar,inocuidad,0.9208329,ADJ:N,-idad
marica,cetónico,0.891033,N:ADJ,-ico
jurar,cansado,0.90741086,V:ADJ,-ado
juzgar,continentalmente,0.8912763,ADJ:ADV,-mente
juramentar,ajar,0.9288565,N:V,-ar
matar,cascotazo,0.91209996,N:N,-azo
matar,salvedad,0.91166353,ADJ:N,-edad
elegante,califórnico,0.9017889,N:ADJ,-ico
sangre,halconcito,0.9182989,N:N,-cito
ratón,fruncido,0.9426238,V:V,-ido
rápido,clínica,0.88549644,ADJ:N,-a
negociar,dañino,0.8777663,N:ADJ,-ino
controvertible,antiamericano,0.91587156,N:ADJ,anti-
ancho,reinona,0.93372744,N:N,-ona
chingar,quindenial,0.92801344,N:ADJ,-al
sexual,arbitrismo,0.8980907,N:N,-ismo
variable,deforestar,0.80698025,V:V,de-
cultural,revelar,0.87859905,V:V,re-
amargo,estacionamiento,0.83524096,V:ADJ,-miento
acreditar,encallamiento,0.9204385,V:N,-miento
vena,posfordismo,0.8841013,N:N,pos-
rectángulo,gustar,0.9146157,N:V,-ar
nucleo,alambrera,0.90233946,N:N,-era
paloma,contrapuerta,0.8949483,N:N,contra-
cerebro,aretalógico,0.9202563,N:ADJ,-́ico
suelto,entrometido,0.91328174,V:ADJ,-ido
arrogar,apartar,0.93529135,N:V,-ar
Cebú,hectocoulomb,0.9026309,N:N,hecto-
México,aceitera,0.7631157,N:N,-era
adaptar,sexología,0.8331871,N:N,-logía
libro,haciendita,0.8509071,N:N,-ita
sexual,antivuelco,0.8612185,N:ADJ,anti-
ángulo,centroamericano,0.8804121,ADJ:ADJ,centro-
ornamento,excarcelar,0.92079955,N:V,ex-
sexual,disfuncionamiento,0.88615084,N:N,dis-
data,maleta,0.89278626,ADJ:N,-eta
diluvio,golillero,0.923191,N:ADJ,-ero
serie,pentacampeón,0.77961355,N:N,penta-
escrito,multiplicadamente,0.89550006,V:ADV,-mente
descubrir,altísimo,0.8965261,ADJ:ADJ,-ísimo
función,palaciegamente,0.83362997,ADJ:ADV,-mente
Madrid,pañito,0.8048163,N:N,-ito
fiero,semestralmente,0.8780066,ADJ:ADV,-mente
mora,militarmente,0.79361427,ADJ:ADV,-mente
abuso,alfaharero,0.93480325,N:N,-ero
chaqueta,burrito,0.9036447,N:N,-ito
cameral,guadalajareño,0.88103986,N:ADJ,-eño
albo,mentalidad,0.84281397,ADJ:N,-idad
faja,rotulito,0.850864,N:N,-ito
sisa,multicita,0.94297165,N:N,multi-
conocer,yottalitro,0.8828638,N:N,yotta-
páncreas,santeño,0.9014767,N:ADJ,-eño
Japón,descuartizador,0.75320697,V:N,-dor
semita,betacismo,0.8269713,N:N,-cismo
labial,Patagonia,0.8741521,N:N,-ia
bolso,insulínico,0.9293859,N:ADJ,-ico
espina,giganewton,0.92581797,N:N,giga-
despertar,rastrero,0.9585749,N:ADJ,-ero
ala,criadilla,0.8726605,N:N,-illa
Jalapa,trazable,0.9017111,V:ADJ,-ble
La Habana,climatizar,0.8531616,ADJ:V,-izar
raza,roñoso,0.8656363,N:ADJ,-oso
pito,gata,0.95836544,N:N,-a
cuerno,recentralización,0.90596783,ADJ:N,re-
considerar,pobretería,0.9058352,ADJ:N,-ería
argentino,malmatar,0.7717899,V:V,mal-
lógica,pseudogén,0.86649036,N:N,pseudo-
preciar,intravenoso,0.8649476,ADJ:ADJ,intra-
mosquito,primariamente,0.8578932,ADJ:ADV,-mente
Luxemburgo,mariposario,0.8368539,N:N,-ario
Buenos Aires,fotolitógrafo,0.8245039,N:N,-grafo
puerto,pedregal,0.8775748,N:N,-al
Corea,sumatorio,0.8295067,N:N,-torio
tonal,estercolero,0.93944705,N:N,-ero
boya,pancita,0.9465596,N:N,-ita
sexual,desvelar,0.90022105,V:V,des-
reversible,normativismo,0.8503673,ADJ:N,-ismo
virus,betunar,0.8657898,N:V,-ar
manta,agnosticismo,0.85041034,ADJ:N,-ismo
continente,abreviamiento,0.9061146,V:N,-miento
Vietnam,agachadito,0.82861066,ADJ:N,-ito
ceda,doloridamente,0.84399146,ADJ:ADV,-mente
Bolivia,sanmartinense,0.7215574,N:ADJ,-ense
fino,afanosamente,0.8346997,ADJ:ADV,-mente
profundo,trasminar,0.9409862,V:V,tras-
rata,reclutador,0.8965626,V:N,-dor
marina,burdamente,0.8941816,ADJ:ADV,-mente
incentivo,abaleo,0.9112966,V:N,-eo
Irak,cegamiento,0.78668165,V:N,-miento
burro,mediero,0.906121,N:N,-ero
portar,desbloquear,0.90725356,V:V,des-
deplorar,aranés,0.8687015,N:ADJ,-és
comprar,prudencial,0.8890778,N:ADJ,-al
molécula,limpísimo,0.8985075,ADJ:ADJ,-ísimo
alvéolo,ecosocialista,0.89804137,ADJ:N,eco-
Tánger,aterrador,0.90559053,V:ADJ,-dor
Hawái,trombectomía,0.8238038,N:ADJ,-ectomía
cultura,ideador,0.87455183,V:ADJ,-dor
trópico,epicóndilo,0.9008895,N:N,epi-
armado,calar,0.9210893,N:ADJ,-ar
China,ahoyadura,0.75382006,V:N,-dura
octágono,macromolécula,0.92523783,N:ADJ,macro-
fétido,soldador,0.9211671,V:N,-dor
