pivot,derivation,similarity,category,affix
axial,roedor,0.07169046082236996,V:N,-dor
Chiapas,imposiblemente,-0.017517257138467635,ADJ:ADV,-mente
moral,descimbrar,0.28159397999427993,V:V,des-
ciento,desintegración,0.1088773533863937,V:N,-ción
andar,mucolítico,0.044476020984017484,ADJ:ADJ,muco-
maquilar,porrudo,0.1936430993952385,N:ADJ,-udo
industria,pencazo,0.14971776318463348,N:N,-azo
paz,vaquerita,0.0657558846509515,N:N,-ita
ácido,refinadamente,0.19480387796005638,V:ADV,-mente
banca,florecimiento,0.1357579411597064,V:N,-miento
PAN,valencianismo,0.13557279517023935,ADJ:N,-ismo
Chihuahua,hormigonar,0.062008070772223034,N:V,-ar
mente,realquilar,0.08294445258458849,V:V,re-
Estados Unidos,ultramonárquico,0.25372402767363067,ADJ:ADJ,ultra-
sombra,empuje,0.19144847122928044,V:N,-e
coro,antiparasitario,0.08374001485989913,ADJ:ADJ,anti-
mosca,succionar,0.21025864187127885,N:V,-ar
balar,inocuidad,0.18852103277994325,ADJ:N,-idad
marica,cetónico,0.0792187642133858,N:ADJ,-ico
jurar,cansado,0.2455782761896208,V:ADJ,-ado
juzgar,continentalmente,0.2156081912940231,ADJ:ADV,-mente
juramentar,ajar,0.17075608084103133,N:V,-ar
matar,cascotazo,0.25633887624169327,N:N,-azo
matar,salvedad,0.10754786648381764,ADJ:N,-edad
elegante,califórnico,0.29903770876019853,N:ADJ,-ico
sangre,halconcito,0.16275539869767397,N:N,-cito
ratón,fruncido,0.2036017021077221,V:V,-ido
rápido,clínica,0.10123906067133803,ADJ:N,-a
negociar,dañino,0.14772009084348126,N:ADJ,-ino
controvertible,antiamericano,0.35261078973594606,N:ADJ,anti-
ancho,reinona,0.0784483975828848,N:N,-ona
chingar,quindenial,0.10843300516722343,N:ADJ,-al
sexual,arbitrismo,0.09085288750219922,N:N,-ismo
variable,deforestar,0.02398909156033724,V:V,de-
cultural,revelar,0.08236061135734274,V:V,re-
amargo,estacionamiento,0.1266122968248834,V:ADJ,-miento
acreditar,encallamiento,0.11759184378135279,V:N,-miento
vena,posfordismo,0.07694609888853998,N:N,pos-
rectángulo,gustar,0.06782321417752557,N:V,-ar
nucleo,alambrera,0.23423232315433584,N:N,-era
paloma,contrapuerta,0.1858948091232675,N:N,contra-
cerebro,aretalógico,0.16597475031325315,N:ADJ,-́ico
suelto,entrometido,0.3609324495519386,V:ADJ,-ido
arrogar,apartar,0.47431318067811756,N:V,-ar
Cebú,hectocoulomb,0.12304588354413215,N:N,hecto-
México,aceitera,0.09354692577535761,N:N,-era
adaptar,sexología,0.10134957414746826,N:N,-logía
libro,haciendita,0.14769573176864625,N:N,-ita
sexual,antivuelco,0.13013626274113566,N:ADJ,anti-
ángulo,centroamericano,0.17074470208820836,ADJ:ADJ,centro-
ornamento,excarcelar,0.048385640913393035,N:V,ex-
sexual,disfuncionamiento,0.323860957771811,N:N,dis-
data,maleta,0.11952372984302984,ADJ:N,-eta
diluvio,golillero,0.187163106437635,N:ADJ,-ero
serie,pentacampeón,0.07320743131951746,N:N,penta-
escrito,multiplicadamente,0.15455365101525642,V:ADV,-mente
descubrir,altísimo,0.1019130150541182,ADJ:ADJ,-ísimo
función,palaciegamente,0.2108272761623302,ADJ:ADV,-mente
Madrid,pañito,-0.051110190358429675,N:N,-ito
fiero,semestralmente,0.04745528146496103,ADJ:ADV,-mente
mora,militarmente,0.14717135357179711,ADJ:ADV,-mente
abuso,alfaharero,0.18110979178377962,N:N,-ero
chaqueta,burrito,0.10224381436069263,N:N,-ito
cameral,guadalajareño,0.16850709308116474,N:ADJ,-eño
albo,mentalidad,0.1543448030704173,ADJ:N,-idad
faja,rotulito,0.25644618617229975,N:N,-ito
sisa,multicita,0.03509356472099856,N:N,multi-
conocer,yottalitro,0.03602339167836377,N:N,yotta-
páncreas,santeño,0.08027633926382538,N:ADJ,-eño
Japón,descuartizador,0.09769556027621151,V:N,-dor
semita,betacismo,0.22692574384396058,N:N,-cismo
labial,Patagonia,0.11769454009475411,N:N,-ia
bolso,insulínico,0.10847246471577421,N:ADJ,-ico
espina,giganewton,0.12259723830453784,N:N,giga-
despertar,rastrero,0.1518791452728997,N:ADJ,-ero
ala,criadilla,0.18466409370062198,N:N,-illa
Jalapa,trazable,0.006795709221514623,V:ADJ,-ble
La Habana,climatizar,0.10313144617705639,ADJ:V,-izar
raza,roñoso,0.0714917453528433,N:ADJ,-oso
pito,gata,0.17369364063445447,N:N,-a
cuerno,recentralización,0.0315900340310703,ADJ:N,re-
considerar,pobretería,0.07141254491589855,ADJ:N,-ería
argentino,malmatar,0.13162668395794141,V:V,mal-
lógica,pseudogén,0.21667355796103505,N:N,pseudo-
preciar,intravenoso,-0.009856756363968433,ADJ:ADJ,intra-
mosquito,primariamente,0.14475381391727826,ADJ:ADV,-mente
Luxemburgo,mariposario,0.11735589175509564,N:N,-ario
Buenos Aires,fotolitógrafo,0.2043830982986211,N:N,-grafo
puerto,pedregal,0.23691614171301967,N:N,-al
Corea,sumatorio,0.03421137841288768,N:N,-torio
tonal,estercolero,0.04708073857291761,N:N,-ero
boya,pancita,0.12606569273678014,N:N,-ita
sexual,desvelar,0.11774180097869302,V:V,des-
reversible,normativismo,0.10781947084656107,ADJ:N,-ismo
virus,betunar,0.07358404083795167,N:V,-ar
manta,agnosticismo,0.09400761313686357,ADJ:N,-ismo
continente,abreviamiento,0.20440055366498966,V:N,-miento
Vietnam,agachadito,0.12752725410391086,ADJ:N,-ito
ceda,doloridamente,0.1216431173016228,ADJ:ADV,-mente
Bolivia,sanmartinense,0.3352621055623821,N:ADJ,-ense
fino,afanosamente,0.22072267630225562,ADJ:ADV,-mente
profundo,trasminar,0.15595362778990596,V:V,tras-
rata,reclutador,0.14213446112334593,V:N,-dor
marina,burdamente,0.084350726040204,ADJ:ADV,-mente
incentivo,abaleo,0.19064842499347567,V:N,-eo
Irak,cegamiento,0.13581089514048728,V:N,-miento
burro,mediero,0.23692201213543185,N:N,-ero
portar,desbloquear,0.35713229983984385,V:V,des-
deplorar,aranés,-0.014286827328085838,N:ADJ,-és
comprar,prudencial,0.1358438017011243,N:ADJ,-al
molécula,limpísimo,0.05802183769047542,ADJ:ADJ,-ísimo
alvéolo,ecosocialista,0.04922489872742852,ADJ:N,eco-
Tánger,aterrador,0.01765901632134459,V:ADJ,-dor
Hawái,trombectomía,0.007282012850089781,N:ADJ,-ectomía
cultura,ideador,0.16166728051890988,V:ADJ,-dor
trópico,epicóndilo,0.10522730585513251,N:N,epi-
armado,calar,0.16223067042017414,N:ADJ,-ar
China,ahoyadura,0.1475048422554347,V:N,-dura
octágono,macromolécula,0.2279298971545779,N:ADJ,macro-
