pivot,derivation,similarity,category,affix
axial,roedor,0.20273024792565186,V:N,-dor
Chiapas,imposiblemente,0.14407279555980212,ADJ:ADV,-mente
ciento,desintegración,0.1581853433120617,V:N,-ción
andar,mucolítico,0.19630801135905296,ADJ:ADJ,muco-
paz,vaquerita,0.1919733923078185,N:N,-ita
ácido,refinadamente,0.18307114900320065,V:ADV,-mente
banca,florecimiento,0.1121029947756631,V:N,-miento
PAN,valencianismo,0.2655446168321205,ADJ:N,-ismo
Chihuahua,hormigonar,0.1730774048494912,N:V,-ar
mente,realquilar,0.2877023927176665,V:V,re-
sombra,empuje,0.26111253376644994,V:N,-e
coro,antiparasitario,0.1046784897966132,ADJ:ADJ,anti-
mosca,succionar,0.314102130430841,N:V,-ar
balar,inocuidad,0.21359716652987393,ADJ:N,-idad
marica,cetónico,0.32243200960936746,N:ADJ,-ico
jurar,cansado,0.29044000304439166,V:ADJ,-ado
juzgar,continentalmente,0.3743488192435833,ADJ:ADV,-mente
juramentar,ajar,0.15251584487961423,N:V,-ar
matar,salvedad,0.12659628480470175,ADJ:N,-edad
sangre,halconcito,0.23080551972247432,N:N,-cito
ratón,fruncido,0.2946324355516261,V:V,-ido
rápido,clínica,0.13703648981935435,ADJ:N,-a
negociar,dañino,0.16890418307597665,N:ADJ,-ino
controvertible,antiamericano,0.31366477359952416,N:ADJ,anti-
ancho,reinona,0.18969501396835708,N:N,-ona
chingar,quindenial,0.22731070062130132,N:ADJ,-al
sexual,arbitrismo,0.23549216355937086,N:N,-ismo
variable,deforestar,0.09768758797621557,V:V,de-
cultural,revelar,0.17149346060424453,V:V,re-
amargo,estacionamiento,0.10394935539571248,V:ADJ,-miento
acreditar,encallamiento,0.15524114073626083,V:N,-miento
vena,posfordismo,0.21624621091966445,N:N,pos-
rectángulo,gustar,0.14076063233214864,N:V,-ar
paloma,contrapuerta,0.3495812203852042,N:N,contra-
suelto,entrometido,0.3345822606472182,V:ADJ,-ido
arrogar,apartar,0.44401282869826875,N:V,-ar
México,aceitera,0.15470088839466445,N:N,-era
adaptar,sexología,0.21538500780827974,N:N,-logía
sexual,antivuelco,0.1140862727722105,N:ADJ,anti-
ángulo,centroamericano,0.13471402677282485,ADJ:ADJ,centro-
ornamento,excarcelar,0.05783846507855983,N:V,ex-
sexual,disfuncionamiento,0.339055277222865,N:N,dis-
data,maleta,0.12824866849948902,ADJ:N,-eta
serie,pentacampeón,0.19806085771019954,N:N,penta-
descubrir,altísimo,0.20195189990739815,ADJ:ADJ,-ísimo
Madrid,pañito,0.19739509397024058,N:N,-ito
fiero,semestralmente,0.05787612638233741,ADJ:ADV,-mente
mora,militarmente,0.1288350789947591,ADJ:ADV,-mente
chaqueta,burrito,0.33395476212901865,N:N,-ito
cameral,guadalajareño,0.29256342352567954,N:ADJ,-eño
albo,mentalidad,0.1401260845469069,ADJ:N,-idad
faja,rotulito,0.3555431088513191,N:N,-ito
páncreas,santeño,0.1368969622259485,N:ADJ,-eño
Japón,descuartizador,0.19357069460560383,V:N,-dor
semita,betacismo,0.4778499454799565,N:N,-cismo
labial,Patagonia,0.14090871000918592,N:N,-ia
bolso,insulínico,0.17909326091951716,N:ADJ,-ico
despertar,rastrero,0.13215627844850886,N:ADJ,-ero
Jalapa,trazable,0.1384339417281032,V:ADJ,-ble
raza,roñoso,0.3291203126625991,N:ADJ,-oso
