pivot,derivation,similarity,category,affix
axial,roedor,0.8180082,V:N,-dor
Chiapas,imposiblemente,0.700451,ADJ:ADV,-mente
moral,descimbrar,0.80488366,V:V,des-
ciento,desintegración,0.8137294,V:N,-ción
andar,mucolítico,0.8448288,ADJ:ADJ,muco-
maquilar,porrudo,0.8973742,N:ADJ,-udo
industria,pencazo,0.76280594,N:N,-azo
paz,vaquerita,0.82746214,N:N,-ita
ácido,refinadamente,0.7936555,V:ADV,-mente
banca,florecimiento,0.7637561,V:N,-miento
PAN,valencianismo,0.7640853,ADJ:N,-ismo
Chihuahua,hormigonar,0.6724145,N:V,-ar
mente,realquilar,0.81822616,V:V,re-
Estados Unidos,ultramonárquico,0.6284965,ADJ:ADJ,ultra-
sombra,empuje,0.82950985,V:N,-e
coro,antiparasitario,0.78648937,ADJ:ADJ,anti-
mosca,succionar,0.8410707,N:V,-ar
balar,inocuidad,0.8413897,ADJ:N,-idad
marica,cetónico,0.8357624,N:ADJ,-ico
jurar,cansado,0.8385367,V:ADJ,-ado
juzgar,continentalmente,0.81029344,ADJ:ADV,-mente
juramentar,ajar,0.85224706,N:V,-ar
matar,cascotazo,0.81290823,N:N,-azo
matar,salvedad,0.83276755,ADJ:N,-edad
elegante,califórnico,0.7877753,N:ADJ,-ico
sangre,halconcito,0.81623966,N:N,-cito
ratón,fruncido,0.8554468,V:V,-ido
rápido,clínica,0.8324663,ADJ:N,-a
negociar,dañino,0.8139531,N:ADJ,-ino
controvertible,antiamericano,0.85296047,N:ADJ,anti-
ancho,reinona,0.87250507,N:N,-ona
chingar,quindenial,0.84380734,N:ADJ,-al
sexual,arbitrismo,0.81110513,N:N,-ismo
variable,deforestar,0.7205496,V:V,de-
cultural,revelar,0.8201798,V:V,re-
amargo,estacionamiento,0.7781648,V:ADJ,-miento
acreditar,encallamiento,0.8435708,V:N,-miento
vena,posfordismo,0.7965575,N:N,pos-
rectángulo,gustar,0.8370012,N:V,-ar
nucleo,alambrera,0.79468566,N:N,-era
paloma,contrapuerta,0.80711406,N:N,contra-
cerebro,aretalógico,0.8234415,N:ADJ,-́ico
suelto,entrometido,0.82256067,V:ADJ,-ido
arrogar,apartar,0.8552548,N:V,-ar
Cebú,hectocoulomb,0.8188675,N:N,hecto-
México,aceitera,0.6647832,N:N,-era
adaptar,sexología,0.7569545,N:N,-logía
libro,haciendita,0.71854025,N:N,-ita
sexual,antivuelco,0.75621647,N:ADJ,anti-
ángulo,centroamericano,0.8116753,ADJ:ADJ,centro-
ornamento,excarcelar,0.82985157,N:V,ex-
sexual,disfuncionamiento,0.7888806,N:N,dis-
data,maleta,0.8593214,ADJ:N,-eta
diluvio,golillero,0.82175344,N:ADJ,-ero
serie,pentacampeón,0.6306776,N:N,penta-
escrito,multiplicadamente,0.7994712,V:ADV,-mente
descubrir,altísimo,0.81538576,ADJ:ADJ,-ísimo
función,palaciegamente,0.68906444,ADJ:ADV,-mente
Madrid,pañito,0.6585856,N:N,-ito
fiero,semestralmente,0.8078238,ADJ:ADV,-mente
mora,militarmente,0.72083116,ADJ:ADV,-mente
abuso,alfaharero,0.8793358,N:N,-ero
chaqueta,burrito,0.8282155,N:N,-ito
cameral,guadalajareño,0.79657793,N:ADJ,-eño
albo,mentalidad,0.7531962,ADJ:N,-idad
faja,rotulito,0.7719889,N:N,-ito
sisa,multicita,0.8867766,N:N,multi-
conocer,yottalitro,0.7886379,N:N,yotta-
páncreas,santeño,0.7840486,N:ADJ,-eño
Japón,descuartizador,0.63280386,V:N,-dor
semita,betacismo,0.7669817,N:N,-cismo
labial,Patagonia,0.8015971,N:N,-ia
bolso,insulínico,0.8036691,N:ADJ,-ico
espina,giganewton,0.8137821,N:N,giga-
despertar,rastrero,0.88938195,N:ADJ,-ero
ala,criadilla,0.75581396,N:N,-illa
Jalapa,trazable,0.8222361,V:ADJ,-ble
La Habana,climatizar,0.7527483,ADJ:V,-izar
raza,roñoso,0.78690135,N:ADJ,-oso
pito,gata,0.889667,N:N,-a
cuerno,recentralización,0.8103535,ADJ:N,re-
considerar,pobretería,0.83233607,ADJ:N,-ería
argentino,malmatar,0.6568171,V:V,mal-
lógica,pseudogén,0.77860457,N:N,pseudo-
preciar,intravenoso,0.81284356,ADJ:ADJ,intra-
mosquito,primariamente,0.7890457,ADJ:ADV,-mente
Luxemburgo,mariposario,0.72527796,N:N,-ario
Buenos Aires,fotolitógrafo,0.73293406,N:N,-grafo
puerto,pedregal,0.77141386,N:N,-al
Corea,sumatorio,0.72081125,N:N,-torio
tonal,estercolero,0.8648163,N:N,-ero
boya,pancita,0.88101715,N:N,-ita
sexual,desvelar,0.8277842,V:V,des-
reversible,normativismo,0.79102355,ADJ:N,-ismo
virus,betunar,0.76705635,N:V,-ar
manta,agnosticismo,0.76596105,ADJ:N,-ismo
continente,abreviamiento,0.8085773,V:N,-miento
Vietnam,agachadito,0.72216177,ADJ:N,-ito
ceda,doloridamente,0.7819795,ADJ:ADV,-mente
Bolivia,sanmartinense,0.5400199,N:ADJ,-ense
fino,afanosamente,0.79214585,ADJ:ADV,-mente
profundo,trasminar,0.8666497,V:V,tras-
rata,reclutador,0.8121827,V:N,-dor
marina,burdamente,0.8265847,ADJ:ADV,-mente
incentivo,abaleo,0.81894803,V:N,-eo
Irak,cegamiento,0.70466125,V:N,-miento
burro,mediero,0.8388162,N:N,-ero
portar,desbloquear,0.80840826,V:V,des-
deplorar,aranés,0.76697624,N:ADJ,-és
comprar,prudencial,0.79815507,N:ADJ,-al
molécula,limpísimo,0.7650074,ADJ:ADJ,-ísimo
alvéolo,ecosocialista,0.82303756,ADJ:N,eco-
Tánger,aterrador,0.8218673,V:ADJ,-dor
Hawái,trombectomía,0.70438915,N:ADJ,-ectomía
cultura,ideador,0.8187682,V:ADJ,-dor
trópico,epicóndilo,0.8448957,N:N,epi-
armado,calar,0.8662068,N:ADJ,-ar
China,ahoyadura,0.68269694,V:N,-dura
octágono,macromolécula,0.84384865,N:ADJ,macro-
fétido,soldador,0.8292374,V:N,-dor
watt,escenificación,0.7280975,V:N,-ción
adición,furibundamente,0.8098479,ADJ:ADJ,-mente
fin,dulcera,0.772254,ADJ:ADJ,-ero
semicírculo,cafeto,0.8268933,N:N,-eto
estudiar,procuraduría,0.8169463,N:N,-ía
colonia,permanentemente,0.76443225,N:ADV,-mente
bravo,prodigiosamente,0.7532563,ADJ:ADV,-mente
ahora,traducibilidad,0.75706434,ADJ:ADJ,-idad
dialecto,importador,0.8614453,V:ADJ,-dor
usar,grasilla,0.7851854,N:N,-illa
perico,biestable,0.82945955,ADJ:N,bi-
sala,tendero,0.82449275,V:N,-ero
ayer,antiesclavista,0.8396971,N:ADJ,anti-
pecado,disculpar,0.8552831,V:V,dis-
bocado,enajenador,0.8495872,V:ADJ,-dor
zumbar,endiabladamente,0.8122597,ADJ:ADV,-mente
zanca,arcabucear,0.82933426,N:V,-ear
zapato,goterear,0.86261034,N:V,-ear
zapato,politizar,0.8529495,ADJ:V,-izar
zapato,exprovincia,0.80543125,N:N,ex-
zigzag,desconcertante,0.79095894,V:ADJ,-ante
zorro,tediosamente,0.83237165,ADJ:ADV,-mente
zoología,negociazo,0.66019124,N:N,-azo
vaca,rejón,0.8320952,N:N,-ón
vaca,antisoberanista,0.81020427,ADJ:N,anti-
Yucatán,supercomputadora,0.72854316,N:N,super-
muro,extraordinariamente,0.74224865,ADJ:ADV,-mente
útil,giennense,0.7842701,N:ADJ,-ense
útil,cromáticamente,0.80528396,ADJ:ADV,-mente
utilizar,vehicular,0.767263,N:V,-ar
uso,pinzar,0.80283856,N:V,-ar
mentir,monja,0.87792987,N:N,-a
Urano,descoser,0.8382581,V:V,des-
urbanizar,dinamarqués,0.7771028,N:ADJ,-és
urgente,calculador,0.8038724,V:N,-dor
Uganda,aguacatero,0.6071151,N:ADJ,-ero
ulterior,muchacho,0.8534169,ADJ:N,-acho
último,amigabilidad,0.80944246,ADJ:N,-idad
mar,correctamente,0.61583865,ADJ:ADV,-mente
unánime,vastedad,0.79082084,ADJ:N,-edad
universal,brincote,0.76725125,N:N,-ote
berilo,aquietador,0.87517387,V:ADJ,-dor
Titán,eurodrama,0.8007225,N:N,euro-
litografía,conceptualidad,0.84796494,ADJ:N,-idad
barita,recercar,0.8466498,V:V,re-
Neptuno,crudito,0.76505524,ADJ:ADJ,-ito
Plutón,oligúrico,0.8175642,N:ADJ,-ico
América,magnánimamente,0.7888018,ADJ:ADV,-mente
California,bofetada,0.7566172,N:N,-ada
fer,saborete,0.76919144,N:N,-ete
cabo,ventralmente,0.7519166,ADJ:ADV,-mente
proteína,durablemente,0.7653959,ADJ:ADV,-mente
posta,carreterita,0.7652832,N:N,-ita
macho,sobrecoste,0.82165533,N:ADJ,sobre-
bacteria,tapadera,0.7829852,V:N,-era
vaca,cronometraje,0.78312147,N:N,crono-
vacar,cableamiento,0.8455404,V:N,-miento
abrir,alpaquero,0.7867863,N:N,-ero
alzar,villista,0.8191581,N:ADJ,-ista
civilizar,vacacional,0.875727,ADJ:ADJ,-al
reproducir,fachada,0.719461,N:N,-ada
cubrir,hipersensibilidad,0.82148504,N:N,hiper-
caballo,pedantismo,0.81330574,ADJ:N,-ismo
saber,tardísimo,0.8187397,ADJ:ADJ,-ísimo
sabio,antitrauma,0.7849077,N:ADJ,anti-
sabor,ancorería,0.80083424,N:N,-ería
jabón,verborrágico,0.81240606,N:ADJ,-ico
jabón,gemidor,0.8438193,V:ADJ,-dor
jadear,hechizar,0.90184224,N:V,-ar
hala,supercrítica,0.79459244,N:N,super-
Jamaica,privatización,0.6281739,V:N,-ación
Jamaica,reabastecer,0.56203336,V:V,re-
jarana,camperita,0.8150676,N:N,-ita
jardín,planeador,0.8364915,V:N,-dor
jarro,mamógrafo,0.8613029,N:N,-grafo
jinete,íntimamente,0.80108106,ADJ:ADV,-mente
jocoso,gotera,0.89972275,N:N,-era
jornal,morería,0.8349745,ADJ:N,-ería
joroba,malinterpretación,0.80719376,N:N,mal-
jovial,victoriano,0.832488,N:ADJ,-ano
joya,ostionera,0.8021612,N:N,-era
joya,archiducado,0.8067752,N:ADJ,-ado
Juan,osteogénesis,0.7298835,N:N,osteo-
judicial,correazo,0.7898447,N:N,-azo
juerga,glucagonoma,0.80207235,N:N,-oma
jugar,blanqueador,0.80240583,V:N,-dor
jugar,desgarbo,0.7934374,N:N,des-
jugo,vilmente,0.85441804,ADJ:ADV,-mente
jugar,eferencia,0.8001365,ADJ:N,-ia
juguete,recapitalizar,0.82481605,V:V,re-
juguete,carterilla,0.89355564,N:N,-illa
juguetón,comidilla,0.82900333,N:N,-illa
juicio,asolador,0.818665,V:ADJ,-dor
junto,dragar,0.8168828,N:V,-ar
justo,repasito,0.86109287,N:N,-ito
justicia,geopolíticamente,0.7799538,ADV:ADV,geo-
justificar,sónico,0.8363867,N:ADJ,-ico
joven,anillero,0.7800986,ADJ:N,-ero
quebrantar,guardianía,0.8599757,N:N,-ía
ñoño,ascetismo,0.7548218,N:N,-ismo
quejar,volcamiento,0.8701192,V:N,-miento
burla,serenísimo,0.83571863,N:ADJ,-ísimo
verdad,acotillo,0.8063894,N:N,a-
testículo,suspendedor,0.8713723,V:ADJ,-dor
quemar,nervadura,0.8476791,N:N,-dura
quemar,orientalismo,0.848505,ADJ:N,-ismo
quemar,depreciación,0.8695188,V:N,-ción
queso,garantía,0.85062355,ADJ:N,-ía
Quijote,prefabricación,0.7556237,N:N,pre-
social,expectación,0.8099037,V:N,-ción
φαίνω,relevantemente,0.6884464,ADJ:ADV,-mente
quirúrgico,distinguidor,0.77797663,V:ADJ,-dor
ñoño,tesorito,0.7948955,N:N,-ito
onda,migaja,0.8061129,N:N,-aja
falta,farandulero,0.7781897,N:ADJ,-ero
polar,siestita,0.756257,N:N,-ita
tutor,trepadera,0.8234358,V:N,-dera
moro,rapeo,0.88516706,V:N,-eo
bacterial,impulsivamente,0.8014195,ADJ:ADV,-mente
secretario,michoacano,0.684735,N:ADJ,-ano
carreta,desriscar,0.8799999,V:V,des-
frente,espinal,0.85489076,N:ADJ,-al
triste,preeminencia,0.7818142,N:N,pre-
legal,reinaugurar,0.76811093,V:V,re-
Perú,inmaculadamente,0.56784266,ADJ:ADV,-mente
elector,neomonja,0.8347112,N:N,neo-
dimensión,sobreceño,0.78606325,ADJ:N,sobre-
cérvix,portoncito,0.8425887,N:N,-cito
península,mariconada,0.765855,N:N,-ada
