pivot,derivation,similarity,category,affix
axial,abaxial,0.81846845,ADJ:ADJ,ab-
Chiapas,chiapaneco,0.728599,N:ADJ,-eco
moral,amoral,0.81054145,ADJ:ADJ,a-
ciento,centavo,0.8088917,N:N,-avo
andar,andante,0.6079476,V:ADJ,-ante
maquilar,maquiladora,0.8950648,V:N,-dora
industria,industrial,0.72234756,N:ADJ,-al
paz,paceño,0.5617237,N:ADJ,-eño
ácido,acidosis,0.6689266,ADJ:N,-osis
banca,bancario,0.75673175,N:ADJ,-ario
PAN,panista,0.6536426,N:ADJ,-ista
Chihuahua,chihuahuense,0.6835323,N:ADJ,-ense
mente,mental,0.43831098,V:ADJ,-al
Estados Unidos,estadounidense,0.75242317,N:N,-ense
sombra,sombrero,0.7577686,N:N,-ero
coro,coral,0.8307604,N:ADJ,-al
mosca,mosquito,0.817404,N:N,-ito
balar,balido,0.73223335,V:N,-ido
marica,mariquita,0.7889225,N:N,-ita
jurar,juramento,0.79513055,V:N,-mento
juzgar,juzgado,0.8802213,V:N,-ado
juramentar,juramentado,0.9094296,V:N,-ado
matar,matador,0.86639816,N:N,-dor
matar,matanza,0.84321976,N:N,-anza
elegante,elegantemente,0.8601017,ADJ:ADV,-mente
sangre,sangría,0.81793153,N:N,-ía
ratón,ratoncito,0.85166144,N:N,-cito
rápido,rápidamente,0.8064167,ADJ:ADV,-mente
negociar,negociante,0.6822162,V:N,-ante
controvertible,incontrovertible,0.96843266,ADJ:ADJ,in-
ancho,anchor,0.81129295,ADJ:N,-or
chingar,chingón,0.7645012,V:ADJ,-ón
sexual,homosexual,0.64918864,ADJ:ADJ,homo-
variable,invariable,0.8868762,ADJ:ADJ,in-
cultural,multicultural,0.7389255,ADJ:ADJ,multi-
amargo,amargura,0.6294525,ADJ:N,-ura
acreditar,acreditación,0.8911046,V:N,-ción
vena,venal,0.529208,N:ADJ,-al
rectángulo,rectangular,0.7946342,N:ADJ,-ar
nucleo,nuclear,0.75984687,V:ADJ,-ar
paloma,palomita,0.83006716,N:N,-ita
cerebro,cerebral,0.8126081,N:ADJ,-al
suelto,soltar,0.58769524,ADJ:V,-ar
arrogar,arrogante,0.8172866,V:ADJ,-ante
