pivot,derivation,similarity,category,affix
axial,roedor,0.46026433,V:N,-dor
Chiapas,imposiblemente,0.65500283,ADJ:ADV,-mente
moral,descimbrar,0.6326736,V:V,des-
ciento,desintegración,0.5967915,V:N,-ción
andar,mucolítico,0.6294165,ADJ:ADJ,muco-
maquilar,porrudo,0.6533084,N:ADJ,-udo
industria,pencazo,0.49059552,N:N,-azo
paz,vaquerita,0.57832724,N:N,-ita
ácido,refinadamente,0.61145633,V:ADV,-mente
banca,florecimiento,0.6361486,V:N,-miento
PAN,valencianismo,0.48736095,ADJ:N,-ismo
Chihuahua,hormigonar,0.5958977,N:V,-ar
mente,realquilar,0.45937896,V:V,re-
Estados Unidos,ultramonárquico,0.6965388,ADJ:ADJ,ultra-
sombra,empuje,0.5829003,V:N,-e
coro,antiparasitario,0.69252104,ADJ:ADJ,anti-
mosca,succionar,0.6532161,N:V,-ar
balar,inocuidad,0.66960347,ADJ:N,-idad
marica,cetónico,0.73664516,N:ADJ,-ico
jurar,cansado,0.5897501,V:ADJ,-ado
juzgar,continentalmente,0.5500884,ADJ:ADV,-mente
juramentar,ajar,0.49786735,N:V,-ar
matar,cascotazo,0.7002177,N:N,-azo
matar,salvedad,0.6449316,ADJ:N,-edad
elegante,califórnico,0.653027,N:ADJ,-ico
sangre,halconcito,0.70352167,N:N,-cito
ratón,fruncido,0.7158925,V:V,-ido
rápido,clínica,0.69383055,ADJ:N,-a
negociar,dañino,0.5734098,N:ADJ,-ino
controvertible,antiamericano,0.66050893,N:ADJ,anti-
ancho,reinona,0.696199,N:N,-ona
chingar,quindenial,0.69205725,N:ADJ,-al
sexual,arbitrismo,0.58572817,N:N,-ismo
variable,deforestar,0.6307506,V:V,de-
cultural,revelar,0.6089078,V:V,re-
amargo,estacionamiento,0.5240859,V:ADJ,-miento
acreditar,encallamiento,0.5942286,V:N,-miento
vena,posfordismo,0.5639901,N:N,pos-
rectángulo,gustar,0.52717453,N:V,-ar
nucleo,alambrera,0.7283444,N:N,-era
paloma,contrapuerta,0.6386698,N:N,contra-
cerebro,aretalógico,0.7347196,N:ADJ,-́ico
suelto,entrometido,0.6545126,V:ADJ,-ido
arrogar,apartar,0.5425756,N:V,-ar
Cebú,hectocoulomb,0.74941975,N:N,hecto-
México,aceitera,0.55783653,N:N,-era
adaptar,sexología,0.42666364,N:N,-logía
libro,haciendita,0.5969075,N:N,-ita
sexual,antivuelco,0.56012076,N:ADJ,anti-
ángulo,centroamericano,0.57287824,ADJ:ADJ,centro-
ornamento,excarcelar,0.64862347,N:V,ex-
sexual,disfuncionamiento,0.5823364,N:N,dis-
data,maleta,0.3902651,ADJ:N,-eta
diluvio,golillero,0.6504524,N:ADJ,-ero
serie,pentacampeón,0.62417775,N:N,penta-
escrito,multiplicadamente,0.6719635,V:ADV,-mente
descubrir,altísimo,0.41781628,ADJ:ADJ,-ísimo
función,palaciegamente,0.59727234,ADJ:ADV,-mente
Madrid,pañito,0.5704788,N:N,-ito
fiero,semestralmente,0.68575513,ADJ:ADV,-mente
mora,militarmente,0.6276758,ADJ:ADV,-mente
abuso,alfaharero,0.69160277,N:N,-ero
chaqueta,burrito,0.51305246,N:N,-ito
cameral,guadalajareño,0.6721739,N:ADJ,-eño
albo,mentalidad,0.6246956,ADJ:N,-idad
faja,rotulito,0.67966366,N:N,-ito
sisa,multicita,0.64151967,N:N,multi-
conocer,yottalitro,0.45421153,N:N,yotta-
páncreas,santeño,0.6546154,N:ADJ,-eño
Japón,descuartizador,0.3688966,V:N,-dor
semita,betacismo,0.72796035,N:N,-cismo
labial,Patagonia,0.5821896,N:N,-ia
bolso,insulínico,0.6666311,N:ADJ,-ico
espina,giganewton,0.6672944,N:N,giga-
despertar,rastrero,0.6521026,N:ADJ,-ero
ala,criadilla,0.62767786,N:N,-illa
Jalapa,trazable,0.66525584,V:ADJ,-ble
La Habana,climatizar,0.69322217,ADJ:V,-izar
raza,roñoso,0.51159257,N:ADJ,-oso
pito,gata,0.6320663,N:N,-a
cuerno,recentralización,0.66918534,ADJ:N,re-
considerar,pobretería,0.68351334,ADJ:N,-ería
argentino,malmatar,0.67776906,V:V,mal-
lógica,pseudogén,0.7299841,N:N,pseudo-
preciar,intravenoso,0.71396756,ADJ:ADJ,intra-
mosquito,primariamente,0.50474346,ADJ:ADV,-mente
Luxemburgo,mariposario,0.70297146,N:N,-ario
Buenos Aires,fotolitógrafo,0.66775537,N:N,-grafo
puerto,pedregal,0.7235165,N:N,-al
Corea,sumatorio,0.6807154,N:N,-torio
tonal,estercolero,0.76143354,N:N,-ero
boya,pancita,0.67491585,N:N,-ita
sexual,desvelar,0.5325534,V:V,des-
reversible,normativismo,0.56381214,ADJ:N,-ismo
virus,betunar,0.45594978,N:V,-ar
manta,agnosticismo,0.70857215,ADJ:N,-ismo
continente,abreviamiento,0.5974418,V:N,-miento
Vietnam,agachadito,0.4578033,ADJ:N,-ito
ceda,doloridamente,0.4524051,ADJ:ADV,-mente
Bolivia,sanmartinense,0.51917,N:ADJ,-ense
fino,afanosamente,0.76428175,ADJ:ADV,-mente
profundo,trasminar,0.59289354,V:V,tras-
rata,reclutador,0.57855636,V:N,-dor
