pivot,inflection,P-I similarity
orar,oro,0.12590167051980017
orar,oras,0.318538038024864
orar,ora,0.31891931048705957
orar,ora,0.31891931048705957
orar,oramos,0.5955893871798293
orar,oran,0.6511704597971939
orar,oraba,0.6409023363454631
orar,oraba,0.6409023363454631
orar,oraba,0.6409023363454631
orar,oraban,0.6348524402359824
orar,oraré,0.5418720635683055
orar,orará,0.6551399168834176
orar,orará,0.6551399168834176
orar,oraréis,0.5454714694820925
orar,orarán,0.646482047740829
oler,huelo,0.4938345436851921
oler,hueles,0.5095250271494886
oler,olés,0.30079649848129164
oler,huele,0.552051046818815
oler,huele,0.552051046818815
oler,olemos,0.47569404632166523
oler,huelen,0.5848684753275066
oler,olía,0.5290141889289193
oler,olía,0.5290141889289193
oler,olía,0.5290141889289193
oler,olían,0.5132320041841463
oler,olerá,0.5159357504070543
oler,olerá,0.5159357504070543
oler,olerán,0.51534482523932
contratacar,contrataca,0.5747382542840642
contratacar,contrataca,0.5747382542840642
contratacar,contratacan,0.5214499323820093
contratacar,contratacará,0.4943530303325445
contratacar,contratacará,0.4943530303325445
prometer,prometo,0.5407074621057595
prometer,prometes,0.46455193635419034
prometer,promete,0.6085769751731283
prometer,promete,0.6085769751731283
prometer,prometemos,0.4689059224582919
prometer,prometéis,0.5181201621384985
prometer,prometen,0.5374474060567476
prometer,prometía,0.5352380758192063
prometer,prometías,0.513153432732023
prometer,prometía,0.5352380758192063
prometer,prometía,0.5352380758192063
prometer,prometíamos,0.469830646213246
prometer,prometían,0.45945195473451694
prometer,prometeré,0.5156661471170024
prometer,prometerá,0.6084297960244733
prometer,prometerá,0.6084297960244733
prometer,prometerán,0.4920448898912395
avalar,avalo,0.5191761840697198
avalar,avala,0.6589560422166609
avalar,avala,0.6589560422166609
avalar,avalamos,0.5164252857939611
avalar,avalan,0.5493964613031347
avalar,avalaba,0.6074105158778745
avalar,avalaba,0.6074105158778745
avalar,avalaba,0.6074105158778745
avalar,avalaban,0.5614951610692941
avalar,avalaré,0.5280410526078647
avalar,avalará,0.6280517603880114
avalar,avalará,0.6280517603880114
avalar,avalaremos,0.5497684981646647
avalar,avalarán,0.6080392685695023
escindir,escinde,0.5632153889591992
escindir,escinde,0.5632153889591992
escindir,escinden,0.43104180297639005
escindir,escindía,0.5095986043358398
escindir,escindía,0.5095986043358398
escindir,escindía,0.5095986043358398
escindir,escindían,0.4092914574249993
escindir,escindirá,0.528750577675862
escindir,escindirá,0.528750577675862
escindir,escindirán,0.40411974168175013
desleír,deslíe,0.5965146168343533
desleír,deslíe,0.5965146168343533
excomulgar,excomulgo,0.6994723793574883
excomulgar,excomulga,0.7726522578500589
excomulgar,excomulga,0.7726522578500589
excomulgar,excomulgan,0.6375379944034706
excomulgar,excomulgaba,0.6813447435592237
excomulgar,excomulgaba,0.6813447435592237
excomulgar,excomulgaba,0.6813447435592237
excomulgar,excomulgaban,0.6098173004005889
excomulgar,excomulgará,0.6261393691860362
excomulgar,excomulgará,0.6261393691860362
dormir,duermo,0.5521935403224812
dormir,duermes,0.4491440559450308
dormir,dormís,0.4694192273237099
dormir,duerme,0.6646500826890709
dormir,duerme,0.6646500826890709
dormir,dormimos,0.5810169069149921
dormir,dormís,0.4694192273237099
dormir,duermen,0.6407208222551226
dormir,dormía,0.5633312373481629
dormir,dormías,0.38526623406376204
dormir,dormía,0.5633312373481629
dormir,dormía,0.5633312373481629
dormir,dormíamos,0.548395695577548
dormir,dormían,0.5892270324396918
dormir,dormiré,0.5063303732330551
dormir,dormirás,0.4743858764300902
dormir,dormirá,0.4992215969085414
dormir,dormirá,0.4992215969085414
dormir,dormiremos,0.4865116729613115
dormir,dormirán,0.47239267139753716
acumular,acumulo,0.5216473973833375
acumular,acumulas,0.4807059665149731
acumular,acumula,0.6423562469994685
acumular,acumula,0.6423562469994685
acumular,acumulamos,0.4357852094296131
acumular,acumulan,0.6050005821139943
acumular,acumulaba,0.5536659123587728
acumular,acumulaba,0.5536659123587728
acumular,acumulaba,0.5536659123587728
acumular,acumulaban,0.5447683399321486
acumular,acumularás,0.5240241942790782
acumular,acumulará,0.5547045095139198
acumular,acumulará,0.5547045095139198
acumular,acumularán,0.5117557336215388
disparatar,disparata,0.7150582800790308
disparatar,disparata,0.7150582800790308
bambolear,bamboleo,0.5634491730780639
bambolear,bambolea,0.7790213075058725
bambolear,bambolea,0.7790213075058725
bambolear,bambolean,0.7022339740497255
bambolear,bamboleaba,0.7986119101146976
bambolear,bamboleaba,0.7986119101146976
bambolear,bamboleaba,0.7986119101146976
bambolear,bamboleaban,0.6634846900788461
endiosar,endiosa,0.7541940969842261
endiosar,endiosa,0.7541940969842261
tunelar,tunela,0.7984705041457351
tunelar,tunela,0.7984705041457351
automatizar,automatiza,0.7374799131286179
automatizar,automatiza,0.7374799131286179
automatizar,automatizan,0.6824113176229841
automatizar,automatizaba,0.617877619176527
automatizar,automatizaba,0.617877619176527
automatizar,automatizaba,0.617877619176527
automatizar,automatizará,0.598140107462583
automatizar,automatizará,0.598140107462583
automatizar,automatizarán,0.5919934936699769
tajar,tajo,0.5259447209794526
tajar,tajas,0.7228227084845411
tajar,tajás,0.6924434424145922
tajar,taja,0.7580404619135815
tajar,taja,0.7580404619135815
encadenar,encadeno,0.5195150027440335
encadenar,encadenas,0.4338704009912373
encadenar,encadena,0.6877908948100433
encadenar,encadena,0.6877908948100433
encadenar,encadenan,0.5686738155384197
encadenar,encadenaba,0.594838799788419
encadenar,encadenaba,0.594838799788419
encadenar,encadenaba,0.594838799788419
encadenar,encadenaban,0.5421617264506252
encadenar,encadenará,0.5774340547973059
encadenar,encadenará,0.5774340547973059
encadenar,encadenarán,0.3808017568163231
desactivar,desactivo,0.5996321811588359
desactivar,desactivas,0.5225820222462129
desactivar,desactiva,0.6400956107587672
desactivar,desactiva,0.6400956107587672
desactivar,desactivamos,0.5072212535205098
desactivar,desactivan,0.5860820316480447
desactivar,desactivaba,0.6027941155579668
desactivar,desactivaba,0.6027941155579668
desactivar,desactivaba,0.6027941155579668
desactivar,desactivaban,0.5551847268027877
desactivar,desactivará,0.5557358474626208
desactivar,desactivará,0.5557358474626208
desactivar,desactivarán,0.5021554196104898
uniformar,uniforma,0.48814434517756067
uniformar,uniforma,0.48814434517756067
uniformar,uniforman,0.4856913203221387
uniformar,uniformaba,0.4277628200201866
uniformar,uniformaba,0.4277628200201866
uniformar,uniformaba,0.4277628200201866
uniformar,uniformará,0.5496685002976034
uniformar,uniformará,0.5496685002976034
uniformar,uniformarán,0.43865882669878653
posar,poso,0.24780200391684204
posar,posas,0.2659693732497733
posar,posa,0.5957391335769537
posar,posa,0.5957391335769537
posar,posamos,0.4304056186847647
posar,posan,0.5432839123682579
posar,posaba,0.6269169888386279
posar,posaba,0.6269169888386279
posar,posaba,0.6269169888386279
posar,posaban,0.5691686223392868
posar,posaré,0.38739714793189184
posar,posará,0.4855944774315928
posar,posará,0.4855944774315928
posar,posarán,0.5138474769357724
injuriar,injurias,0.6147078730150136
injuriar,injuria,0.5856822575390133
injuriar,injuria,0.5856822575390133
injuriar,injurian,0.5476406630500996
injuriar,injuriaba,0.5861197458906238
injuriar,injuriaba,0.5861197458906238
injuriar,injuriaba,0.5861197458906238
injuriar,injuriaban,0.49078081394486817
descalabrar,descalabro,0.25897659010294405
descalabrar,descalabra,0.6074804857732254
descalabrar,descalabra,0.6074804857732254
colorear,coloreo,0.5269987383276273
colorear,colorea,0.5638094095492362
colorear,colorea,0.5638094095492362
colorear,coloreamos,0.46173772051922035
colorear,colorean,0.533242091571005
colorear,coloreaba,0.4302851077902998
colorear,coloreaba,0.4302851077902998
colorear,coloreaba,0.4302851077902998
colorear,coloreaban,0.5522150292829229
colorear,coloreará,0.4970269940384271
colorear,coloreará,0.4970269940384271
colorear,colorearán,0.5301900718745203
fragmentar,fragmento,0.2562992797988787
fragmentar,fragmenta,0.49875447347804924
fragmentar,fragmenta,0.49875447347804924
fragmentar,fragmentan,0.5497571202428398
fragmentar,fragmentaba,0.4855853453552317
fragmentar,fragmentaba,0.4855853453552317
fragmentar,fragmentaba,0.4855853453552317
fragmentar,fragmentaban,0.5372484238811733
fragmentar,fragmentará,0.47657260267853596
fragmentar,fragmentará,0.47657260267853596
desclasificar,desclasifica,0.6440067560061901
desclasificar,desclasifica,0.6440067560061901
desclasificar,desclasificará,0.5519604001664443
desclasificar,desclasificará,0.5519604001664443
evaporar,evapora,0.7227626318118608
evaporar,evapora,0.7227626318118608
evaporar,evaporamos,0.6210199867962729
evaporar,evaporan,0.6290596565355827
evaporar,evaporaba,0.6779417669852328
evaporar,evaporaba,0.6779417669852328
evaporar,evaporaba,0.6779417669852328
evaporar,evaporaban,0.535772275239974
evaporar,evaporará,0.7527179637649064
evaporar,evaporará,0.7527179637649064
evaporar,evaporarán,0.4968959527375878
defensar,defensas,0.297386943474808
defensar,defensa,0.40447212623780215
defensar,defensa,0.40447212623780215
sobrecargar,sobrecargo,0.20201685538612535
sobrecargar,sobrecargas,0.5019611125349461
sobrecargar,sobrecarga,0.5134212489915079
