pivot,inflection,similarity,category
oler,huelo,0.5883825876157714,V;IND;PRS;1;SG
oler,hueles,0.591731773846541,V;IND;PRS;2;SG;INFM
oler,huele,0.650226944590017,V;IND;PRS;3;SG
oler,olemos,0.5540899780491213,V;IND;PRS;1;PL
oler,oléis,0.32436329526271956,V;IND;PRS;2;PL
oler,huelen,0.633328499456825,V;IND;PRS;3;PL
oler,olía,0.5805916879803301,V;IND;PST;IPFV;1;SG
oler,olías,0.41412356630989033,V;IND;PST;IPFV;2;SG;INFM
oler,olía,0.5805916879803301,V;IND;PST;IPFV;3;SG
oler,olíamos,0.4364982139673321,V;IND;PST;IPFV;1;PL
oler,olíais,0.3213496051112239,V;IND;PST;IPFV;2;PL
oler,olían,0.5081801964432413,V;IND;PST;IPFV;3;PL
oler,oleré,0.6154378634303843,V;IND;FUT;1;SG
oler,olerás,0.605053515167987,V;IND;FUT;2;SG;INFM
oler,olerá,0.6095445377293468,V;IND;FUT;3;SG
oler,oleremos,0.5985980244176988,V;IND;FUT;1;PL
oler,oleréis,0.43970934596223055,V;IND;FUT;2;PL
oler,olerán,0.6134180029150648,V;IND;FUT;3;PL
prometer,prometo,0.6116060538701548,V;IND;PRS;1;SG
prometer,prometes,0.618337959123905,V;IND;PRS;2;SG;INFM
prometer,promete,0.6401880001132811,V;IND;PRS;3;SG
prometer,prometemos,0.586185995821408,V;IND;PRS;1;PL
prometer,prometéis,0.4189472589974643,V;IND;PRS;2;PL
prometer,prometen,0.6549664077543207,V;IND;PRS;3;PL
prometer,prometía,0.5502220440253252,V;IND;PST;IPFV;1;SG
prometer,prometías,0.3967632688042543,V;IND;PST;IPFV;2;SG;INFM
prometer,prometía,0.5502220440253252,V;IND;PST;IPFV;3;SG
prometer,prometíamos,0.4009527794760608,V;IND;PST;IPFV;1;PL
prometer,prometíais,0.3627719198876833,V;IND;PST;IPFV;2;PL
prometer,prometían,0.5412748165924036,V;IND;PST;IPFV;3;PL
prometer,prometeré,0.5802378949627882,V;IND;FUT;1;SG
prometer,prometerás,0.4301426546269729,V;IND;FUT;2;SG;INFM
prometer,prometerá,0.6383509133441819,V;IND;FUT;3;SG
prometer,prometeremos,0.5670294507617534,V;IND;FUT;1;PL
prometer,prometeréis,0.420270557491107,V;IND;FUT;2;PL
prometer,prometerán,0.6282001227747477,V;IND;FUT;3;PL
avalar,avalo,0.5164204962116612,V;IND;PRS;1;SG
avalar,avalas,0.49358196743654315,V;IND;PRS;2;SG;INFM
avalar,avala,0.6497296484264082,V;IND;PRS;3;SG
avalar,avalamos,0.5151054904364726,V;IND;PRS;1;PL
avalar,avaláis,0.255421351645295,V;IND;PRS;2;PL
avalar,avalan,0.4774849253146358,V;IND;PRS;3;PL
avalar,avalaba,0.5628474243272646,V;IND;PST;IPFV;1;SG
avalar,avalabas,0.36420719771339316,V;IND;PST;IPFV;2;SG;INFM
avalar,avalaba,0.5628474243272646,V;IND;PST;IPFV;3;SG
avalar,avalábamos,0.27099962731770866,V;IND;PST;IPFV;1;PL
avalar,avalabais,0.36506992255422865,V;IND;PST;IPFV;2;PL
avalar,avalaban,0.5222363793529824,V;IND;PST;IPFV;3;PL
avalar,avalaré,0.4259717079303701,V;IND;FUT;1;SG
avalar,avalarás,0.3761948936534507,V;IND;FUT;2;SG;INFM
avalar,avalará,0.568626756072403,V;IND;FUT;3;SG
avalar,avalaremos,0.3436304397526849,V;IND;FUT;1;PL
avalar,avalaréis,0.36375373416156065,V;IND;FUT;2;PL
avalar,avalarán,0.539675540949567,V;IND;FUT;3;PL
dormir,duermo,0.6338165371127606,V;IND;PRS;1;SG
dormir,duermes,0.46325223427485485,V;IND;PRS;2;SG;INFM
dormir,duerme,0.6265868805658366,V;IND;PRS;3;SG
dormir,dormimos,0.6392791456243107,V;IND;PRS;1;PL
dormir,duermen,0.4582653841543336,V;IND;PRS;3;PL
dormir,dormía,0.553040681718484,V;IND;PST;IPFV;1;SG
dormir,dormías,0.4016844701801141,V;IND;PST;IPFV;2;SG;INFM
dormir,dormía,0.553040681718484,V;IND;PST;IPFV;3;SG
dormir,dormíamos,0.5002971867482259,V;IND;PST;IPFV;1;PL
dormir,dormíais,0.3450802523193306,V;IND;PST;IPFV;2;PL
dormir,dormían,0.5060729570929294,V;IND;PST;IPFV;3;PL
dormir,dormiré,0.5964367179112469,V;IND;FUT;1;SG
dormir,dormirás,0.5718314762731438,V;IND;FUT;2;SG;INFM
dormir,dormirá,0.5909481347368054,V;IND;FUT;3;SG
