mean_similarity,data,language,model,type
0.181,shuffled_data,spanish,fasttext,inflection
0.200,shuffled_data,polish,fasttext,inflection
0.299,shuffled_data,spanish,word2vec,inflection
0.181,shuffled_data,polish,word2vec,inflection
0.910,shuffled_data,spanish,bert,inflection
0.883,shuffled_data,polish,bert,inflection
0.138,shuffled_data,spanish,fasttext,derivation
0.157,shuffled_data,polish,fasttext,derivation
0.229,shuffled_data,spanish,word2vec,derivation
0.156,shuffled_data,polish,word2vec,derivation
0.891,shuffled_data,spanish,bert,derivation
0.886,shuffled_data,polish,bert,derivation
